Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:29.169000,HARD,2.0,True,0 days 01:05:24.480000,19,0 days 00:00:31.368000,0 days 00:00:18.851000,0 days 00:00:38.950000,12,89.169,3924.48,0.0,True,False,2.0,0.0,0.0,0.0,0.0,31.368,18.851,38.95,0,0,1,0.0,,,0.0,0,0,89.169,88.217,-0.9519999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,7,0 days 00:01:28.217000,HARD,7.0,True,0 days 01:15:22.803000,18,0 days 00:00:31.117000,0 days 00:00:18.795000,0 days 00:00:38.305000,1,88.217,4522.803,0.6210000000000946,True,False,7.0,0.0,0.0,0.0,0.0,31.117,18.795,38.305,0,0,0,0.0,,,0.0,0,0,89.169,86.992,-2.1769999999999925,0.0,-0.9519999999999982,0.0,0.0,0.0,0.0,0.0,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,8,0 days 00:01:26.992000,HARD,8.0,True,0 days 01:16:49.795000,18,0 days 00:00:30.383000,0 days 00:00:18.622000,0 days 00:00:37.987000,1,86.992,4609.795,0.5969999999997526,True,False,8.0,0.0,0.0,0.0,0.0,30.383,18.622,37.987,0,0,0,0.0,,,0.0,0,0,88.217,86.75,-1.4669999999999987,0.0,-1.2249999999999943,-0.4759999999999991,0.0,-0.31799999999999784,0.0,0.0,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,9,0 days 00:01:26.750000,HARD,9.0,True,0 days 01:18:16.545000,18,0 days 00:00:30.616000,0 days 00:00:18.650000,0 days 00:00:37.484000,1,86.75,4696.545,0.3580000000001746,True,False,9.0,0.0,0.0,0.0,0.0,30.616,18.65,37.484,0,0,0,0.0,88.12599999999999,1.0913491650246476,-1.2608247150387606,0,0,86.992,85.709,-1.2830000000000013,0.0,-0.24200000000000443,-0.7256666666666641,0.0,-0.5030000000000001,0.18359738560229974,-1.0884999999999962,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,10,0 days 00:01:25.709000,HARD,10.0,True,0 days 01:19:42.254000,17,0 days 00:00:29.928000,0 days 00:00:18.567000,0 days 00:00:37.214000,1,85.709,4782.254,0.649000000000342,True,False,10.0,0.0,0.0,0.0,0.0,29.928,18.567,37.214,0,0,0,0.0,87.782,1.1257764727807515,-1.841395738960088,1,0,86.75,87.213,0.46299999999999386,0.0,-1.0409999999999968,-0.8063333333333323,0.0,-0.2700000000000031,0.24874535171536344,-0.8063333333333323,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,11,0 days 00:01:27.213000,HARD,11.0,True,0 days 01:21:09.467000,17,0 days 00:00:29.775000,0 days 00:00:18.670000,0 days 00:00:38.768000,1,87.213,4869.467,0.44500000000061846,True,False,11.0,0.0,0.0,0.0,0.0,29.775,18.67,38.768,0,0,0,0.0,87.3674,1.3453606579649957,-0.11476476518464307,0,1,85.709,87.173,1.4639999999999986,0.0,1.5039999999999907,-0.8359999999999985,0.0,1.554000000000002,0.21735730951592125,-0.8359999999999985,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,12,0 days 00:01:27.173000,HARD,12.0,True,0 days 01:22:36.640000,17,0 days 00:00:30.202000,0 days 00:00:18.748000,0 days 00:00:38.223000,1,87.173,4956.64,0.5229999999992287,True,False,12.0,0.0,0.0,0.0,0.0,30.202,18.748,38.223,0,0,0,0.0,86.9762,0.901785839321072,0.2182336331075691,0,0,87.213,86.246,-0.9669999999999987,1.5039999999999907,-0.03999999999999204,0.07366666666666315,0.0,1.0090000000000003,0.8365218466961887,0.07366666666666315,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,13,0 days 00:01:26.246000,HARD,13.0,True,0 days 01:24:02.886000,16,0 days 00:00:30.222000,0 days 00:00:18.744000,0 days 00:00:37.280000,1,86.246,5042.886,0.808999999999287,True,False,13.0,0.0,0.0,0.0,0.0,30.222,18.744,37.28,0,0,0,0.0,86.7674,0.6192796621882677,-0.8419459443534715,0,0,87.173,85.491,-1.6820000000000022,1.4639999999999986,-0.9270000000000067,0.1410000000000006,0.0,0.0660000000000025,0.9255637741398491,0.1410000000000006,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,14,0 days 00:01:25.491000,HARD,14.0,True,0 days 01:25:28.377000,15,0 days 00:00:29.730000,0 days 00:00:18.586000,0 days 00:00:37.175000,1,85.491,5128.377,0.8699999999998909,True,False,14.0,0.0,0.0,0.0,0.0,29.73,18.586,37.175,0,0,0,0.0,86.6182,0.6411198795857271,-1.758173527123142,1,0,86.246,85.328,-0.9179999999999922,0.5369999999999919,-0.7549999999999955,0.1789999999999973,0.0,-0.10500000000000398,0.8766862038380677,0.1789999999999973,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,15,0 days 00:01:25.328000,HARD,15.0,True,0 days 01:26:53.705000,15,0 days 00:00:29.673000,0 days 00:00:18.715000,0 days 00:00:36.940000,1,85.328,5213.705,1.0590000000001965,True,False,15.0,0.0,0.0,0.0,0.0,29.673,18.715,36.94,0,0,0,0.0,86.3664,0.8031704675845706,-1.2928762223078831,0,1,85.491,85.558,0.06700000000000728,0.0,-0.1629999999999967,-0.5739999999999981,0.0,-0.23499999999999943,0.7913871997953993,-0.5739999999999981,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
