Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:52.112000,MEDIUM,2.0,True,0 days 01:06:51.566000,15,0 days 00:00:40.453000,0 days 00:00:45.869000,0 days 00:00:25.790000,1,112.112,4011.566,1.25,False,True,False,2.0,0.0,0.0,0.0,0.0,40.453,45.869,25.79,0,0,0,0.0,,,0.0,0,0,112.112,111.932,-0.1799999999999926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,3,0 days 00:01:51.932000,MEDIUM,3.0,True,0 days 01:08:43.498000,15,0 days 00:00:40.235000,0 days 00:00:45.896000,0 days 00:00:25.801000,1,111.932,4123.498,0.6570000000001528,False,True,False,3.0,0.0,0.0,0.0,0.0,40.235,45.896,25.801,0,0,0,0.0,,,0.0,0,0,112.112,111.531,-0.5809999999999889,0.0,-0.1799999999999926,0.0,0.0,0.0,0.0,0.0,0,1,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,4,0 days 00:01:51.531000,MEDIUM,4.0,True,0 days 01:10:35.029000,15,0 days 00:00:39.998000,0 days 00:00:45.702000,0 days 00:00:25.831000,1,111.531,4235.029,0.2539999999999054,False,True,False,4.0,0.0,0.0,0.0,0.0,39.998,45.702,25.831,0,0,0,0.0,,,0.0,0,0,111.932,111.309,-0.6230000000000047,0.0,-0.40099999999999625,-0.0899999999999963,0.0,0.04100000000000037,0.0,0.0,0,1,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,5,0 days 00:01:51.309000,MEDIUM,5.0,True,0 days 01:12:26.338000,15,0 days 00:00:39.785000,0 days 00:00:45.583000,0 days 00:00:25.941000,1,111.309,4346.338,0.11300000000028376,False,True,False,5.0,0.0,0.0,0.0,0.0,39.785,45.583,25.941,0,0,0,0.0,111.85833333333333,0.29742281912006757,-1.8469777637053957,1,0,111.531,112.673,1.141999999999996,0.0,-0.2220000000000084,-0.19366666666666296,0.0,0.1509999999999998,0.023671361036774866,-0.29049999999999443,0,1,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,6,0 days 00:01:52.673000,MEDIUM,6.0,True,0 days 01:14:19.011000,16,0 days 00:00:40.676000,0 days 00:00:46.103000,0 days 00:00:25.894000,1,112.673,4459.011,2.811999999999898,False,True,False,6.0,0.0,0.0,0.0,0.0,40.676,46.103,25.894,0,0,0,0.0,111.721,0.3666269675478492,2.5966447759349585,0,1,111.309,111.926,0.6170000000000044,0.0,1.3640000000000043,-0.2676666666666658,0.0,0.09299999999999997,0.07133489094872614,-0.2676666666666658,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,7,0 days 00:01:51.926000,MEDIUM,7.0,True,0 days 01:16:10.937000,16,0 days 00:00:40.080000,0 days 00:00:45.909000,0 days 00:00:25.937000,1,111.926,4570.937,2.199000000000524,False,True,False,7.0,0.0,0.0,0.0,0.0,40.08,45.909,25.937,0,0,0,0.0,111.9114,0.5311047919196349,0.027489866825021466,0,0,112.673,111.824,-0.8490000000000038,1.3640000000000043,-0.7469999999999999,0.2469999999999999,0.0,0.10600000000000165,0.06497307134498097,0.2469999999999999,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,8,0 days 00:01:51.824000,MEDIUM,8.0,True,0 days 01:18:02.761000,16,0 days 00:00:40.046000,0 days 00:00:45.857000,0 days 00:00:25.921000,1,111.824,4682.761,1.4329999999999927,False,True,False,8.0,0.0,0.0,0.0,0.0,40.046,45.857,25.921,0,0,0,0.0,111.87420000000002,0.5199381694009387,-0.09654994180915269,0,0,111.926,110.591,-1.335000000000008,0.6170000000000044,-0.10200000000000387,0.13166666666666535,0.0,0.027000000000001023,0.05871711845790807,0.13166666666666535,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,11,0 days 00:01:50.591000,HARD,2.0,True,0 days 01:24:29.406000,17,0 days 00:00:39.647000,0 days 00:00:44.929000,0 days 00:00:26.015000,1,110.591,5069.406,6.621000000000095,True,False,False,2.0,0.0,0.0,0.0,0.0,39.647,44.929,26.015,0,0,0,0.0,111.85260000000001,0.5191794487458065,-2.4299883268640374,1,0,111.824,110.002,-1.8220000000000027,0.5150000000000006,-1.233000000000004,0.17166666666666686,0.0,0.12100000000000222,0.050376581861019266,0.17166666666666686,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,12,0 days 00:01:50.002000,HARD,3.0,True,0 days 01:26:19.408000,17,0 days 00:00:39.238000,0 days 00:00:44.848000,0 days 00:00:25.916000,1,110.002,5179.408,6.282999999999447,True,False,False,3.0,0.0,0.0,0.0,0.0,39.238,44.848,25.916,0,0,0,0.0,111.6646,0.7729290394337678,-2.1510383426892394,1,1,110.591,109.944,-0.6469999999999914,0.0,-0.5889999999999986,-0.6940000000000026,0.0,-0.004999999999999005,0.0459760807377052,-0.6940000000000026,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
ALB,13,0 days 00:01:49.944000,HARD,4.0,True,0 days 01:28:09.352000,17,0 days 00:00:39.239000,0 days 00:00:44.802000,0 days 00:00:25.903000,12,109.944,5289.352,6.324000000000524,True,False,False,4.0,0.0,0.0,0.0,0.0,39.239,44.802,25.903,0,0,1,0.0,111.4032,1.082337147103438,-1.348193586356268,0,1,110.002,110.257,0.25500000000000966,0.0,-0.057999999999992724,-0.6413333333333355,0.0,-0.013000000000001677,0.05451421832879961,-0.6413333333333355,0,0,2022,Azerbaijan Grand Prix,2022_Azerbaijan Grand Prix
