Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,5,0 days 00:01:55.429000,MEDIUM,5.0,True,0 days 01:15:02.987000,8,0 days 00:00:32.012000,0 days 00:00:52.608000,0 days 00:00:30.809000,1,115.429,4502.987,0.5770000000002256,False,True,False,5.0,0.0,0.0,0.0,0.0,32.012,52.608,30.809,0,0,0,0.0,,,0.0,0,0,115.429,114.61,-0.8190000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,6,0 days 00:01:54.610000,MEDIUM,6.0,True,0 days 01:16:57.597000,7,0 days 00:00:31.883000,0 days 00:00:52.105000,0 days 00:00:30.622000,1,114.61,4617.597,1.0870000000004438,False,True,False,6.0,0.0,0.0,0.0,0.0,31.883,52.105,30.622,0,0,0,0.0,,,0.0,0,0,115.429,114.705,-0.7240000000000038,0.0,-0.8190000000000026,0.0,0.0,0.0,0.0,0.0,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,7,0 days 00:01:54.705000,MEDIUM,7.0,True,0 days 01:18:52.302000,7,0 days 00:00:32.098000,0 days 00:00:51.742000,0 days 00:00:30.865000,1,114.705,4732.302,0.7820000000001528,False,True,False,7.0,0.0,0.0,0.0,0.0,32.098,51.742,30.865,0,0,0,0.0,,,0.0,0,0,114.61,115.328,0.7180000000000035,0.0,0.09499999999999886,-0.4095000000000013,0.0,0.24299999999999855,0.0,0.0,0,1,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,8,0 days 00:01:55.328000,MEDIUM,8.0,True,0 days 01:20:47.630000,7,0 days 00:00:32.315000,0 days 00:00:52.016000,0 days 00:00:30.997000,1,115.328,4847.63,1.0050000000001091,False,True,False,8.0,0.0,0.0,0.0,0.0,32.315,52.016,30.997,0,0,0,0.0,114.91466666666668,0.44795126222986636,0.9227194299571473,0,0,114.705,116.42,1.7150000000000034,0.09499999999999886,0.6230000000000047,-0.2413333333333346,0.0,0.375,0.14029611541307824,-0.3620000000000019,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,9,0 days 00:01:56.420000,MEDIUM,9.0,True,0 days 01:22:44.050000,7,0 days 00:00:32.365000,0 days 00:00:52.625000,0 days 00:00:31.430000,1,116.42,4964.05,0.4529999999995198,False,True,False,9.0,0.0,0.0,0.0,0.0,32.365,52.625,31.43,0,0,0,0.0,115.018,0.4201007815592181,3.3372944339604205,0,0,115.328,113.956,-1.3719999999999999,0.7180000000000035,1.0919999999999987,-0.033666666666666366,0.0,0.8079999999999998,0.18636254988596804,-0.033666666666666366,0,1,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,12,0 days 00:01:53.956000,HARD,2.0,True,0 days 01:28:48.861000,16,0 days 00:00:32.210000,0 days 00:00:51.243000,0 days 00:00:30.503000,1,113.956,5328.861,6.300000000000182,True,False,False,2.0,0.0,0.0,0.0,0.0,32.21,51.243,30.503,0,0,0,0.0,115.29839999999999,0.7249029590227922,-1.851834074190579,1,0,116.42,115.027,-1.3930000000000007,1.8100000000000023,-2.4639999999999986,0.603333333333334,0.0,-0.3619999999999983,0.33385730484744525,0.603333333333334,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,13,0 days 00:01:55.027000,HARD,3.0,True,0 days 01:30:43.888000,14,0 days 00:00:32.172000,0 days 00:00:51.714000,0 days 00:00:31.141000,1,115.027,5443.888,5.8419999999996435,True,False,False,3.0,0.0,0.0,0.0,0.0,32.172,51.714,31.141,0,0,0,0.0,115.0038,0.9291088203219237,0.024970164411919248,0,1,113.956,115.335,1.3789999999999907,0.0,1.070999999999998,-0.24966666666666507,0.0,0.6379999999999981,0.4350755106875121,-0.24966666666666507,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,14,0 days 00:01:55.335000,HARD,4.0,True,0 days 01:32:39.223000,12,0 days 00:00:32.624000,0 days 00:00:52.033000,0 days 00:00:30.678000,1,115.335,5559.223,1.9210000000002765,True,False,False,4.0,0.0,0.0,0.0,0.0,32.624,52.033,30.678,0,0,0,0.0,115.08720000000001,0.90327941413496,0.27433371791971306,0,0,115.027,114.516,-0.5109999999999957,1.070999999999998,0.3079999999999927,-0.10033333333333398,0.0,0.1750000000000007,0.4503513073146332,-0.10033333333333398,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,15,0 days 00:01:54.516000,HARD,5.0,True,0 days 01:34:33.739000,9,0 days 00:00:31.824000,0 days 00:00:51.903000,0 days 00:00:30.789000,1,114.516,5673.739,3.3040000000000873,True,False,False,5.0,0.0,0.0,0.0,0.0,31.824,51.903,30.789,0,0,0,0.0,115.2132,0.8802844426661172,-0.7920167234676848,0,0,115.335,114.63,-0.7049999999999983,1.3789999999999907,-0.8189999999999884,-0.3616666666666693,0.0,0.28600000000000136,0.4550304385423013,-0.3616666666666693,0,0,2022,Belgian Grand Prix,2022_Belgian Grand Prix
ALB,16,0 days 00:01:54.630000,HARD,6.0,True,0 days 01:36:28.369000,8,0 days 00:00:32.247000,0 days 00:00:51.616000,0 days 00:00:30.767000,1,114.63,5788.369,0.41600000000016735,True,False,False,6.0,0.0,0.0,0.0,0.0,32.247,51.616,30.767,0,0,0,0.0,115.05080000000001,0.9274484891356468,-0.4537179206493577,0,0,114.516,115.459,0.9429999999999978,0.5600000000000023,0.11399999999999011,0.18666666666666742,0.0,0.08899999999999864,0.45441390823785205,0.18666666666666742,0,1,2022,Belgian Grand Prix,2022_Belgian Grand Prix
