Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,3,0 days 00:02:17.237000,MEDIUM,2.0,True,0 days 02:00:28.648000,18.7,8,33.1,0 days 00:01:09.298000,0 days 00:00:40.920000,0 days 00:00:27.019000,1,137.237,7228.648,0.31999999999970896,False,True,False,2.0,0.0,0.0,69.298,40.92,27.019,0,0,0,0.0,,,0.0,0,0,137.237,96.426,-40.81099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,British Grand Prix,0.0,18,0.0
ALO,4,0 days 00:01:36.426000,MEDIUM,3.0,True,0 days 02:02:05.074000,18.7,8,33.1,0 days 00:00:30.515000,0 days 00:00:39.468000,0 days 00:00:26.443000,1,96.426,7325.074,0.7160000000003492,False,True,False,3.0,0.0,0.0,30.515,39.468,26.443,0,0,0,0.0,,,0.0,0,0,137.237,95.064,-42.173,0.0,-40.81099999999999,0.0,0.0,0.0,0.0,0.0,0,1,2022,British Grand Prix,0.0,18,0.0
ALO,5,0 days 00:01:35.064000,MEDIUM,4.0,True,0 days 02:03:40.138000,18.7,7,33.5,0 days 00:00:29.904000,0 days 00:00:39.093000,0 days 00:00:26.067000,1,95.064,7420.138,0.6540000000004511,False,True,False,4.0,0.0,0.0,29.904,39.093,26.067,0,0,0,0.0,,,0.0,0,0,96.426,94.947,-1.4789999999999992,0.0,-1.362000000000009,-20.405499999999996,0.0,-0.3760000000000012,0.0,0.0,0,1,2022,British Grand Prix,0.0,18,0.0
ALO,6,0 days 00:01:34.947000,MEDIUM,5.0,True,0 days 02:05:15.085000,18.6,6,33.3,0 days 00:00:30.213000,0 days 00:00:38.633000,0 days 00:00:26.101000,1,94.947,7515.085,1.0399999999999636,False,True,False,5.0,0.0,0.0,30.213,38.633,26.101,0,0,0,0.0,109.57566666666666,23.965095082918687,-0.6104155487825859,0,0,95.064,94.985,-0.07899999999999352,0.0,-0.11699999999999022,-14.057666666666668,0.0,0.03399999999999892,0.2170837012153,-21.0865,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,7,0 days 00:01:34.985000,MEDIUM,6.0,True,0 days 02:06:50.070000,18.5,6,33.5,0 days 00:00:30.208000,0 days 00:00:38.625000,0 days 00:00:26.152000,1,94.985,7610.07,1.6970000000001164,False,True,False,6.0,0.0,0.0,30.208,38.625,26.152,0,0,0,0.0,105.9185,20.889790018092572,-0.5233896554503674,0,0,94.947,94.976,0.028999999999996362,0.0,0.0379999999999967,-14.096666666666664,0.0,0.08500000000000085,0.19432875923719273,-14.096666666666664,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,8,0 days 00:01:34.976000,MEDIUM,7.0,True,0 days 02:08:25.046000,18.3,6,32.9,0 days 00:00:30.225000,0 days 00:00:38.622000,0 days 00:00:26.129000,1,94.976,7705.046,2.2330000000001746,False,True,False,7.0,0.0,0.0,30.225,38.622,26.129,0,0,0,0.0,103.73179999999999,18.74021824045814,-0.46721974566428215,0,0,94.985,94.799,-0.18599999999999284,0.0379999999999967,-0.009000000000000341,-0.48033333333333417,0.0,0.062000000000001165,0.18476146784435388,-0.48033333333333417,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,9,0 days 00:01:34.799000,MEDIUM,8.0,True,0 days 02:09:59.845000,18.4,6,32.2,0 days 00:00:30.163000,0 days 00:00:38.534000,0 days 00:00:26.102000,1,94.799,7799.845,2.9609999999993306,False,True,False,8.0,0.0,0.0,30.163,38.534,26.102,0,0,0,0.0,95.2796,0.6423202472286988,-0.7482248957175988,0,0,94.976,94.721,-0.25499999999999545,0.028999999999996362,-0.1769999999999925,-0.029333333333331286,0.0,0.0010000000000012221,0.19104711460789003,-0.029333333333331286,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,10,0 days 00:01:34.721000,MEDIUM,9.0,True,0 days 02:11:34.566000,18.3,6,31.8,0 days 00:00:30.245000,0 days 00:00:38.463000,0 days 00:00:26.013000,1,94.721,7894.566,4.489999999999782,False,True,False,9.0,0.0,0.0,30.245,38.463,26.013,0,0,0,0.0,94.95419999999999,0.09697783251817757,-2.4046732530990647,1,0,94.799,94.709,-0.09000000000000341,0.0,-0.07800000000000296,-0.04933333333333204,0.0,-0.08899999999999864,0.1910986656154362,-0.04933333333333204,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,11,0 days 00:01:34.709000,MEDIUM,10.0,True,0 days 02:13:09.275000,18.4,6,31.9,0 days 00:00:30.228000,0 days 00:00:38.567000,0 days 00:00:25.914000,12,94.709,7989.275,6.026000000000749,False,True,False,10.0,0.0,0.0,30.228,38.567,25.914,0,0,1,0.0,94.8856,0.11875942067861954,-1.4870399248401438,0,1,94.721,94.439,-0.2820000000000107,0.0,-0.012000000000000455,-0.0879999999999986,0.0,-0.0990000000000002,0.06785499244712923,-0.0879999999999986,0,0,2022,British Grand Prix,0.0,18,0.0
ALO,12,0 days 00:01:34.439000,MEDIUM,11.0,True,0 days 02:14:43.714000,18.4,6,32.3,0 days 00:00:30.091000,0 days 00:00:38.451000,0 days 00:00:25.897000,1,94.439,8083.714,7.081000000000131,False,True,False,11.0,0.0,0.0,30.091,38.451,25.897,0,0,0,0.0,94.83800000000001,0.1346328340335983,-2.963615843520331,1,0,94.709,94.276,-0.43300000000000693,0.0,-0.27000000000001023,-0.08899999999999864,0.0,-0.017000000000003013,0.08436824046997805,-0.08899999999999864,0,0,2022,British Grand Prix,0.0,18,0.0
