Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:21.297000,MEDIUM,2.0,True,0 days 01:05:06.961000,20.5,12,41.8,0 days 00:00:23.410000,0 days 00:00:26.051000,0 days 00:00:31.836000,1,81.297,3906.961,0.6670000000003711,False,True,2.0,0.0,0.0,23.41,26.051,31.836,0,0,0,0.0,,,0.0,0,0,81.297,80.304,-0.992999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,3,0 days 00:01:20.304000,MEDIUM,3.0,True,0 days 01:06:27.265000,20.6,12,41.8,0 days 00:00:22.970000,0 days 00:00:25.730000,0 days 00:00:31.604000,1,80.304,3987.265,0.4450000000001637,False,True,3.0,0.0,0.0,22.97,25.73,31.604,0,0,0,0.0,,,0.0,0,0,81.297,79.484,-1.8130000000000024,0.0,-0.992999999999995,0.0,0.0,0.0,0.0,0.0,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,4,0 days 00:01:19.484000,MEDIUM,4.0,True,0 days 01:07:46.749000,20.7,12,41.8,0 days 00:00:22.502000,0 days 00:00:25.419000,0 days 00:00:31.563000,1,79.484,4066.749,0.39400000000023283,False,True,4.0,0.0,0.0,22.502,25.419,31.563,0,0,0,0.0,,,0.0,0,0,80.304,79.69,-0.6140000000000043,0.0,-0.8200000000000074,-0.4964999999999975,0.0,-0.04100000000000037,0.0,0.0,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,5,0 days 00:01:19.690000,MEDIUM,5.0,True,0 days 01:09:06.439000,20.6,12,41.2,0 days 00:00:22.672000,0 days 00:00:25.457000,0 days 00:00:31.561000,1,79.69,4146.439,0.6459999999997308,False,True,5.0,0.0,0.0,22.672,25.457,31.561,0,0,0,0.0,80.36166666666666,0.9078746242369236,-0.7398231525979796,0,0,79.484,79.682,0.1980000000000075,0.0,0.20600000000000307,-0.6043333333333342,0.0,-0.0019999999999988916,0.023671361036774866,-0.9065000000000012,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,6,0 days 00:01:19.682000,MEDIUM,6.0,True,0 days 01:10:26.121000,20.7,12,41.2,0 days 00:00:22.662000,0 days 00:00:25.584000,0 days 00:00:31.436000,1,79.682,4226.121,0.22599999999965803,False,True,6.0,0.0,0.0,22.662,25.584,31.436,0,0,0,0.0,80.19375,0.8138027504663935,-0.6288378844956056,0,0,79.69,79.727,0.03700000000000614,0.20600000000000307,-0.007999999999995566,-0.5356666666666664,0.0,-0.125,0.020188693205191545,-0.5356666666666664,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,7,0 days 00:01:19.727000,MEDIUM,7.0,True,0 days 01:11:45.848000,20.6,11,41.2,0 days 00:00:22.636000,0 days 00:00:25.552000,0 days 00:00:31.539000,1,79.727,4305.848,0.4970000000002983,False,True,7.0,0.0,0.0,22.636,25.552,31.539,0,0,0,0.0,80.0914,0.7410018893363217,-0.4917666273784592,0,0,79.682,79.811,0.1290000000000049,0.1980000000000075,0.045000000000001705,-0.2073333333333333,0.0,0.10300000000000153,0.05400277770633673,-0.2073333333333333,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,8,0 days 00:01:19.811000,MEDIUM,8.0,True,0 days 01:13:05.659000,20.5,10,41.2,0 days 00:00:22.645000,0 days 00:00:25.616000,0 days 00:00:31.550000,12,79.811,4385.659,0.19800000000032014,False,True,8.0,0.0,0.0,22.645,25.616,31.55,0,0,1,0.0,79.77739999999999,0.309302117677838,0.10863165196630875,0,0,79.727,79.354,-0.37300000000000466,0.2430000000000092,0.08400000000000318,0.08100000000000307,0.0,0.11400000000000077,0.08227089400267935,0.08100000000000307,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,11,0 days 00:01:19.354000,MEDIUM,11.0,True,0 days 01:17:53.315000,20.9,10,41.8,0 days 00:00:22.550000,0 days 00:00:25.447000,0 days 00:00:31.357000,1,79.354,4673.315,0.5630000000001019,False,True,11.0,0.0,0.0,22.55,25.447,31.357,0,0,0,0.0,79.6788,0.12029422263764177,-2.700046543202497,1,0,79.811,79.472,-0.33900000000001285,0.3270000000000124,-0.45700000000000784,0.04033333333333644,0.0,-0.07900000000000063,0.1005420310119112,0.04033333333333644,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,12,0 days 00:01:19.472000,MEDIUM,12.0,True,0 days 01:19:12.787000,20.9,10,41.7,0 days 00:00:22.726000,0 days 00:00:25.337000,0 days 00:00:31.409000,1,79.472,4752.787,0.4459999999999127,False,True,12.0,0.0,0.0,22.726,25.337,31.409,0,0,0,0.0,79.6528,0.17467884817571377,-1.035042318450221,0,1,79.354,79.72,0.36599999999999966,0.0,0.117999999999995,-0.10933333333333432,0.0,0.0519999999999996,0.10659596615257137,-0.10933333333333432,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,13,0 days 00:01:19.720000,MEDIUM,13.0,True,0 days 01:20:32.507000,21.2,10,41.7,0 days 00:00:22.432000,0 days 00:00:25.446000,0 days 00:00:31.842000,1,79.72,4832.507,0.3100000000004002,False,True,13.0,0.0,0.0,22.432,25.446,31.842,0,0,0,0.0,79.60920000000002,0.18963834000537638,0.5842700373608105,0,0,79.472,79.436,-0.03599999999998715,0.117999999999995,0.24800000000000466,-0.08500000000000323,0.0,0.48499999999999943,0.10877729542510298,-0.08500000000000323,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,14,0 days 00:01:19.436000,MEDIUM,14.0,True,0 days 01:21:51.943000,21.3,10,41.7,0 days 00:00:22.449000,0 days 00:00:25.434000,0 days 00:00:31.553000,1,79.436,4911.943,0.5349999999998545,False,True,14.0,0.0,0.0,22.449,25.434,31.553,0,0,0,0.0,79.6168,0.19399664945558767,-0.931974858882199,0,0,79.72,79.849,0.1290000000000049,0.36599999999999966,-0.2839999999999918,-0.03033333333333606,0.0,0.1960000000000015,0.210148756836675,-0.03033333333333606,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,15,0 days 00:01:19.849000,MEDIUM,15.0,True,0 days 01:23:11.792000,21.2,10,41.6,0 days 00:00:22.453000,0 days 00:00:25.533000,0 days 00:00:31.863000,1,79.849,4991.792,0.19200000000000728,False,True,15.0,0.0,0.0,22.453,25.533,31.863,0,0,0,0.0,79.5586,0.19630792138881092,1.479308618549498,0,0,79.436,80.496,1.059999999999988,0.08200000000000784,0.4129999999999967,0.027333333333335947,0.0,0.4540000000000006,0.21072327825847817,0.027333333333335947,0,1,2022,Canadian Grand Prix,0.0,14,0.0
ALB,16,0 days 00:01:20.496000,MEDIUM,16.0,True,0 days 01:24:32.288000,21.4,10,41.6,0 days 00:00:22.852000,0 days 00:00:25.567000,0 days 00:00:32.077000,1,80.496,5072.288,0.24100000000089494,False,True,16.0,0.0,0.0,22.852,25.567,32.077,0,0,0,0.0,79.56620000000001,0.2088568888018634,4.4518522004895935,0,0,79.849,80.927,1.078000000000003,0.49500000000000455,0.6469999999999914,0.12566666666666984,0.0,0.5239999999999974,0.24656094581259236,0.12566666666666984,0,1,2022,Canadian Grand Prix,0.0,14,0.0
