Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,5,0 days 00:01:38.485000,INTERMEDIATE,5.0,True,0 days 01:12:49.833000,13.1,15,17.5,0 days 00:00:31.954000,0 days 00:00:33.245000,0 days 00:00:33.286000,1,98.485,4369.833,0.5910000000003492,False,True,False,False,5.0,0.0,0.0,31.954,33.245,33.286,0,0,0,0.0,,,0.0,0,0,98.485,95.024,-3.4609999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,6,0 days 00:01:35.024000,INTERMEDIATE,6.0,True,0 days 01:14:24.857000,13.1,14,17.3,0 days 00:00:30.522000,0 days 00:00:32.303000,0 days 00:00:32.199000,1,95.024,4464.857,0.7520000000004075,False,True,False,False,6.0,0.0,0.0,30.522,32.303,32.199,0,0,0,0.0,,,0.0,0,0,98.485,93.384,-5.100999999999999,0.0,-3.4609999999999985,0.0,0.0,0.0,0.0,0.0,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,7,0 days 00:01:33.384000,INTERMEDIATE,7.0,True,0 days 01:15:58.241000,13.1,14,17.1,0 days 00:00:29.847000,0 days 00:00:31.849000,0 days 00:00:31.688000,1,93.384,4558.241,0.9009999999998399,False,True,False,False,7.0,0.0,0.0,29.847,31.849,31.688,0,0,0,0.0,,,0.0,0,0,95.024,92.918,-2.1059999999999945,0.0,-1.6400000000000006,-1.7304999999999993,0.0,-0.5109999999999992,0.0,0.0,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,8,0 days 00:01:32.918000,INTERMEDIATE,8.0,True,0 days 01:17:31.159000,13.1,14,17.0,0 days 00:00:29.346000,0 days 00:00:31.792000,0 days 00:00:31.780000,1,92.918,4651.159,0.6410000000005311,False,True,False,False,8.0,0.0,0.0,29.346,31.792,31.78,0,0,0,0.0,95.63100000000001,2.604109636708873,-1.0418148152275006,0,0,93.384,93.065,-0.3190000000000026,0.0,-0.465999999999994,-1.700333333333333,0.0,0.0920000000000023,0.2950259875558983,-2.5504999999999995,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,9,0 days 00:01:33.065000,INTERMEDIATE,9.0,True,0 days 01:19:04.224000,13.0,14,17.1,0 days 00:00:29.337000,0 days 00:00:31.759000,0 days 00:00:31.969000,1,93.065,4744.224,1.113999999999578,False,True,False,False,9.0,0.0,0.0,29.337,31.759,31.969,0,0,0,0.0,94.95275000000001,2.522105651368847,-0.7484817295324064,0,0,92.918,92.969,0.05099999999998772,0.0,0.14699999999999136,-1.8556666666666644,0.0,0.28100000000000236,0.274283764253981,-1.8556666666666644,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,10,0 days 00:01:32.969000,INTERMEDIATE,10.0,True,0 days 01:20:37.193000,13.2,14,17.0,0 days 00:00:29.174000,0 days 00:00:32.124000,0 days 00:00:31.671000,1,92.969,4837.193,1.4129999999995562,False,True,False,False,10.0,0.0,0.0,29.174,32.124,31.671,0,0,0,0.0,94.5752,2.341683731847667,-0.6859167094835029,0,0,93.065,93.504,0.43900000000000716,0.14699999999999136,-0.09600000000000364,-0.653000000000001,0.0,-0.01699999999999946,0.29357162669440706,-0.653000000000001,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,11,0 days 00:01:33.504000,INTERMEDIATE,11.0,True,0 days 01:22:10.697000,13.4,14,17.0,0 days 00:00:29.293000,0 days 00:00:32.415000,0 days 00:00:31.796000,1,93.504,4930.697,2.298999999999978,False,True,False,False,11.0,0.0,0.0,29.293,32.415,31.796,0,0,0,0.0,93.47200000000001,0.8862874815769737,0.03610566623716584,0,0,92.969,94.783,1.8140000000000072,0.05099999999998772,0.5350000000000108,-0.13833333333333542,0.0,0.125,0.29327035308738647,-0.13833333333333542,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,12,0 days 00:01:34.783000,INTERMEDIATE,12.0,True,0 days 01:23:45.480000,13.4,14,17.0,0 days 00:00:29.798000,0 days 00:00:32.774000,0 days 00:00:32.211000,1,94.783,5025.48,1.3700000000008004,False,True,False,False,12.0,0.0,0.0,29.798,32.774,32.211,0,0,0,0.0,93.16799999999999,0.2608936564963948,6.19026166327017,0,0,93.504,95.439,1.934999999999988,0.5859999999999985,1.2789999999999964,0.19533333333333283,0.0,0.5399999999999991,0.3017780641464854,0.19533333333333283,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,13,0 days 00:01:35.439000,INTERMEDIATE,13.0,True,0 days 01:25:20.919000,13.4,14,16.7,0 days 00:00:29.838000,0 days 00:00:32.750000,0 days 00:00:32.851000,1,95.439,5120.919,1.431999999999789,False,True,False,False,13.0,0.0,0.0,29.838,32.75,32.851,0,0,0,0.0,93.4478,0.7814075121215938,2.5482222388593367,0,0,94.783,95.313,0.5300000000000011,1.8649999999999949,0.6559999999999917,0.5726666666666679,0.0,1.1799999999999997,0.21589974525228078,0.5726666666666679,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,14,0 days 00:01:35.313000,INTERMEDIATE,14.0,True,0 days 01:26:56.232000,13.4,14,16.7,0 days 00:00:29.972000,0 days 00:00:32.854000,0 days 00:00:32.487000,1,95.313,5216.232,1.5429999999996653,False,True,False,False,14.0,0.0,0.0,29.972,32.854,32.487,0,0,0,0.0,93.952,1.1017590480681572,1.2352973205769486,0,0,95.439,95.512,0.0730000000000075,2.469999999999999,-0.12599999999999056,0.8233333333333329,0.0,0.6910000000000025,0.4715132023602303,0.8233333333333329,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,15,0 days 00:01:35.512000,INTERMEDIATE,15.0,True,0 days 01:28:31.744000,13.3,14,16.7,0 days 00:00:30.044000,0 days 00:00:33.078000,0 days 00:00:32.390000,1,95.512,5311.744,1.704000000000633,False,True,False,False,15.0,0.0,0.0,30.044,33.078,32.39,0,0,0,0.0,94.4016,1.107964710629383,1.002197984599376,0,0,95.313,95.35,0.03699999999999193,2.3440000000000083,0.19899999999999807,0.6029999999999992,0.0,0.17900000000000205,0.4765298521603866,0.6029999999999992,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,16,0 days 00:01:35.350000,INTERMEDIATE,16.0,True,0 days 01:30:07.094000,13.4,14,16.2,0 days 00:00:29.893000,0 days 00:00:33.225000,0 days 00:00:32.232000,1,95.35,5407.094,1.88799999999992,False,True,False,False,16.0,0.0,0.0,29.893,33.225,32.232,0,0,0,0.0,94.9102,0.8363041910692833,0.5258852038486986,0,0,95.512,88.905,-6.606999999999999,2.0079999999999956,-0.16200000000000614,0.24299999999999974,0.0,-0.15800000000000125,0.4286321266540805,0.24299999999999974,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
