Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:42.001000,MEDIUM,2.0,True,0 days 00:46:15.291000,30.4,13,52.8,0 days 00:00:26.101000,0 days 00:00:30.492000,0 days 00:00:45.408000,1,102.001,2775.291,0.20499999999992724,False,True,2.0,0.0,0.0,26.101,30.492,45.408,0,0,0,0.0,,,0.0,0,0,102.001,100.395,-1.6060000000000088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,3,0 days 00:01:40.395000,MEDIUM,3.0,True,0 days 00:47:55.686000,30.3,13,52.2,0 days 00:00:25.674000,0 days 00:00:30.094000,0 days 00:00:44.627000,1,100.395,2875.686,0.5839999999998327,False,True,3.0,0.0,0.0,25.674,30.094,44.627,0,0,0,0.0,,,0.0,0,0,102.001,100.423,-1.578000000000003,0.0,-1.6060000000000088,0.0,0.0,0.0,0.0,0.0,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,4,0 days 00:01:40.423000,MEDIUM,4.0,True,0 days 00:49:36.109000,30.3,13,52.2,0 days 00:00:25.342000,0 days 00:00:30.059000,0 days 00:00:45.022000,1,100.423,2976.109,0.6220000000002983,False,True,4.0,0.0,0.0,25.342,30.059,45.022,0,0,0,0.0,,,0.0,0,0,100.395,101.576,1.1809999999999974,0.0,0.028000000000005798,-0.8030000000000044,0.0,0.394999999999996,0.0,0.0,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,5,0 days 00:01:41.576000,MEDIUM,5.0,True,0 days 00:51:17.685000,30.3,14,52.8,0 days 00:00:25.576000,0 days 00:00:31.071000,0 days 00:00:44.929000,1,101.576,3077.685,0.5410000000001673,False,True,5.0,0.0,0.0,25.576,31.071,44.929,0,0,0,0.0,100.93966666666667,0.9192482435845865,0.6922323080563737,0,0,100.423,100.279,-0.14400000000000546,0.028000000000005798,1.1529999999999916,-0.526000000000001,0.0,0.3019999999999996,0.22805335632989987,-0.7890000000000015,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,6,0 days 00:01:40.279000,MEDIUM,6.0,True,0 days 00:52:57.964000,30.4,14,54.4,0 days 00:00:25.347000,0 days 00:00:30.338000,0 days 00:00:44.594000,1,100.279,3177.964,0.4859999999998763,False,True,6.0,0.0,0.0,25.347,30.338,44.594,0,0,0,0.0,101.09875,0.81521464453644,-1.0055633881137378,0,0,101.576,100.884,-0.6919999999999931,1.1809999999999974,-1.296999999999997,-0.14166666666667047,0.0,-0.03300000000000125,0.2047573767494903,-0.14166666666667047,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,7,0 days 00:01:40.884000,MEDIUM,7.0,True,0 days 00:54:38.848000,30.3,14,54.0,0 days 00:00:25.581000,0 days 00:00:30.576000,0 days 00:00:44.727000,1,100.884,3278.848,0.8079999999999927,False,True,7.0,0.0,0.0,25.581,30.576,44.727,0,0,0,0.0,100.9348,0.7955056253729482,-0.06385875646847787,0,0,100.279,100.379,0.10000000000000853,0.0,0.605000000000004,-0.03866666666666655,0.0,0.13299999999999557,0.2000867311942487,-0.03866666666666655,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,8,0 days 00:01:40.379000,MEDIUM,8.0,True,0 days 00:56:19.227000,30.6,13,54.1,0 days 00:00:25.376000,0 days 00:00:30.438000,0 days 00:00:44.565000,1,100.379,3379.227,0.9480000000003201,False,True,8.0,0.0,0.0,25.376,30.438,44.565,0,0,0,0.0,100.7114,0.5356251487747764,-0.6205832581990334,0,0,100.884,100.265,-0.6189999999999998,0.605000000000004,-0.5049999999999955,0.15366666666666617,0.0,-0.029000000000003467,0.18639018214487496,0.15366666666666617,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,9,0 days 00:01:40.265000,MEDIUM,9.0,True,0 days 00:57:59.492000,30.6,13,54.1,0 days 00:00:25.259000,0 days 00:00:30.509000,0 days 00:00:44.497000,1,100.265,3479.492,3.9399999999996,False,True,9.0,0.0,0.0,25.259,30.509,44.497,0,0,0,0.0,100.7082,0.5380303894762813,-0.8237452914721327,0,0,100.379,100.865,0.48599999999999,0.10000000000000853,-0.11400000000000432,-0.3989999999999962,0.0,-0.06799999999999784,0.19292692917267915,-0.3989999999999962,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,10,0 days 00:01:40.865000,MEDIUM,10.0,True,0 days 00:59:40.357000,30.5,13,53.8,0 days 00:00:25.585000,0 days 00:00:30.621000,0 days 00:00:44.659000,1,100.865,3580.357,4.282999999999902,False,True,10.0,0.0,0.0,25.585,30.621,44.659,0,0,0,0.0,100.6766,0.5630277968271182,0.3346193581590627,0,0,100.265,101.072,0.8070000000000022,0.0,0.5999999999999943,-0.0046666666666652645,0.0,0.16199999999999903,0.15559723647931495,-0.0046666666666652645,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,11,0 days 00:01:41.072000,MEDIUM,11.0,True,0 days 01:01:21.429000,30.3,13,54.6,0 days 00:00:25.589000,0 days 00:00:30.546000,0 days 00:00:44.937000,1,101.072,3681.429,4.257999999999811,False,True,11.0,0.0,0.0,25.589,30.546,44.937,0,0,0,0.0,100.5344,0.3136364137022337,1.7140866829015424,0,0,100.865,100.702,-0.1629999999999967,0.5999999999999943,0.20700000000000784,-0.006333333333335152,0.0,0.4399999999999977,0.10611550310863982,-0.006333333333335152,0,0,2022,French Grand Prix,0.0,0,0.0
