Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_None,compound_SOFT,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,3,0 days 00:01:48.888000,WET,3.0,True,0 days 02:11:00.079000,21.3,16,28.8,0 days 00:00:29.381000,0 days 00:00:50.358000,0 days 00:00:29.149000,1,108.888,7860.079,1.1970000000001164,False,False,False,False,False,True,3.0,0.0,0.0,29.381,50.358,29.149,0,0,0,0.0,,,0.0,0,0,108.888,105.755,-3.1330000000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2022,Monaco Grand Prix,0.0,19,0.0
ALB,4,0 days 00:01:45.755000,WET,4.0,True,0 days 02:12:45.834000,21.5,15,28.5,0 days 00:00:28.651000,0 days 00:00:49.015000,0 days 00:00:28.089000,1,105.755,7965.834,1.1469999999999345,False,False,False,False,False,True,4.0,0.0,0.0,28.651,49.015,28.089,0,0,0,0.0,,,0.0,0,0,108.888,103.313,-5.575000000000003,0.0,-3.1330000000000098,0.0,0.0,0.0,0.0,0.0,0,0,2022,Monaco Grand Prix,0.0,19,0.0
ALB,5,0 days 00:01:43.313000,WET,5.0,True,0 days 02:14:29.147000,21.6,15,28.5,0 days 00:00:27.871000,0 days 00:00:48.031000,0 days 00:00:27.411000,12,103.313,8069.147,1.1189999999996871,False,False,False,False,False,True,5.0,0.0,0.0,27.871,48.031,27.411,0,0,1,0.0,,,0.0,0,0,105.755,103.887,-1.867999999999995,0.0,-2.441999999999993,-1.5665000000000049,0.0,-0.6779999999999973,0.0,0.0,0,0,2022,Monaco Grand Prix,0.0,19,0.0
ALB,6,0 days 00:01:43.887000,WET,6.0,True,0 days 02:16:13.034000,21.6,13,28.3,0 days 00:00:27.556000,0 days 00:00:48.746000,0 days 00:00:27.585000,21,103.887,8173.034,0.6710000000002765,False,False,False,False,False,True,6.0,0.0,0.0,27.556,48.746,27.585,0,0,1,0.0,105.98533333333334,2.7946281207583477,-0.7508452798234714,0,0,103.313,101.663,-1.6500000000000057,0.0,0.5739999999999981,-1.8583333333333343,0.0,0.1739999999999995,0.39144348251056466,-2.7875000000000014,0,1,2022,Monaco Grand Prix,0.0,19,0.0
ALB,7,0 days 00:01:41.663000,WET,7.0,True,0 days 02:17:54.697000,21.8,13,28.2,0 days 00:00:27.174000,0 days 00:00:47.550000,0 days 00:00:26.939000,1,101.663,8274.697,1.0229999999992287,False,False,False,False,False,True,7.0,0.0,0.0,27.174,47.55,26.939,0,0,0,0.0,105.46075,2.5114500957282275,-1.5121741843326577,1,0,103.887,100.829,-3.058000000000007,0.5739999999999981,-2.2240000000000038,-1.6670000000000016,0.0,-0.4720000000000013,0.377030502744803,-1.6670000000000016,0,0,2022,Monaco Grand Prix,0.0,19,0.0
ALB,8,0 days 00:01:40.829000,WET,8.0,True,0 days 02:19:35.526000,21.6,13,28.1,0 days 00:00:26.683000,0 days 00:00:47.143000,0 days 00:00:27.003000,1,100.829,8375.526,0.8500000000003638,False,False,False,False,False,True,8.0,0.0,0.0,26.683,47.143,27.003,0,0,0,0.0,104.7012,2.7595501807359795,-1.4031997051661804,0,1,101.663,100.302,-1.36099999999999,0.0,-0.8340000000000032,-1.3639999999999997,0.0,0.06400000000000006,0.36132699871446006,-1.3639999999999997,0,1,2022,Monaco Grand Prix,0.0,19,0.0
ALB,9,0 days 00:01:40.302000,WET,9.0,True,0 days 02:21:15.828000,21.7,13,28.2,0 days 00:00:26.630000,0 days 00:00:46.770000,0 days 00:00:26.902000,1,100.302,8475.828,0.9240000000008877,False,False,False,False,False,True,9.0,0.0,0.0,26.63,46.77,26.902,0,0,0,0.0,103.0894,1.9323309240396478,-1.4425065423953225,0,0,100.829,98.978,-1.850999999999999,0.0,-0.5269999999999868,-0.828000000000003,0.0,-0.036999999999999034,0.3709754708872265,-0.828000000000003,0,1,2022,Monaco Grand Prix,0.0,19,0.0
ALB,10,0 days 00:01:38.978000,WET,10.0,True,0 days 02:22:54.806000,21.9,13,27.9,0 days 00:00:25.963000,0 days 00:00:46.158000,0 days 00:00:26.857000,12,98.978,8574.806,1.3799999999991996,False,False,False,False,False,True,10.0,0.0,0.0,25.963,46.158,26.857,0,0,1,0.0,101.99879999999999,1.5534433365912848,-1.9445833194202788,1,0,100.302,107.093,6.790999999999997,0.0,-1.3240000000000123,-1.1949999999999978,0.0,-0.045000000000001705,0.36677268164354815,-1.1949999999999978,0,0,2022,Monaco Grand Prix,0.0,19,0.0
ALB,11,0 days 00:01:47.093000,WET,11.0,True,0 days 02:24:41.899000,21.9,16,27.3,0 days 00:00:34.446000,0 days 00:00:45.591000,0 days 00:00:27.056000,12,107.093,8681.899,0.6810000000004948,False,False,False,False,False,True,11.0,0.0,0.0,34.446,45.591,27.056,0,0,1,0.0,101.1318,1.8229379309235434,3.2701058543336803,0,1,98.978,98.689,-0.2890000000000015,0.0,8.115000000000009,-0.8950000000000008,0.0,0.19900000000000162,0.2452441640488112,-0.8950000000000008,0,1,2022,Monaco Grand Prix,0.0,19,0.0
ALB,12,0 days 00:01:38.689000,WET,12.0,True,0 days 02:26:20.588000,22.0,16,27.1,0 days 00:00:26.281000,0 days 00:00:45.490000,0 days 00:00:26.918000,1,98.689,8780.588,0.47400000000016007,False,False,False,False,False,True,12.0,0.0,0.0,26.281,45.49,26.918,0,0,0,0.0,101.773,3.1297564601738386,-0.9853801850859367,0,0,107.093,97.351,-9.742000000000004,8.115000000000009,-8.40400000000001,2.088000000000003,0.0,0.06099999999999994,0.25146510692340696,2.088000000000003,0,1,2022,Monaco Grand Prix,0.0,19,0.0
