Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:13.449000,MEDIUM,2.0,True,0 days 01:04:47.652000,13,0 days 00:00:17.996000,0 days 00:00:32.941000,0 days 00:00:22.512000,1,73.449,3887.652,0.5520000000001346,False,True,False,2.0,0.0,0.0,0.0,0.0,17.996,32.941,22.512,0,0,0,0.0,,,0.0,0,0,73.449,71.94,-1.5090000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,3,0 days 00:01:11.940000,MEDIUM,3.0,True,0 days 01:05:59.592000,13,0 days 00:00:17.460000,0 days 00:00:32.289000,0 days 00:00:22.191000,1,71.94,3959.592,0.7439999999996871,False,True,False,3.0,0.0,0.0,0.0,0.0,17.46,32.289,22.191,0,0,0,0.0,,,0.0,0,0,73.449,71.721,-1.7279999999999944,0.0,-1.5090000000000003,0.0,0.0,0.0,0.0,0.0,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,4,0 days 00:01:11.721000,MEDIUM,4.0,True,0 days 01:07:11.313000,13,0 days 00:00:17.360000,0 days 00:00:32.255000,0 days 00:00:22.106000,1,71.721,4031.313,0.8019999999996799,False,True,False,4.0,0.0,0.0,0.0,0.0,17.36,32.255,22.106,0,0,0,0.0,,,0.0,0,0,71.94,71.806,-0.13400000000000034,0.0,-0.2189999999999941,-0.7545000000000002,0.0,-0.0849999999999973,0.0,0.0,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,5,0 days 00:01:11.806000,MEDIUM,5.0,True,0 days 01:08:23.119000,13,0 days 00:00:17.460000,0 days 00:00:32.214000,0 days 00:00:22.132000,1,71.806,4103.119,0.8490000000001601,False,True,False,5.0,0.0,0.0,0.0,0.0,17.46,32.214,22.132,0,0,0,0.0,72.37,0.9408352671961264,-0.5994673240522093,0,0,71.721,71.94,0.2189999999999941,0.0,0.08499999999999375,-0.5759999999999982,0.0,0.0259999999999998,0.049074772881116634,-0.8639999999999972,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,6,0 days 00:01:11.940000,MEDIUM,6.0,True,0 days 01:09:35.059000,13,0 days 00:00:17.534000,0 days 00:00:32.264000,0 days 00:00:22.142000,1,71.94,4175.059,0.6829999999999927,False,True,False,6.0,0.0,0.0,0.0,0.0,17.534,32.264,22.142,0,0,0,0.0,72.229,0.8183141206162862,-0.35316511437240106,0,0,71.806,71.746,-0.060000000000002274,0.08499999999999375,0.13400000000000034,-0.5476666666666669,0.0,0.03599999999999781,0.04841057047105726,-0.5476666666666669,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,7,0 days 00:01:11.746000,MEDIUM,7.0,True,0 days 01:10:46.805000,13,0 days 00:00:17.455000,0 days 00:00:32.225000,0 days 00:00:22.066000,1,71.746,4246.805,1.043999999999869,False,True,False,7.0,0.0,0.0,0.0,0.0,17.455,32.225,22.066,0,0,0,0.0,72.1712,0.7203698355705939,-0.5902523662213166,0,0,71.94,71.89,-0.04999999999999716,0.2189999999999941,-0.19400000000000261,0.0,0.0,-0.0400000000000027,0.047673892226247315,0.0,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,8,0 days 00:01:11.890000,MEDIUM,8.0,True,0 days 01:11:58.695000,13,0 days 00:00:17.468000,0 days 00:00:32.280000,0 days 00:00:22.142000,1,71.89,4318.695,1.3540000000002692,False,True,False,8.0,0.0,0.0,0.0,0.0,17.468,32.28,22.142,0,0,0,0.0,71.83059999999999,0.1045361181602026,0.5682246580935759,0,0,71.746,71.98,0.23400000000000887,0.024999999999991473,0.14400000000000546,0.008333333333330492,0.0,0.07600000000000051,0.0500079993601012,0.008333333333330492,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,9,0 days 00:01:11.980000,MEDIUM,9.0,True,0 days 01:13:10.675000,13,0 days 00:00:17.397000,0 days 00:00:32.410000,0 days 00:00:22.173000,1,71.98,4390.675,1.876999999999498,False,True,False,9.0,0.0,0.0,0.0,0.0,17.397,32.41,22.173,0,0,0,0.0,71.82059999999998,0.09323518649095733,1.7096549703955293,0,0,71.89,71.691,-0.19899999999999807,0.16899999999999693,0.09000000000000341,0.028000000000001062,0.0,0.10699999999999932,0.0643024105302431,0.028000000000001062,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,10,0 days 00:01:11.691000,MEDIUM,10.0,True,0 days 01:14:22.366000,13,0 days 00:00:17.522000,0 days 00:00:32.220000,0 days 00:00:21.949000,1,71.691,4462.366,2.5770000000002256,False,True,False,10.0,0.0,0.0,0.0,0.0,17.522,32.22,21.949,0,0,0,0.0,71.8724,0.09597291284526088,-1.8901166446044149,1,0,71.98,71.134,-0.8460000000000036,0.23400000000000887,-0.2890000000000015,0.013333333333335418,0.0,-0.11699999999999733,0.05565968020030391,0.013333333333335418,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,13,0 days 00:01:11.134000,HARD,2.0,True,0 days 01:18:17.662000,15,0 days 00:00:17.676000,0 days 00:00:31.875000,0 days 00:00:21.583000,1,71.134,4697.662,1.7150000000001455,True,False,False,2.0,0.0,0.0,0.0,0.0,17.676,31.875,21.583,0,0,0,0.0,71.8494,0.12519504782539836,-5.714283531387965,1,1,71.691,71.058,-0.6329999999999956,0.0,-0.5570000000000022,-0.01833333333333087,0.0,-0.3660000000000032,0.09088619257070821,-0.01833333333333087,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
