Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:02:09.436000,INTERMEDIATE,2.0,True,0 days 02:12:31.503000,26.9,20,29.9,0 days 00:00:33.495000,0 days 00:00:51.192000,0 days 00:00:44.749000,1,129.436,7951.503,0.0,True,False,False,2.0,0.0,0.0,33.495,51.192,44.749,0,0,0,0.0,,,0.0,0,0,129.436,127.765,-1.6710000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,3,0 days 00:02:07.765000,INTERMEDIATE,3.0,True,0 days 02:14:39.268000,26.9,20,29.8,0 days 00:00:32.903000,0 days 00:00:50.410000,0 days 00:00:44.452000,1,127.765,8079.268,0.0,True,False,False,3.0,0.0,0.0,32.903,50.41,44.452,0,0,0,0.0,,,0.0,0,0,129.436,126.625,-2.811000000000007,0.0,-1.6710000000000065,0.0,0.0,0.0,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,4,0 days 00:02:06.625000,INTERMEDIATE,4.0,True,0 days 02:16:45.893000,26.8,20,29.4,0 days 00:00:32.623000,0 days 00:00:49.859000,0 days 00:00:44.143000,1,126.625,8205.893,0.0,True,False,False,4.0,0.0,0.0,32.623,49.859,44.143,0,0,0,0.0,,,0.0,0,0,127.765,125.513,-2.2519999999999953,0.0,-1.1400000000000006,-0.8355000000000032,0.0,-0.3089999999999975,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,5,0 days 00:02:05.513000,INTERMEDIATE,5.0,True,0 days 02:18:51.406000,26.9,20,29.4,0 days 00:00:32.575000,0 days 00:00:49.553000,0 days 00:00:43.385000,1,125.513,8331.406,0.0,True,False,False,5.0,0.0,0.0,32.575,49.553,43.385,0,0,0,0.0,127.94200000000001,1.41383414868931,-1.7180232930798836,1,0,126.625,125.889,-0.7360000000000042,0.0,-1.1119999999999948,-0.9370000000000024,0.0,-0.7580000000000027,0.17840123317959292,-1.4055000000000035,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,6,0 days 00:02:05.889000,INTERMEDIATE,6.0,True,0 days 02:20:57.295000,26.9,20,29.6,0 days 00:00:32.162000,0 days 00:00:50.170000,0 days 00:00:43.557000,1,125.889,8457.295,0.0,True,False,False,6.0,0.0,0.0,32.162,50.17,43.557,0,0,0,0.0,127.33475,1.675597878370591,-0.8628263491273341,0,1,125.513,124.953,-0.5600000000000023,0.0,0.37599999999999056,-1.3076666666666672,0.0,0.17200000000000415,0.3584330481414916,-1.3076666666666672,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,7,0 days 00:02:04.953000,INTERMEDIATE,7.0,True,0 days 02:23:02.248000,27.1,18,29.4,0 days 00:00:32.866000,0 days 00:00:49.190000,0 days 00:00:42.897000,12,124.953,8582.248,0.0,True,False,False,7.0,0.0,0.0,32.866,49.19,42.897,0,0,1,0.0,127.04560000000001,1.588634570944504,-1.3172318154677156,0,0,125.889,123.609,-2.280000000000001,0.37599999999999056,-0.9359999999999928,-0.625333333333335,0.0,-0.48799999999999955,0.36722744995438633,-0.625333333333335,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,11,0 days 00:02:03.609000,INTERMEDIATE,11.0,True,0 days 02:32:37.537000,27.0,17,29.1,0 days 00:00:31.964000,0 days 00:00:48.599000,0 days 00:00:43.046000,1,123.609,9157.537,4.950999999999112,True,False,False,11.0,0.0,0.0,31.964,48.599,43.046,0,0,0,0.0,126.149,1.088639517930536,-2.333187394141684,1,0,124.953,123.271,-1.6820000000000022,0.0,-1.3440000000000083,-0.5573333333333323,0.0,0.1490000000000009,0.3725705302355535,-0.5573333333333323,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,12,0 days 00:02:03.271000,INTERMEDIATE,12.0,True,0 days 02:34:40.808000,27.2,17,29.5,0 days 00:00:31.881000,0 days 00:00:48.711000,0 days 00:00:42.679000,1,123.271,9280.808,3.7229999999999563,True,False,False,12.0,0.0,0.0,31.881,48.711,42.679,0,0,0,0.0,125.31779999999999,1.1320579490467975,-1.8080346520453423,1,1,123.609,122.652,-0.9569999999999936,0.0,-0.33799999999999386,-0.6346666666666702,0.0,-0.21799999999999642,0.40479093369293934,-0.6346666666666702,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,13,0 days 00:02:02.652000,INTERMEDIATE,13.0,True,0 days 02:36:43.460000,27.2,17,29.1,0 days 00:00:31.910000,0 days 00:00:48.364000,0 days 00:00:42.378000,1,122.652,9403.46,3.3700000000008004,True,False,False,13.0,0.0,0.0,31.91,48.364,42.378,0,0,0,0.0,124.647,1.157257101944099,-1.7239038729151586,1,1,123.271,123.222,-0.049000000000006594,0.0,-0.6189999999999998,-0.872666666666665,0.0,-0.30100000000000193,0.40333831952840987,-0.872666666666665,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,14,0 days 00:02:03.222000,INTERMEDIATE,14.0,True,0 days 02:38:46.682000,27.3,17,29.1,0 days 00:00:31.915000,0 days 00:00:48.585000,0 days 00:00:42.722000,1,123.222,9526.682,2.9169999999994616,True,False,False,14.0,0.0,0.0,31.915,48.585,42.722,0,0,0,0.0,124.07480000000001,1.3181408119013927,-0.6469718502758963,0,1,122.652,123.057,0.40500000000000114,0.0,0.5699999999999932,-0.7670000000000007,0.0,0.3440000000000012,0.2889354599214169,-0.7670000000000007,0,0,2022,Singapore Grand Prix,0.0,19,0.0
