Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:31.252000,SOFT,2.0,True,0 days 01:05:23.899000,36.7,16,49.4,0 days 00:00:25.116000,0 days 00:00:34.829000,0 days 00:00:31.307000,1,91.252,3923.899,0.29700000000002547,False,False,True,2.0,0.0,0.0,25.116,34.829,31.307,0,0,0,0.0,,,0.0,0,0,91.252,91.561,0.3090000000000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2022,Spanish Grand Prix,0.0,16,0.0
ALB,3,0 days 00:01:31.561000,SOFT,3.0,True,0 days 01:06:55.460000,36.9,17,49.4,0 days 00:00:25.124000,0 days 00:00:35.021000,0 days 00:00:31.416000,1,91.561,4015.46,0.49499999999989086,False,False,True,3.0,0.0,0.0,25.124,35.021,31.416,0,0,0,0.0,,,0.0,0,0,91.252,90.224,-1.0279999999999916,0.0,0.3090000000000117,0.0,0.0,0.0,0.0,0.0,0,1,2022,Spanish Grand Prix,0.0,16,0.0
ALB,4,0 days 00:01:30.224000,SOFT,4.0,True,0 days 01:08:25.684000,37.0,17,49.5,0 days 00:00:24.498000,0 days 00:00:34.615000,0 days 00:00:31.111000,1,90.224,4105.684,0.6959999999999127,False,False,True,4.0,0.0,0.0,24.498,34.615,31.111,0,0,0,0.0,,,0.0,0,0,91.561,90.495,-1.0660000000000025,0.0,-1.3370000000000033,0.15450000000000585,0.0,-0.19599999999999795,0.0,0.0,0,1,2022,Spanish Grand Prix,0.0,16,0.0
ALB,5,0 days 00:01:30.495000,SOFT,5.0,True,0 days 01:09:56.179000,37.0,17,49.3,0 days 00:00:24.801000,0 days 00:00:34.587000,0 days 00:00:31.107000,1,90.495,4196.179,1.055000000000291,False,False,True,5.0,0.0,0.0,24.801,34.587,31.107,0,0,0,0.0,91.01233333333334,0.6999802378162748,-0.7390684842007293,0,0,90.224,91.25,1.0259999999999962,0.0,0.2710000000000008,-0.34266666666666384,0.0,-0.004000000000001336,0.11316065276116548,-0.5139999999999958,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,6,0 days 00:01:31.250000,SOFT,6.0,True,0 days 01:11:27.429000,36.9,17,49.5,0 days 00:00:24.980000,0 days 00:00:34.814000,0 days 00:00:31.456000,1,91.25,4287.429,1.1400000000003274,False,False,True,6.0,0.0,0.0,24.98,34.814,31.456,0,0,0,0.0,90.88300000000001,0.6273409492984345,0.5850088383524338,0,0,90.495,91.389,0.8939999999999912,0.2710000000000008,0.7549999999999955,-0.25233333333333025,0.0,0.3490000000000002,0.0973515964601151,-0.25233333333333025,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,7,0 days 00:01:31.389000,SOFT,7.0,True,0 days 01:12:58.818000,37.0,17,49.5,0 days 00:00:25.172000,0 days 00:00:34.874000,0 days 00:00:31.343000,12,91.389,4378.818,1.0909999999994398,False,False,True,7.0,0.0,0.0,25.172,34.874,31.343,0,0,1,0.0,90.9564,0.5675432142136808,0.762232706102128,0,0,91.25,91.244,-0.006000000000000227,1.0259999999999962,0.1389999999999958,-0.10366666666666902,0.0,0.23600000000000065,0.1973529832558906,-0.10366666666666902,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,8,0 days 00:01:31.244000,SOFT,8.0,True,0 days 01:14:30.062000,37.0,17,49.5,0 days 00:00:24.994000,0 days 00:00:34.698000,0 days 00:00:31.552000,12,91.244,4470.062,1.1880000000001019,False,False,True,8.0,0.0,0.0,24.994,34.698,31.552,0,0,1,0.0,90.9838,0.5883091874176328,0.44228444084332313,0,0,91.389,91.741,0.35200000000000387,1.164999999999992,-0.14499999999999602,0.3883333333333307,0.0,0.4450000000000003,0.2158031510427961,0.3883333333333307,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,9,0 days 00:01:31.741000,SOFT,9.0,True,0 days 01:16:01.803000,37.0,17,49.6,0 days 00:00:25.098000,0 days 00:00:35.021000,0 days 00:00:31.622000,21,91.741,4561.803,1.1739999999999782,False,False,True,9.0,0.0,0.0,25.098,35.021,31.622,0,0,1,0.0,90.9204,0.524136718805307,1.5656220420321565,0,0,91.244,91.667,0.4230000000000018,1.019999999999996,0.4969999999999999,0.24966666666666507,0.0,0.2789999999999999,0.26276129852015845,0.24966666666666507,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,10,0 days 00:01:31.667000,SOFT,10.0,True,0 days 01:17:33.470000,37.0,17,49.7,0 days 00:00:25.076000,0 days 00:00:34.860000,0 days 00:00:31.731000,1,91.667,4653.47,1.3239999999996144,False,False,True,10.0,0.0,0.0,25.076,34.86,31.731,0,0,0,0.0,91.22380000000001,0.4547061688607229,0.9746953755002673,0,0,91.741,89.34,-2.4009999999999962,1.2459999999999951,-0.07399999999999807,0.16366666666666654,0.0,0.3880000000000017,0.16790920165375156,0.16366666666666654,0,0,2022,Spanish Grand Prix,0.0,16,0.0
ALB,13,0 days 00:01:29.340000,MEDIUM,2.0,True,0 days 01:22:26.171000,36.9,18,49.7,0 days 00:00:24.716000,0 days 00:00:33.991000,0 days 00:00:30.633000,1,89.34,4946.171,16.82299999999941,False,True,False,2.0,0.0,0.0,24.716,33.991,30.633,0,0,0,0.0,91.4582,0.2332331451573757,-9.081899566936471,1,0,91.667,89.639,-2.028000000000006,0.4230000000000018,-2.326999999999998,0.0926666666666686,0.0,-0.9190000000000005,0.08358408939505191,0.0926666666666686,0,0,2022,Spanish Grand Prix,0.0,16,0.0
