Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,7,0 days 00:01:21.421000,MEDIUM,3.0,True,0 days 01:14:36.281000,23.3,16,48.3,0 days 00:00:21.051000,0 days 00:00:42.907000,0 days 00:00:17.463000,12,81.421,4476.281,0.0,False,True,False,3.0,0.0,0.0,21.051,42.907,17.463,0,0,1,0.0,,,0.0,0,0,81.421,79.245,-2.176000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,8,0 days 00:01:19.245000,MEDIUM,4.0,True,0 days 01:15:55.526000,23.4,16,47.6,0 days 00:00:20.072000,0 days 00:00:41.463000,0 days 00:00:17.710000,1,79.245,4555.526,0.0,False,True,False,4.0,0.0,0.0,20.072,41.463,17.71,0,0,0,0.0,,,0.0,0,0,81.421,78.002,-3.419000000000011,0.0,-2.176000000000002,0.0,0.0,0.0,0.0,0.0,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,9,0 days 00:01:18.002000,MEDIUM,5.0,True,0 days 01:17:13.528000,23.6,16,49.1,0 days 00:00:19.761000,0 days 00:00:40.993000,0 days 00:00:17.248000,1,78.002,4633.528,20.180999999999585,False,True,False,5.0,0.0,0.0,19.761,40.993,17.248,0,0,0,0.0,,,0.0,0,0,79.245,77.888,-1.3569999999999993,0.0,-1.2430000000000092,-1.088000000000001,0.0,-0.21499999999999986,0.0,0.0,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,10,0 days 00:01:17.888000,MEDIUM,6.0,True,0 days 01:18:31.416000,23.7,16,49.9,0 days 00:00:19.743000,0 days 00:00:40.728000,0 days 00:00:17.417000,1,77.888,4711.416,18.15899999999965,False,True,False,6.0,0.0,0.0,19.743,40.728,17.417,0,0,0,0.0,79.556,1.730586894668973,-0.9638348730931812,0,0,78.002,78.013,0.01100000000000989,0.0,-0.11399999999999011,-1.1396666666666704,0.0,0.16900000000000048,0.12413030787576947,-1.7095000000000056,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,11,0 days 00:01:18.013000,MEDIUM,7.0,True,0 days 01:19:49.429000,23.8,16,49.9,0 days 00:00:19.666000,0 days 00:00:40.816000,0 days 00:00:17.531000,1,78.013,4789.429,16.350000000000364,False,True,False,7.0,0.0,0.0,19.666,40.816,17.531,0,0,0,0.0,79.13900000000001,1.6407853810497757,-0.6862567237645604,0,0,77.888,77.769,-0.11899999999999977,0.0,0.125,-1.177666666666667,0.0,0.2829999999999977,0.15732874287088605,-1.177666666666667,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,12,0 days 00:01:17.769000,MEDIUM,8.0,True,0 days 01:21:07.198000,23.9,15,49.2,0 days 00:00:19.681000,0 days 00:00:40.722000,0 days 00:00:17.366000,1,77.769,4867.198,1.4439999999995052,False,True,False,8.0,0.0,0.0,19.681,40.722,17.366,0,0,0,0.0,78.91380000000001,1.507550231335589,-0.759377681887115,0,0,78.013,78.497,0.48399999999999466,0.125,-0.24399999999999977,-0.41066666666666646,0.0,0.11799999999999855,0.18950013192607476,-0.41066666666666646,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,13,0 days 00:01:18.497000,MEDIUM,9.0,True,0 days 01:22:25.695000,23.7,14,47.9,0 days 00:00:20.067000,0 days 00:00:40.695000,0 days 00:00:17.735000,1,78.497,4945.695,0.5840000000007421,False,True,False,9.0,0.0,0.0,20.067,40.695,17.735,0,0,0,0.0,78.1834,0.6016488178331,0.5212342993200859,0,0,77.769,78.095,0.3259999999999934,0.0,0.7279999999999944,-0.07766666666666329,0.0,0.3689999999999998,0.18946899482501017,-0.07766666666666329,0,1,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,14,0 days 00:01:18.095000,MEDIUM,10.0,True,0 days 01:23:43.790000,23.5,14,47.5,0 days 00:00:19.752000,0 days 00:00:40.474000,0 days 00:00:17.869000,1,78.095,5023.79,0.7169999999996435,False,True,False,10.0,0.0,0.0,19.752,40.474,17.869,0,0,0,0.0,78.03380000000001,0.2772069623944539,0.2207736756369785,0,0,78.497,78.136,-0.3610000000000042,0.7279999999999944,-0.402000000000001,0.2029999999999982,0.0,0.5030000000000001,0.22367655219088078,0.2029999999999982,0,1,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,15,0 days 00:01:18.136000,MEDIUM,11.0,True,0 days 01:25:01.926000,23.5,13,46.8,0 days 00:00:19.814000,0 days 00:00:40.418000,0 days 00:00:17.904000,1,78.136,5101.926,1.0319999999992433,False,True,False,11.0,0.0,0.0,19.814,40.418,17.904,0,0,0,0.0,78.0524,0.277659503709057,0.3010881993349286,0,0,78.095,78.107,0.012000000000000455,0.3259999999999934,0.04099999999999682,0.02733333333333121,0.0,0.5380000000000003,0.15481537391357522,0.02733333333333121,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,16,0 days 00:01:18.107000,MEDIUM,12.0,True,0 days 01:26:20.033000,23.6,13,47.7,0 days 00:00:19.797000,0 days 00:00:40.456000,0 days 00:00:17.854000,1,78.107,5180.033,1.231999999999971,False,True,False,12.0,0.0,0.0,19.797,40.456,17.854,0,0,0,0.0,78.102,0.2626975447162756,0.01903329551631578,0,0,78.136,78.241,0.10500000000000398,0.3669999999999902,-0.028999999999996362,0.12233333333333007,0.0,0.11899999999999977,0.17079432074867215,0.12233333333333007,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,17,0 days 00:01:18.241000,MEDIUM,13.0,True,0 days 01:27:38.274000,23.7,12,47.3,0 days 00:00:19.748000,0 days 00:00:40.541000,0 days 00:00:17.952000,1,78.241,5258.274,1.4179999999996653,False,True,False,13.0,0.0,0.0,19.748,40.541,17.952,0,0,0,0.0,78.1208,0.25805852049478956,0.4657858216404985,0,0,78.107,78.335,0.22799999999999443,0.33799999999999386,0.13400000000000034,-0.1300000000000002,0.0,0.09800000000000253,0.20259392883302355,-0.1300000000000002,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,18,0 days 00:01:18.335000,MEDIUM,14.0,True,0 days 01:28:56.609000,23.7,12,46.3,0 days 00:00:19.776000,0 days 00:00:40.706000,0 days 00:00:17.853000,1,78.335,5336.609,1.6629999999995562,False,True,False,14.0,0.0,0.0,19.776,40.706,17.853,0,0,0,0.0,78.21520000000001,0.1677086759829663,0.7143339442507521,0,0,78.241,78.534,0.29300000000000637,0.1460000000000008,0.09399999999999409,0.048666666666666934,0.0,-0.0009999999999976694,0.20793821197653828,0.048666666666666934,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,19,0 days 00:01:18.534000,MEDIUM,15.0,True,0 days 01:30:15.143000,23.6,12,46.2,0 days 00:00:19.877000,0 days 00:00:40.764000,0 days 00:00:17.893000,1,78.534,5415.143,1.6459999999997308,False,True,False,15.0,0.0,0.0,19.877,40.764,17.893,0,0,0,0.0,78.1828,0.10270929850777763,3.4193593482036215,0,0,78.335,78.481,0.1460000000000008,0.23999999999999488,0.19900000000001228,0.06633333333333269,0.0,0.03999999999999915,0.25010457812682996,0.06633333333333269,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,20,0 days 00:01:18.481000,MEDIUM,16.0,True,0 days 01:31:33.624000,23.3,11,46.4,0 days 00:00:19.830000,0 days 00:00:40.768000,0 days 00:00:17.883000,1,78.481,5493.624,3.6030000000000655,False,True,False,16.0,0.0,0.0,19.83,40.768,17.883,0,0,0,0.0,78.2706,0.17268844778953016,1.2183791254897658,0,0,78.534,78.649,0.11499999999999488,0.4270000000000067,-0.05300000000001148,0.14233333333333556,0.0,0.029999999999997584,0.21721118755717866,0.14233333333333556,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,21,0 days 00:01:18.649000,MEDIUM,17.0,True,0 days 01:32:52.273000,23.3,11,46.4,0 days 00:00:19.903000,0 days 00:00:40.750000,0 days 00:00:17.996000,1,78.649,5572.273,2.438000000000102,False,True,False,17.0,0.0,0.0,19.903,40.75,17.996,0,0,0,0.0,78.33959999999999,0.1743783243409379,1.774303091679466,0,0,78.481,78.635,0.15400000000001057,0.3739999999999952,0.16800000000000637,0.0799999999999983,0.0,0.14299999999999713,0.0497664545652996,0.0799999999999983,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,22,0 days 00:01:18.635000,MEDIUM,18.0,True,0 days 01:34:10.908000,23.2,11,46.4,0 days 00:00:19.888000,0 days 00:00:40.816000,0 days 00:00:17.931000,1,78.635,5650.908,1.095999999999549,False,True,False,18.0,0.0,0.0,19.888,40.816,17.931,0,0,0,0.0,78.44800000000001,0.1616353921638059,1.1569248386546833,0,0,78.649,78.75,0.10099999999999909,0.40800000000000125,-0.013999999999995794,0.10466666666666906,0.0,0.04800000000000182,0.05773647027659307,0.10466666666666906,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
ALB,23,0 days 00:01:18.750000,MEDIUM,19.0,True,0 days 01:35:29.658000,23.2,11,45.3,0 days 00:00:20.021000,0 days 00:00:40.833000,0 days 00:00:17.896000,1,78.75,5729.658,1.326999999999316,False,True,False,19.0,0.0,0.0,20.021,40.833,17.896,0,0,0,0.0,78.52680000000001,0.12803983755043866,1.7432074600381022,0,0,78.635,78.337,-0.2980000000000018,0.30000000000001137,0.11499999999999488,0.033666666666666366,0.0,0.013000000000001677,0.05416179465268712,0.033666666666666366,0,0,2022,São Paulo Grand Prix,0.0,15,0.0
