Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:33.560000,MEDIUM,3.0,True,0 days 01:05:38.960000,27.1,18,33.7,0 days 00:00:18.892000,0 days 00:00:39.357000,0 days 00:00:35.311000,1,93.56,3938.96,0.47899999999981446,False,True,3.0,0.0,0.0,18.892,39.357,35.311,0,0,0,0.0,,,0.0,0,0,93.56,91.768,-1.7920000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,3,0 days 00:01:31.768000,MEDIUM,4.0,True,0 days 01:07:10.728000,27.0,18,33.7,0 days 00:00:18.588000,0 days 00:00:38.312000,0 days 00:00:34.868000,1,91.768,4030.728,0.42200000000002547,False,True,4.0,0.0,0.0,18.588,38.312,34.868,0,0,0,0.0,,,0.0,0,0,93.56,91.591,-1.9690000000000083,0.0,-1.7920000000000016,0.0,0.0,0.0,0.0,0.0,0,1,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,4,0 days 00:01:31.591000,MEDIUM,5.0,True,0 days 01:08:42.319000,27.0,18,33.1,0 days 00:00:18.657000,0 days 00:00:38.211000,0 days 00:00:34.723000,1,91.591,4122.319,0.42399999999997817,False,True,5.0,0.0,0.0,18.657,38.211,34.723,0,0,0,0.0,,,0.0,0,0,91.768,91.422,-0.34600000000000364,0.0,-0.1770000000000067,-0.8960000000000008,0.0,-0.14500000000000313,0.0,0.0,0,1,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,5,0 days 00:01:31.422000,MEDIUM,6.0,True,0 days 01:10:13.741000,27.0,18,33.0,0 days 00:00:18.605000,0 days 00:00:38.328000,0 days 00:00:34.489000,1,91.422,4213.741,1.800000000000182,False,True,6.0,0.0,0.0,18.605,38.328,34.489,0,0,0,0.0,92.30633333333333,1.0893081902443116,-0.8118302435006856,0,0,91.591,91.491,-0.09999999999999432,0.0,-0.16899999999999693,-0.6563333333333361,0.0,-0.23400000000000176,0.08371578903249755,-0.9845000000000041,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,6,0 days 00:01:31.491000,MEDIUM,7.0,True,0 days 01:11:45.232000,27.0,18,33.2,0 days 00:00:18.696000,0 days 00:00:38.325000,0 days 00:00:34.470000,1,91.491,4305.232,2.020999999999731,False,True,7.0,0.0,0.0,18.696,38.325,34.47,0,0,0,0.0,92.08525,0.9932637699355948,-0.5982801527519067,0,0,91.422,91.438,0.016000000000005343,0.0,0.06900000000000261,-0.7126666666666684,0.0,-0.01899999999999835,0.11528334658570712,-0.7126666666666684,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,7,0 days 00:01:31.438000,MEDIUM,8.0,True,0 days 01:13:16.670000,27.0,18,33.1,0 days 00:00:18.537000,0 days 00:00:38.553000,0 days 00:00:34.348000,1,91.438,4396.67,1.7399999999997817,False,True,8.0,0.0,0.0,18.537,38.553,34.348,0,0,0,0.0,91.9664,0.9003090025096963,-0.5869096038438201,0,0,91.491,91.58,0.08899999999999864,0.06900000000000261,-0.05299999999999727,-0.09233333333333367,0.0,-0.12199999999999989,0.10542912311121766,-0.09233333333333367,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,8,0 days 00:01:31.580000,MEDIUM,9.0,True,0 days 01:14:48.250000,26.9,17,32.8,0 days 00:00:18.473000,0 days 00:00:38.845000,0 days 00:00:34.262000,1,91.58,4488.25,1.7020000000002256,False,True,9.0,0.0,0.0,18.473,38.845,34.262,0,0,0,0.0,91.542,0.14256051346712817,0.2665534731590231,0,0,91.438,91.644,0.20600000000000307,0.016000000000005343,0.1419999999999959,-0.05099999999999719,0.0,-0.08599999999999852,0.09610671152422316,-0.05099999999999719,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,9,0 days 00:01:31.644000,MEDIUM,10.0,True,0 days 01:16:19.894000,26.9,17,32.7,0 days 00:00:18.449000,0 days 00:00:38.802000,0 days 00:00:34.393000,1,91.644,4579.894,1.4659999999994398,False,True,10.0,0.0,0.0,18.449,38.802,34.393,0,0,0,0.0,91.5044,0.0784110961536208,1.7803602659309996,0,0,91.58,91.978,0.39799999999999613,0.15800000000000125,0.06400000000000716,0.052666666666667084,0.0,0.13100000000000023,0.07901708675976513,0.052666666666667084,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,10,0 days 00:01:31.978000,MEDIUM,11.0,True,0 days 01:17:51.872000,26.9,17,32.9,0 days 00:00:18.548000,0 days 00:00:38.802000,0 days 00:00:34.628000,1,91.978,4671.872,1.52599999999984,False,True,11.0,0.0,0.0,18.548,38.802,34.628,0,0,0,0.0,91.51500000000001,0.09489467845992575,4.879093406649833,0,0,91.644,91.962,0.31799999999999784,0.2220000000000084,0.333999999999989,0.05100000000000193,0.0,0.36599999999999966,0.1348869897358533,0.05100000000000193,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,11,0 days 00:01:31.962000,MEDIUM,12.0,True,0 days 01:19:23.834000,26.9,17,32.8,0 days 00:00:18.571000,0 days 00:00:38.881000,0 days 00:00:34.510000,1,91.962,4763.834,1.4459999999999127,False,True,12.0,0.0,0.0,18.571,38.881,34.51,0,0,0,0.0,91.6262,0.2120806450386447,1.5833599522427781,0,0,91.978,91.958,-0.01999999999999602,0.539999999999992,-0.015999999999991132,0.17999999999999736,0.0,0.24799999999999756,0.19948558845189743,0.17999999999999736,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
