Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,4,0 days 00:01:24.327000,MEDIUM,4.0,True,0 days 01:09:47.953000,17.8,6,34.3,0 days 00:00:29.279000,0 days 00:00:18.408000,0 days 00:00:36.640000,1,84.327,4187.953,0.48299999999926513,False,True,False,4.0,0.0,0.0,29.279,18.408,36.64,0,0,0,0.0,,,0.0,0,0,84.327,83.639,-0.6880000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,Australian Grand Prix,0.0,14,0.0
ALB,5,0 days 00:01:23.639000,MEDIUM,5.0,True,0 days 01:11:11.592000,17.7,6,33.7,0 days 00:00:29.185000,0 days 00:00:18.308000,0 days 00:00:36.146000,1,83.639,4271.592,0.7809999999999491,False,True,False,5.0,0.0,0.0,29.185,18.308,36.146,0,0,0,0.0,,,0.0,0,0,84.327,83.349,-0.9779999999999944,0.0,-0.6880000000000024,0.0,0.0,0.0,0.0,0.0,0,1,2023,Australian Grand Prix,0.0,14,0.0
ALO,4,0 days 00:01:24.293000,MEDIUM,5.0,True,0 days 01:09:47.166000,17.8,5,34.3,0 days 00:00:29.391000,0 days 00:00:18.696000,0 days 00:00:36.206000,1,84.293,4187.166,0.7870000000002619,False,True,False,5.0,0.0,0.0,29.391,18.696,36.206,0,0,0,0.0,83.77166666666666,0.5023159696180665,1.0378593651516563,0,0,84.293,83.29,-1.0030000000000001,0.9440000000000026,0.0,-0.3259999999999981,0.0,0.3290000000000006,0.1553072224120084,0.0,0,1,2023,Australian Grand Prix,0.0,14,0.0
ALO,5,0 days 00:01:23.290000,MEDIUM,6.0,True,0 days 01:11:10.456000,17.7,5,33.7,0 days 00:00:28.870000,0 days 00:00:18.573000,0 days 00:00:35.847000,1,83.29,4270.456,1.1359999999995125,False,True,False,6.0,0.0,0.0,28.87,18.573,35.847,0,0,0,0.0,,,0.0,0,0,84.293,82.603,-1.690000000000012,0.0,-1.0030000000000001,0.0,0.0,0.0,0.0,0.0,0,0,2023,Australian Grand Prix,0.0,14,0.0
ALO,6,0 days 00:01:22.603000,MEDIUM,7.0,True,0 days 01:12:33.059000,17.8,5,33.7,0 days 00:00:28.656000,0 days 00:00:18.305000,0 days 00:00:35.642000,1,82.603,4353.059,1.881999999999607,False,True,False,7.0,0.0,0.0,28.656,18.305,35.642,0,0,0,0.0,,,0.0,0,0,83.29,88.668,5.378,0.0,-0.6870000000000118,-0.5015000000000001,0.0,-0.2049999999999983,0.0,0.0,0,0,2023,Australian Grand Prix,0.0,14,0.0
ALO,10,0 days 00:01:28.668000,HARD,2.0,True,0 days 01:37:17.316000,18.0,3,33.1,0 days 00:00:33.489000,0 days 00:00:18.929000,0 days 00:00:36.250000,1,88.668,5837.316,0.9960000000000946,True,False,False,2.0,0.0,0.0,33.489,18.929,36.25,0,0,0,0.0,83.39533333333334,0.8499096030363182,6.203797024801183,0,0,82.603,84.644,2.041000000000011,0.0,6.065000000000012,-0.5633333333333373,0.0,0.607999999999997,0.2693888144176241,-0.845000000000006,0,1,2023,Australian Grand Prix,0.0,14,0.0
ALO,11,0 days 00:01:24.644000,HARD,3.0,True,0 days 01:38:41.960000,18.0,3,33.0,0 days 00:00:29.548000,0 days 00:00:18.786000,0 days 00:00:36.310000,1,84.644,5921.96,0.8109999999996944,True,False,False,3.0,0.0,0.0,29.548,18.786,36.31,0,0,0,0.0,84.71350000000001,2.7261360323114237,-0.025493958913370023,0,0,88.668,83.321,-5.347000000000008,6.065000000000012,-4.024000000000001,1.4583333333333333,0.0,0.6679999999999993,0.3586892805758192,1.4583333333333333,0,1,2023,Australian Grand Prix,0.0,14,0.0
ALO,12,0 days 00:01:23.321000,HARD,4.0,True,0 days 01:40:05.281000,18.0,3,33.0,0 days 00:00:29.034000,0 days 00:00:18.555000,0 days 00:00:35.732000,1,83.321,6005.281,1.1369999999997162,True,False,False,4.0,0.0,0.0,29.034,18.555,35.732,0,0,0,0.0,84.6996,2.3611076426118323,-0.5838785047830404,0,0,84.644,83.634,-1.0100000000000051,2.041000000000011,-1.3230000000000075,0.4513333333333331,0.0,0.0899999999999963,0.37886475159349275,0.4513333333333331,0,0,2023,Australian Grand Prix,0.0,14,0.0
ALO,13,0 days 00:01:23.634000,HARD,5.0,True,0 days 01:41:28.915000,18.0,3,32.8,0 days 00:00:29.021000,0 days 00:00:18.578000,0 days 00:00:36.035000,1,83.634,6088.915,1.5720000000001164,True,False,False,5.0,0.0,0.0,29.021,18.578,36.035,0,0,0,0.0,84.5052,2.441596547343563,-0.356815707717092,0,0,83.321,83.424,0.10300000000000864,0.7180000000000035,0.3130000000000024,0.2393333333333345,0.0,0.30299999999999727,0.38614401458523107,0.2393333333333345,0,0,2023,Australian Grand Prix,0.0,14,0.0
ALO,14,0 days 00:01:23.424000,HARD,6.0,True,0 days 01:42:52.339000,18.0,3,32.8,0 days 00:00:29.029000,0 days 00:00:18.581000,0 days 00:00:35.814000,1,83.424,6172.339,1.2210000000004584,True,False,False,6.0,0.0,0.0,29.029,18.581,35.814,0,0,0,0.0,84.574,2.4033406957816053,-0.47850061458972337,0,0,83.634,83.008,-0.6260000000000048,1.031000000000006,-0.20999999999999375,-1.678000000000002,0.0,0.08200000000000074,0.36371788518025794,-1.678000000000002,0,0,2023,Australian Grand Prix,0.0,14,0.0
