Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:19.630000,MEDIUM,3.0,True,0 days 01:04:54.526000,10,0 days 00:00:22.646000,0 days 00:00:25.424000,0 days 00:00:31.560000,1,79.63,3894.526,0.4210000000002765,False,True,False,False,3.0,0.0,0.0,0.0,0.0,22.646,25.424,31.56,0,0,0,0.0,,,0.0,0,0,79.63,78.618,-1.0120000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,3,0 days 00:01:18.618000,MEDIUM,4.0,True,0 days 01:06:13.144000,10,0 days 00:00:22.326000,0 days 00:00:25.143000,0 days 00:00:31.149000,1,78.618,3973.144,0.6630000000000109,False,True,False,False,4.0,0.0,0.0,0.0,0.0,22.326,25.143,31.149,0,0,0,0.0,,,0.0,0,0,79.63,78.78,-0.8499999999999943,0.0,-1.0120000000000005,0.0,0.0,0.0,0.0,0.0,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,4,0 days 00:01:18.780000,MEDIUM,5.0,True,0 days 01:07:31.924000,10,0 days 00:00:22.385000,0 days 00:00:25.238000,0 days 00:00:31.157000,1,78.78,4051.924,0.4619999999999891,False,True,False,False,5.0,0.0,0.0,0.0,0.0,22.385,25.238,31.157,0,0,0,0.0,,,0.0,0,0,78.618,78.422,-0.19599999999999795,0.0,0.16200000000000614,-0.5060000000000002,0.0,0.007999999999999119,0.0,0.0,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,5,0 days 00:01:18.422000,MEDIUM,6.0,True,0 days 01:08:50.346000,10,0 days 00:00:22.335000,0 days 00:00:25.109000,0 days 00:00:30.978000,1,78.422,4130.346,0.579000000000633,False,True,False,False,6.0,0.0,0.0,0.0,0.0,22.335,25.109,30.978,0,0,0,0.0,79.00933333333333,0.5435819472106594,-1.0804871948878734,0,0,78.78,78.745,-0.03499999999999659,0.16200000000000614,-0.3580000000000041,-0.28333333333333144,0.0,-0.17099999999999937,0.004618802153516497,-0.42499999999999716,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,6,0 days 00:01:18.745000,MEDIUM,7.0,True,0 days 01:10:09.091000,10,0 days 00:00:22.545000,0 days 00:00:25.143000,0 days 00:00:31.057000,1,78.745,4209.091,0.4329999999999927,False,True,False,False,7.0,0.0,0.0,0.0,0.0,22.545,25.143,31.057,0,0,0,0.0,78.8625,0.5321913816162996,-0.22078523639961534,0,0,78.422,78.467,0.045000000000001705,0.0,0.3230000000000075,-0.4026666666666661,0.0,0.07899999999999707,0.08691518854607586,-0.4026666666666661,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,9,0 days 00:01:18.467000,MEDIUM,10.0,True,0 days 01:14:20.561000,10,0 days 00:00:22.151000,0 days 00:00:25.082000,0 days 00:00:31.234000,1,78.467,4460.561,0.5990000000001601,False,True,False,False,10.0,0.0,0.0,0.0,0.0,22.151,25.082,31.234,0,0,0,0.0,78.839,0.4638771389064125,-0.8019364801571977,0,0,78.745,79.319,0.5739999999999981,0.3230000000000075,-0.2780000000000058,0.04233333333333652,0.0,0.2560000000000002,0.09237802769057045,0.04233333333333652,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,10,0 days 00:01:19.319000,MEDIUM,11.0,True,0 days 01:15:39.880000,10,0 days 00:00:22.805000,0 days 00:00:25.401000,0 days 00:00:31.113000,1,79.319,4539.88,0.5399999999999636,False,True,False,False,11.0,0.0,0.0,0.0,0.0,22.805,25.401,31.113,0,0,0,0.0,78.6064,0.1604035535765978,4.442544969302814,0,0,78.467,78.717,0.25,0.045000000000001705,0.8520000000000039,-0.10433333333333412,0.0,0.134999999999998,0.15424428676615515,-0.10433333333333412,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,11,0 days 00:01:18.717000,MEDIUM,12.0,True,0 days 01:16:58.597000,9,0 days 00:00:22.447000,0 days 00:00:25.288000,0 days 00:00:30.982000,1,78.717,4618.597,0.5460000000002765,False,True,False,False,12.0,0.0,0.0,0.0,0.0,22.447,25.288,30.982,0,0,0,0.0,78.7466,0.3578760958767736,-0.08271019031736097,0,0,79.319,80.042,0.722999999999999,0.8970000000000056,-0.6020000000000039,0.2990000000000019,0.0,-0.07499999999999929,0.15847491915126466,0.2990000000000019,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,17,0 days 00:01:20.042000,HARD,5.0,True,0 days 01:28:21.247000,12,0 days 00:00:22.751000,0 days 00:00:25.545000,0 days 00:00:31.746000,1,80.042,5301.247,0.5609999999996944,True,False,False,False,5.0,0.0,0.0,0.0,0.0,22.751,25.545,31.746,0,0,0,0.0,78.734,0.35751503464889633,3.658587396987515,0,0,78.717,79.275,0.5580000000000069,0.2950000000000017,1.3250000000000028,-0.009333333333335267,0.0,0.7639999999999993,0.16943494326731948,-0.009333333333335267,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,18,0 days 00:01:19.275000,HARD,6.0,True,0 days 01:29:40.522000,12,0 days 00:00:22.374000,0 days 00:00:25.319000,0 days 00:00:31.582000,1,79.275,5380.522,0.4930000000003929,True,False,False,False,6.0,0.0,0.0,0.0,0.0,22.374,25.319,31.582,0,0,0,0.0,79.058,0.6324373486757446,0.3431169908835607,0,0,80.042,77.882,-2.1599999999999966,1.5750000000000028,-0.7669999999999959,0.5250000000000009,0.0,0.6000000000000014,0.32041644776758893,0.5250000000000009,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,19,0 days 00:01:17.882000,HARD,7.0,True,0 days 01:30:58.404000,11,0 days 00:00:22.276000,0 days 00:00:24.791000,0 days 00:00:30.815000,1,77.882,5458.404,0.2539999999999054,True,False,False,False,7.0,0.0,0.0,0.0,0.0,22.276,24.791,30.815,0,0,0,0.0,79.164,0.6109107954521746,-2.0985060495634316,1,0,79.275,78.055,-1.2199999999999989,0.8080000000000069,-1.3930000000000007,-0.014666666666665643,0.0,-0.16699999999999804,0.34227255221533626,-0.014666666666665643,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
