Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:48.180000,SOFT,2.0,True,0 days 01:05:25.551000,17.2,3,27.3,0 days 00:00:36.857000,0 days 00:00:36.643000,0 days 00:00:34.680000,1,108.18,3925.551,0.0929999999998472,False,False,False,True,2.0,0.0,0.0,36.857,36.643,34.68,0,0,0,0.0,,,0.0,0,0,108.18,110.236,2.0559999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,Dutch Grand Prix,0.0,14,0.0
ALB,3,0 days 00:01:50.236000,SOFT,3.0,True,0 days 01:07:15.787000,16.9,8,26.2,0 days 00:00:37.411000,0 days 00:00:38.924000,0 days 00:00:33.901000,1,110.236,4035.787,1.4630000000001928,False,False,False,True,3.0,0.0,0.0,37.411,38.924,33.901,0,0,0,0.0,,,0.0,0,0,108.18,108.341,0.16099999999998715,0.0,2.0559999999999974,0.0,0.0,0.0,0.0,0.0,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,4,0 days 00:01:48.341000,SOFT,4.0,True,0 days 01:09:04.128000,16.4,13,24.8,0 days 00:00:36.804000,0 days 00:00:37.863000,0 days 00:00:33.674000,1,108.341,4144.128,0.7910000000001673,False,False,False,True,4.0,0.0,0.0,36.804,37.863,33.674,0,0,0,0.0,,,0.0,0,0,110.236,101.277,-8.959000000000003,0.0,-1.8950000000000102,1.0279999999999987,0.0,-0.22700000000000387,0.0,0.0,0,1,2023,Dutch Grand Prix,0.0,14,0.0
ALB,5,0 days 00:01:41.277000,SOFT,5.0,True,0 days 01:10:45.405000,16.2,14,24.6,0 days 00:00:32.428000,0 days 00:00:36.227000,0 days 00:00:32.622000,1,101.277,4245.405,0.41300000000046566,False,False,False,True,5.0,0.0,0.0,32.428,36.227,32.622,0,0,0,0.0,108.919,1.1433927584168124,-6.683617631601424,1,0,108.341,94.451,-13.89,0.16099999999998715,-7.063999999999993,0.05366666666666239,0.0,-1.0519999999999996,0.1310585111060473,0.08049999999999358,0,1,2023,Dutch Grand Prix,0.0,14,0.0
ALB,6,0 days 00:01:34.451000,SOFT,6.0,True,0 days 01:12:19.856000,16.4,15,24.2,0 days 00:00:29.209000,0 days 00:00:34.356000,0 days 00:00:30.886000,1,94.451,4339.856,1.1260000000002037,False,False,False,True,6.0,0.0,0.0,29.209,34.356,30.886,0,0,0,0.0,107.0085,3.933396200062569,-3.1925337192831607,1,1,101.277,86.74,-14.537000000000006,0.0,-6.826000000000008,-2.301000000000002,0.0,-1.7360000000000007,0.49975752453898364,-2.301000000000002,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,7,0 days 00:01:26.740000,SOFT,7.0,True,0 days 01:13:46.596000,16.5,15,24.1,0 days 00:00:27.453000,0 days 00:00:30.885000,0 days 00:00:28.402000,1,86.74,4426.596,2.040000000000873,False,False,False,True,7.0,0.0,0.0,27.453,30.885,28.402,0,0,0,0.0,104.497,6.568246759980933,-2.7034611592533335,1,1,94.451,82.359,-12.091999999999999,0.0,-7.7109999999999985,-5.26166666666667,0.0,-2.483999999999998,0.7671186348929346,-5.26166666666667,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,8,0 days 00:01:22.359000,SOFT,8.0,True,0 days 01:15:08.955000,16.5,15,24.1,0 days 00:00:26.743000,0 days 00:00:28.972000,0 days 00:00:26.644000,1,82.359,4508.955,2.154000000000451,False,False,False,True,8.0,0.0,0.0,26.743,28.972,26.644,0,0,0,0.0,100.20899999999999,9.777260633735814,-1.8256647407362454,1,1,86.74,79.783,-6.956999999999994,0.0,-4.381,-7.200333333333333,0.0,-1.7580000000000027,1.0361448740403039,-7.200333333333333,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,9,0 days 00:01:19.783000,SOFT,9.0,True,0 days 01:16:28.738000,16.5,15,24.1,0 days 00:00:26.299000,0 days 00:00:28.737000,0 days 00:00:24.747000,1,79.783,4588.738,1.431999999999789,False,False,False,True,9.0,0.0,0.0,26.299,28.737,24.747,0,0,0,0.0,94.6336,10.54793400624028,-1.4079155208227707,0,1,82.359,80.383,-1.975999999999999,0.0,-2.5759999999999934,-6.306000000000002,0.0,-1.8969999999999985,0.8514603925021981,-6.306000000000002,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,10,0 days 00:01:20.383000,SOFT,10.0,True,0 days 01:17:49.121000,16.5,14,24.2,0 days 00:00:26.473000,0 days 00:00:29.828000,0 days 00:00:24.082000,1,80.383,4669.121,7.171999999999571,False,False,False,True,10.0,0.0,0.0,26.473,29.828,24.082,0,0,0,0.0,88.922,8.868078709619134,-0.9628917694131218,0,0,79.783,77.859,-1.9240000000000066,0.0,0.5999999999999943,-4.88933333333333,0.0,-0.6649999999999991,0.5102850183965814,-4.88933333333333,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,11,0 days 00:01:17.859000,SOFT,11.0,True,0 days 01:19:06.980000,16.5,12,24.2,0 days 00:00:26.240000,0 days 00:00:27.964000,0 days 00:00:23.655000,1,77.859,4746.98,8.25500000000011,False,False,False,True,11.0,0.0,0.0,26.24,27.964,23.655,0,0,0,0.0,84.7432,6.073053778783794,-1.133564801294853,0,0,80.383,77.102,-3.2809999999999917,0.5999999999999943,-2.524000000000001,-2.1189999999999998,0.0,-0.4269999999999996,0.6574629267114608,-2.1189999999999998,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,12,0 days 00:01:17.102000,SOFT,12.0,True,0 days 01:20:24.082000,16.5,11,24.6,0 days 00:00:26.324000,0 days 00:00:27.564000,0 days 00:00:23.214000,1,77.102,4824.082,3.8040000000000873,False,False,False,True,12.0,0.0,0.0,26.324,27.564,23.214,0,0,0,0.0,81.42479999999999,3.377123953899243,-1.2800240852897513,0,0,77.859,77.082,-0.777000000000001,0.0,-0.7569999999999908,-1.5,0.0,-0.4410000000000025,0.8698434916696219,-1.5,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,13,0 days 00:01:17.082000,SOFT,13.0,True,0 days 01:21:41.164000,16.5,11,24.6,0 days 00:00:26.230000,0 days 00:00:27.649000,0 days 00:00:23.203000,1,77.082,4901.164,2.92200000000048,False,False,False,True,13.0,0.0,0.0,26.23,27.649,23.203,0,0,0,0.0,79.49719999999999,2.090269408473468,-1.155449144597982,0,0,77.102,77.315,0.21299999999999386,0.0,-0.020000000000010232,-0.8936666666666658,0.0,-0.010999999999999233,0.7288928590677781,-0.8936666666666658,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,14,0 days 00:01:17.315000,SOFT,14.0,True,0 days 01:22:58.479000,16.5,11,24.7,0 days 00:00:26.716000,0 days 00:00:27.597000,0 days 00:00:23.002000,1,77.315,4978.479,1.8369999999995343,False,False,False,True,14.0,0.0,0.0,26.716,27.597,23.002,0,0,0,0.0,78.44179999999999,1.5452225406070192,-0.7292153527331674,0,0,77.082,77.544,0.4620000000000033,0.0,0.2330000000000041,-1.100333333333334,0.0,-0.2010000000000005,0.7158332207993696,-1.100333333333334,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,15,0 days 00:01:17.544000,SOFT,15.0,True,0 days 01:24:16.023000,16.6,9,24.8,0 days 00:00:27.084000,0 days 00:00:27.513000,0 days 00:00:22.947000,1,77.544,5056.023,0.9169999999994616,False,False,False,True,15.0,0.0,0.0,27.084,27.513,22.947,0,0,0,0.0,77.9482,1.3967378780572948,-0.2893885863267342,0,0,77.315,78.652,1.3370000000000033,0.2330000000000041,0.2289999999999992,-0.18133333333333232,0.0,-0.054999999999999716,0.250275847815965,-0.18133333333333232,0,1,2023,Dutch Grand Prix,0.0,14,0.0
ALB,22,0 days 00:01:18.652000,SOFT,22.0,True,0 days 01:36:56.996000,17.4,8,29.5,0 days 00:00:27.467000,0 days 00:00:27.652000,0 days 00:00:23.533000,1,78.652,5816.996,0.6679999999996653,False,False,False,True,22.0,0.0,0.0,27.467,27.652,23.533,0,0,0,0.0,77.3804,0.3265919472368875,3.8935436429413084,0,0,77.544,77.043,-0.5009999999999906,0.4620000000000033,1.108000000000004,0.147333333333331,0.0,0.5860000000000021,0.20168787767240834,0.147333333333331,0,1,2023,Dutch Grand Prix,0.0,14,0.0
ALB,23,0 days 00:01:17.043000,SOFT,23.0,True,0 days 01:38:14.039000,17.3,7,29.7,0 days 00:00:26.469000,0 days 00:00:27.389000,0 days 00:00:23.185000,1,77.043,5894.039,1.2579999999998108,False,False,False,True,23.0,0.0,0.0,26.469,27.389,23.185,0,0,0,0.0,77.539,0.6497668812735706,-0.7633506943718247,0,0,78.652,77.04,-1.6119999999999948,1.5700000000000074,-1.6089999999999947,0.5233333333333358,0.0,0.23799999999999955,0.3802785820947601,0.5233333333333358,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,24,0 days 00:01:17.040000,SOFT,24.0,True,0 days 01:39:31.079000,17.3,7,29.7,0 days 00:00:26.632000,0 days 00:00:27.466000,0 days 00:00:22.942000,1,77.04,5971.079,1.1869999999998981,False,False,False,True,24.0,0.0,0.0,26.632,27.466,22.942,0,0,0,0.0,77.5272,0.6601399094131354,-0.7380253686420931,0,0,77.043,76.228,-0.8150000000000119,0.0,-0.0030000000000001137,-0.09066666666666379,0.0,-0.004999999999999005,0.3088434878704754,-0.09066666666666379,0,0,2023,Dutch Grand Prix,0.0,14,0.0
ALB,25,0 days 00:01:16.228000,SOFT,25.0,True,0 days 01:40:47.307000,17.3,6,29.7,0 days 00:00:25.919000,0 days 00:00:27.160000,0 days 00:00:23.149000,1,76.228,6047.307,1.3230000000003201,False,False,False,True,25.0,0.0,0.0,25.919,27.16,23.149,0,0,0,0.0,77.5188,0.6674479005884881,-1.9339337180653462,1,0,77.04,76.391,-0.6490000000000009,0.0,-0.8120000000000118,-0.1679999999999969,0.0,0.20700000000000074,0.3082601174333139,-0.1679999999999969,0,0,2023,Dutch Grand Prix,0.0,14,0.0
