Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:27.067000,MEDIUM,5.0,True,0 days 01:25:19.727000,6,0 days 00:00:28.248000,0 days 00:00:30.336000,0 days 00:00:28.483000,1,87.067,5119.727,0.5160000000005311,False,True,5.0,0.0,0.0,0.0,0.0,28.248,30.336,28.483,0,0,0,0.0,,,0.0,0,0,87.067,86.578,-0.4889999999999901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,3,0 days 00:01:26.578000,MEDIUM,6.0,True,0 days 01:26:46.305000,6,0 days 00:00:28.241000,0 days 00:00:29.807000,0 days 00:00:28.530000,1,86.578,5206.305,0.9200000000000728,False,True,6.0,0.0,0.0,0.0,0.0,28.241,29.807,28.53,0,0,0,0.0,,,0.0,0,0,87.067,86.684,-0.38299999999999557,0.0,-0.4889999999999901,0.0,0.0,0.0,0.0,0.0,0,1,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,4,0 days 00:01:26.684000,MEDIUM,7.0,True,0 days 01:28:12.989000,6,0 days 00:00:28.184000,0 days 00:00:29.904000,0 days 00:00:28.596000,1,86.684,5292.989,1.2400000000006912,False,True,7.0,0.0,0.0,0.0,0.0,28.184,29.904,28.596,0,0,0,0.0,,,0.0,0,0,86.578,86.868,0.28999999999999204,0.0,0.10599999999999454,-0.24449999999999505,0.0,0.11299999999999955,0.0,0.0,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,5,0 days 00:01:26.868000,MEDIUM,8.0,True,0 days 01:29:39.857000,6,0 days 00:00:28.009000,0 days 00:00:29.945000,0 days 00:00:28.914000,1,86.868,5379.857,1.280999999999949,False,True,8.0,0.0,0.0,0.0,0.0,28.009,29.945,28.914,0,0,0,0.0,86.77633333333334,0.257243723603373,0.35634170343447946,0,0,86.684,86.661,-0.022999999999996135,0.10599999999999454,0.1839999999999975,-0.12766666666666518,0.0,0.43100000000000094,0.06524058041842745,-0.19149999999999778,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,6,0 days 00:01:26.661000,MEDIUM,9.0,True,0 days 01:31:06.518000,6,0 days 00:00:28.084000,0 days 00:00:29.831000,0 days 00:00:28.746000,1,86.661,5466.518,1.4979999999995925,False,True,9.0,0.0,0.0,0.0,0.0,28.084,29.831,28.746,0,0,0,0.0,86.79925,0.2149812007284901,-0.643079485701644,0,0,86.868,86.773,-0.09499999999999886,0.28999999999999204,-0.20699999999999363,-0.06633333333333269,0.0,0.21599999999999753,0.20375311858554096,-0.06633333333333269,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,7,0 days 00:01:26.773000,MEDIUM,10.0,True,0 days 01:32:33.291000,6,0 days 00:00:28.140000,0 days 00:00:29.880000,0 days 00:00:28.753000,1,86.773,5553.291,1.6649999999999636,False,True,10.0,0.0,0.0,0.0,0.0,28.14,29.88,28.753,0,0,0,0.0,86.7716,0.19617670605858809,0.00713642321821594,0,0,86.661,86.676,0.015000000000000568,0.08299999999999841,0.11199999999999477,0.027666666666666135,0.0,0.15700000000000003,0.18004582749955653,0.027666666666666135,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,8,0 days 00:01:26.676000,MEDIUM,11.0,True,0 days 01:33:59.967000,6,0 days 00:00:28.164000,0 days 00:00:29.789000,0 days 00:00:28.723000,1,86.676,5639.967,1.8389999999999418,False,True,11.0,0.0,0.0,0.0,0.0,28.164,29.789,28.723,0,0,0,0.0,86.71279999999999,0.11112470472401619,-0.3311594851152131,0,0,86.773,86.838,0.06499999999999773,0.19499999999999318,-0.0969999999999942,0.029666666666666213,0.0,-0.022999999999999687,0.1594186312825452,0.029666666666666213,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,9,0 days 00:01:26.838000,MEDIUM,12.0,True,0 days 01:35:26.805000,6,0 days 00:00:28.130000,0 days 00:00:29.905000,0 days 00:00:28.803000,1,86.838,5726.805,1.8649999999997817,False,True,12.0,0.0,0.0,0.0,0.0,28.13,29.905,28.803,0,0,0,0.0,86.73240000000001,0.08754598791491962,1.2062231806968378,0,0,86.676,87.305,0.6290000000000049,0.015000000000000568,0.16199999999999193,-0.06399999999999768,0.0,0.08000000000000185,0.1662203356993363,-0.06399999999999768,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,10,0 days 00:01:27.305000,MEDIUM,13.0,True,0 days 01:36:54.110000,6,0 days 00:00:28.217000,0 days 00:00:30.202000,0 days 00:00:28.886000,1,87.305,5814.11,1.3830000000007203,False,True,13.0,0.0,0.0,0.0,0.0,28.217,30.202,28.886,0,0,0,0.0,86.7632,0.09317027422948249,5.815159443080868,0,0,86.838,87.389,0.5510000000000019,0.1769999999999925,0.46700000000001296,0.0589999999999975,0.0,0.16300000000000026,0.17009614928034072,0.0589999999999975,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,11,0 days 00:01:27.389000,MEDIUM,14.0,True,0 days 01:38:21.499000,6,0 days 00:00:28.210000,0 days 00:00:30.253000,0 days 00:00:28.926000,1,87.389,5901.499,1.21100000000024,False,True,14.0,0.0,0.0,0.0,0.0,28.21,30.253,28.926,0,0,0,0.0,86.8506,0.2641463609440656,2.038263930934884,0,0,87.305,87.533,0.22799999999999443,0.6440000000000055,0.08399999999998897,0.1773333333333369,0.0,0.2029999999999994,0.09283479950966574,0.1773333333333369,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
