Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,5,0 days 00:01:41.436000,MEDIUM,4.0,True,0 days 01:15:19.725000,27.2,18,43.0,0 days 00:00:36.376000,0 days 00:00:44.831000,0 days 00:00:20.229000,1,101.436,4519.725,22.716999999999643,False,True,False,4.0,0.0,0.0,36.376,44.831,20.229,0,0,0,0.0,,,0.0,0,0,101.436,101.273,-0.16300000000001091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,6,0 days 00:01:41.273000,MEDIUM,5.0,True,0 days 01:17:00.998000,27.1,18,42.8,0 days 00:00:36.694000,0 days 00:00:44.862000,0 days 00:00:19.717000,1,101.273,4620.998,0.0,False,True,False,5.0,0.0,0.0,36.694,44.862,19.717,0,0,0,0.0,,,0.0,0,0,101.436,100.904,-0.5320000000000107,0.0,-0.16300000000001091,0.0,0.0,0.0,0.0,0.0,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,7,0 days 00:01:40.904000,MEDIUM,6.0,True,0 days 01:18:41.902000,27.1,18,43.0,0 days 00:00:36.727000,0 days 00:00:44.747000,0 days 00:00:19.430000,1,100.904,4721.902,40.79200000000037,False,True,False,6.0,0.0,0.0,36.727,44.747,19.43,0,0,0,0.0,,,0.0,0,0,101.273,101.168,-0.10499999999998977,0.0,-0.3689999999999998,-0.08150000000000546,0.0,-0.28699999999999903,0.0,0.0,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,8,0 days 00:01:41.168000,MEDIUM,7.0,True,0 days 01:20:23.070000,27.1,18,43.0,0 days 00:00:36.710000,0 days 00:00:45.048000,0 days 00:00:19.410000,1,101.168,4823.07,39.345000000000255,False,True,False,7.0,0.0,0.0,36.71,45.048,19.41,0,0,0,0.0,101.20433333333334,0.27256619990992437,-0.13330094980719812,0,0,100.904,100.764,-0.14000000000000057,0.0,0.26400000000001,-0.1773333333333369,0.0,-0.019999999999999574,0.16569952725742204,-0.26600000000000534,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,9,0 days 00:01:40.764000,MEDIUM,8.0,True,0 days 01:22:03.834000,27.1,17,43.5,0 days 00:00:36.753000,0 days 00:00:44.742000,0 days 00:00:19.269000,1,100.764,4923.834,38.89800000000014,False,True,False,8.0,0.0,0.0,36.753,44.742,19.269,0,0,0,0.0,101.19525,0.2232896101479025,-1.9313482598422491,1,0,101.168,100.45,-0.7180000000000035,0.26400000000001,-0.4040000000000106,-0.08933333333333356,0.0,-0.1410000000000018,0.14048339166368817,-0.08933333333333356,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,10,0 days 00:01:40.450000,MEDIUM,9.0,True,0 days 01:23:44.284000,27.2,15,43.5,0 days 00:00:36.417000,0 days 00:00:44.731000,0 days 00:00:19.302000,1,100.45,5024.284,12.314000000000306,False,True,False,9.0,0.0,0.0,36.417,44.731,19.302,0,0,0,0.0,101.10900000000001,0.27310986800187587,-2.412948330360145,1,1,100.764,101.14,0.3760000000000048,0.0,-0.31399999999999295,-0.16966666666666677,0.0,0.03300000000000125,0.1250091996614648,-0.16966666666666677,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,11,0 days 00:01:41.140000,MEDIUM,10.0,True,0 days 01:25:25.424000,27.3,14,43.3,0 days 00:00:36.525000,0 days 00:00:45.179000,0 days 00:00:19.436000,1,101.14,5125.424,8.0,False,True,False,10.0,0.0,0.0,36.525,45.179,19.436,0,0,0,0.0,100.9118,0.3283552953737741,0.6949788939454622,0,1,100.45,102.28,1.8299999999999983,0.0,0.6899999999999977,-0.15133333333333118,0.0,0.1670000000000016,0.13161876765871972,-0.15133333333333118,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,12,0 days 00:01:42.280000,MEDIUM,11.0,True,0 days 01:27:07.704000,27.3,11,43.4,0 days 00:00:36.797000,0 days 00:00:45.904000,0 days 00:00:19.579000,12,102.28,5227.704,5.193000000000211,False,True,False,11.0,0.0,0.0,36.797,45.904,19.579,0,0,1,0.0,100.8852,0.2955252950256534,4.719731351182397,0,0,101.14,99.185,-1.9549999999999983,0.6899999999999977,1.1400000000000006,-0.009333333333335267,0.0,0.3100000000000023,0.17271884668443163,-0.009333333333335267,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,15,0 days 00:01:39.185000,SOFT,2.0,True,0 days 01:33:06.111000,27.3,17,43.1,0 days 00:00:36.027000,0 days 00:00:44.128000,0 days 00:00:19.030000,1,99.185,5586.111,3.619999999999891,False,False,True,2.0,0.0,0.0,36.027,44.128,19.03,0,0,0,0.0,101.16040000000001,0.6920583790403829,-2.854383473745557,1,0,102.28,99.549,-2.7309999999999945,1.8299999999999983,-3.094999999999999,0.5053333333333351,0.0,-0.27199999999999847,0.17392440886776214,0.5053333333333351,0,0,2023,Japanese Grand Prix,0.0,18,0.0
ALB,16,0 days 00:01:39.549000,SOFT,3.0,True,0 days 01:34:45.660000,27.3,17,43.0,0 days 00:00:36.208000,0 days 00:00:44.183000,0 days 00:00:19.158000,1,99.549,5685.66,4.543000000000575,False,False,True,3.0,0.0,0.0,36.208,44.183,19.158,0,0,0,0.0,100.7638,1.1215467890373503,-1.0831469644192802,0,1,99.185,99.93,0.7450000000000045,0.0,0.3640000000000043,-0.42166666666666686,0.0,0.1280000000000001,0.23294913607910284,-0.42166666666666686,0,0,2023,Japanese Grand Prix,0.0,18,0.0
