Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:45.576000,MEDIUM,5.0,True,0 days 01:06:15.407000,29.9,14,40.7,0 days 00:00:28.444000,0 days 00:00:42.292000,0 days 00:00:34.840000,1,105.576,3975.407,0.3969999999999345,False,True,False,5.0,0.0,0.0,28.444,42.292,34.84,0,0,0,0.0,,,0.0,0,0,105.576,104.644,-0.931999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,3,0 days 00:01:44.644000,MEDIUM,6.0,True,0 days 01:08:00.051000,29.9,14,40.7,0 days 00:00:28.364000,0 days 00:00:41.402000,0 days 00:00:34.878000,1,104.644,4080.051,0.45699999999987995,False,True,False,6.0,0.0,0.0,28.364,41.402,34.878,0,0,0,0.0,,,0.0,0,0,105.576,104.873,-0.7029999999999887,0.0,-0.931999999999988,0.0,0.0,0.0,0.0,0.0,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,4,0 days 00:01:44.873000,MEDIUM,7.0,True,0 days 01:09:44.924000,29.9,13,40.6,0 days 00:00:28.493000,0 days 00:00:41.952000,0 days 00:00:34.428000,1,104.873,4184.924,0.9120000000002619,False,True,False,7.0,0.0,0.0,28.493,41.952,34.428,0,0,0,0.0,,,0.0,0,0,104.644,103.803,-0.8410000000000082,0.0,0.2289999999999992,-0.465999999999994,0.0,-0.41200000000000614,0.0,0.0,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,5,0 days 00:01:43.803000,MEDIUM,8.0,True,0 days 01:11:28.727000,30.0,13,40.6,0 days 00:00:27.948000,0 days 00:00:41.297000,0 days 00:00:34.558000,1,103.803,4288.727,0.49800000000050204,False,True,False,8.0,0.0,0.0,27.948,41.297,34.558,0,0,0,0.0,105.031,0.4856737588134592,-2.5284462619518777,1,0,104.873,103.62,-1.2530000000000001,0.2289999999999992,-1.0700000000000074,-0.2343333333333296,0.0,0.13000000000000256,0.23786831090612934,-0.3514999999999944,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,6,0 days 00:01:43.620000,MEDIUM,9.0,True,0 days 01:13:12.347000,30.0,13,40.5,0 days 00:00:27.969000,0 days 00:00:41.445000,0 days 00:00:34.206000,1,103.62,4392.347,0.6000000000003638,False,True,False,9.0,0.0,0.0,27.969,41.445,34.206,0,0,0,0.0,104.724,0.7309231605761771,-1.510418686322281,1,1,103.803,103.814,0.01099999999999568,0.0,-0.18299999999999272,-0.5909999999999987,0.0,-0.2219999999999942,0.2357703685085732,-0.5909999999999987,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,7,0 days 00:01:43.814000,MEDIUM,10.0,True,0 days 01:14:56.161000,30.0,13,40.5,0 days 00:00:28.010000,0 days 00:00:41.567000,0 days 00:00:34.237000,1,103.814,4496.161,0.7010000000000218,False,True,False,10.0,0.0,0.0,28.01,41.567,34.237,0,0,0,0.0,104.50319999999999,0.8027762452888111,-0.858520670043057,0,1,103.62,104.006,0.3859999999999957,0.0,0.1939999999999884,-0.34133333333333366,0.0,0.030999999999998806,0.21513065797324402,-0.34133333333333366,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,8,0 days 00:01:44.006000,MEDIUM,11.0,True,0 days 01:16:40.167000,30.0,13,41.1,0 days 00:00:27.998000,0 days 00:00:41.678000,0 days 00:00:34.330000,1,104.006,4600.167,0.681999999999789,False,True,False,11.0,0.0,0.0,27.998,41.678,34.33,0,0,0,0.0,104.1508,0.5658990192605163,-0.2558760398440339,0,0,103.814,103.728,-0.08599999999999852,0.1939999999999884,0.19200000000000728,-0.3530000000000039,0.0,0.12399999999999523,0.21917070972189875,-0.3530000000000039,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,9,0 days 00:01:43.728000,MEDIUM,12.0,True,0 days 01:18:23.895000,30.0,13,40.4,0 days 00:00:28.045000,0 days 00:00:41.400000,0 days 00:00:34.283000,1,103.728,4703.895,0.6179999999994834,False,True,False,12.0,0.0,0.0,28.045,41.4,34.283,0,0,0,0.0,104.0232,0.4942870623433449,-0.5972238047269677,0,0,104.006,103.292,-0.7139999999999986,0.3859999999999957,-0.2780000000000058,0.06766666666666765,0.0,0.07699999999999818,0.23869687890712005,0.06766666666666765,0,1,2023,United States Grand Prix,0.0,20,0.0
ALB,12,0 days 00:01:43.292000,HARD,2.0,True,0 days 01:23:54.014000,30.3,15,41.5,0 days 00:00:27.887000,0 days 00:00:41.189000,0 days 00:00:34.216000,1,103.292,5034.014,1.2159999999994398,True,False,False,2.0,0.0,0.0,27.887,41.189,34.216,0,0,0,0.0,103.7942,0.14147155191066588,-3.549830288969495,1,0,103.728,103.267,-0.4609999999999985,0.10799999999998988,-0.43599999999999284,0.035999999999996625,0.0,-0.021000000000000796,0.14537021703223504,0.035999999999996625,0,0,2023,United States Grand Prix,0.0,20,0.0
ALB,13,0 days 00:01:43.267000,HARD,3.0,True,0 days 01:25:37.281000,30.4,15,41.5,0 days 00:00:27.809000,0 days 00:00:41.307000,0 days 00:00:34.151000,1,103.267,5137.281,1.1220000000002983,True,False,False,3.0,0.0,0.0,27.809,41.307,34.151,0,0,0,0.0,103.69200000000001,0.2645562322078483,-1.6064637617990818,1,1,103.292,103.164,-0.1280000000000001,0.0,-0.025000000000005684,-0.17399999999999713,0.0,-0.06499999999999773,0.13413314280966865,-0.17399999999999713,0,0,2023,United States Grand Prix,0.0,20,0.0
