Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:24.536000,MEDIUM,2.0,True,0 days 01:01:29.774000,14,0 days 00:00:30.021000,0 days 00:00:18.135000,0 days 00:00:36.380000,1,84.536,3689.774,0.6750000000001819,False,True,False,2.0,0.0,0.0,0.0,0.0,30.021,18.135,36.38,0,0,0,0.0,,,0.0,0,0,84.536,83.606,-0.9300000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,3,0 days 00:01:23.606000,MEDIUM,3.0,True,0 days 01:02:53.380000,14,0 days 00:00:29.307000,0 days 00:00:18.047000,0 days 00:00:36.252000,1,83.606,3773.38,0.6459999999997308,False,True,False,3.0,0.0,0.0,0.0,0.0,29.307,18.047,36.252,0,0,0,0.0,,,0.0,0,0,84.536,83.438,-1.097999999999999,0.0,-0.9300000000000068,0.0,0.0,0.0,0.0,0.0,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,4,0 days 00:01:23.438000,MEDIUM,4.0,True,0 days 01:04:16.818000,13,0 days 00:00:29.061000,0 days 00:00:18.076000,0 days 00:00:36.301000,1,83.438,3856.818,0.781999999999698,False,True,False,4.0,0.0,0.0,0.0,0.0,29.061,18.076,36.301,0,0,0,0.0,,,0.0,0,0,83.606,83.916,0.3100000000000023,0.0,-0.16799999999999216,-0.4650000000000034,0.0,0.04899999999999949,0.0,0.0,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,5,0 days 00:01:23.916000,MEDIUM,5.0,True,0 days 01:05:40.734000,13,0 days 00:00:29.328000,0 days 00:00:18.079000,0 days 00:00:36.509000,1,83.916,3940.734,0.650000000000091,False,True,False,5.0,0.0,0.0,0.0,0.0,29.328,18.079,36.509,0,0,0,0.0,83.86,0.5914287784678738,0.09468595719178262,0,0,83.438,83.72,0.2819999999999965,0.0,0.47799999999999443,-0.36599999999999966,0.0,0.2569999999999979,0.02829016319029137,-0.5489999999999995,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,8,0 days 00:01:23.720000,HARD,2.0,True,0 days 01:10:10.762000,14,0 days 00:00:29.377000,0 days 00:00:18.444000,0 days 00:00:35.899000,1,83.72,4210.762,6.1599999999998545,True,False,False,2.0,0.0,0.0,0.0,0.0,29.377,18.444,35.899,0,0,0,0.0,83.874,0.4837106573148879,-0.31837214597433366,0,0,83.916,83.645,-0.2710000000000008,0.47799999999999443,-0.19599999999999795,-0.2066666666666682,0.0,-0.35300000000000153,0.12253026836935609,-0.2066666666666682,0,0,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,9,0 days 00:01:23.645000,HARD,3.0,True,0 days 01:11:34.407000,14,0 days 00:00:29.274000,0 days 00:00:18.408000,0 days 00:00:35.963000,1,83.645,4294.407,1.3890000000001237,True,False,False,3.0,0.0,0.0,0.0,0.0,29.274,18.408,35.963,0,0,0,0.0,83.8432,0.4245293864975668,-0.46686991832339486,0,0,83.72,83.852,0.132000000000005,0.2819999999999965,-0.07500000000000284,0.03800000000000144,0.0,0.06400000000000006,0.2194408804211284,0.03800000000000144,0,0,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,10,0 days 00:01:23.852000,HARD,4.0,True,0 days 01:12:58.259000,13,0 days 00:00:29.780000,0 days 00:00:18.253000,0 days 00:00:35.819000,1,83.852,4378.259,1.207999999999629,True,False,False,4.0,0.0,0.0,0.0,0.0,29.78,18.253,35.819,0,0,0,0.0,83.66499999999999,0.17423834250817702,1.0732425326603179,0,0,83.645,83.254,-0.39099999999999113,0.20699999999999363,0.20700000000000784,0.06899999999999788,0.0,-0.0799999999999983,0.22197815207808178,0.06899999999999788,0,0,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,11,0 days 00:01:23.254000,HARD,5.0,True,0 days 01:14:21.513000,13,0 days 00:00:29.091000,0 days 00:00:18.333000,0 days 00:00:35.830000,1,83.254,4461.513,0.6159999999999854,True,False,False,5.0,0.0,0.0,0.0,0.0,29.091,18.333,35.83,0,0,0,0.0,83.7142,0.18763048792773052,-2.4526930835315808,1,0,83.852,82.767,-1.085000000000008,0.4140000000000015,-0.597999999999999,-0.021333333333330984,0.0,0.01099999999999568,0.22514506434741116,-0.021333333333330984,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,12,0 days 00:01:22.767000,HARD,6.0,True,0 days 01:15:44.280000,13,0 days 00:00:29.045000,0 days 00:00:18.159000,0 days 00:00:35.563000,1,82.767,4544.28,0.7310000000006767,True,False,False,6.0,0.0,0.0,0.0,0.0,29.045,18.159,35.563,0,0,0,0.0,83.6774,0.2595896762199845,-3.5070732136069545,1,1,83.254,83.183,-0.07099999999999795,0.0,-0.487000000000009,-0.15533333333333132,0.0,-0.2560000000000002,0.22317862800904537,-0.15533333333333132,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
ALB,13,0 days 00:01:23.183000,HARD,7.0,True,0 days 01:17:07.463000,13,0 days 00:00:28.991000,0 days 00:00:18.198000,0 days 00:00:35.994000,1,83.183,4627.463,0.5039999999999054,True,False,False,7.0,0.0,0.0,0.0,0.0,28.991,18.198,35.994,0,0,0,0.0,83.4476,0.44085292332023096,-0.6002001710846876,0,1,82.767,82.978,0.21099999999999852,0.0,0.416000000000011,-0.2926666666666667,0.0,0.4309999999999974,0.17703304776227502,-0.2926666666666667,0,1,2024,Australian Grand Prix,2024_Australian Grand Prix
