Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:19.114000,MEDIUM,2.0,True,0 days 01:00:23.377000,17,0 days 00:00:26.973000,0 days 00:00:28.328000,0 days 00:00:23.813000,1,79.114,3623.377,0.47200000000020736,False,True,False,2.0,0.0,0.0,0.0,0.0,26.973,28.328,23.813,0,0,0,0.0,,,0.0,0,0,79.114,78.072,-1.0420000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,3,0 days 00:01:18.072000,MEDIUM,3.0,True,0 days 01:01:41.449000,17,0 days 00:00:26.760000,0 days 00:00:28.196000,0 days 00:00:23.116000,1,78.072,3701.449,0.7390000000000327,False,True,False,3.0,0.0,0.0,0.0,0.0,26.76,28.196,23.116,0,0,0,0.0,,,0.0,0,0,79.114,77.747,-1.3670000000000044,0.0,-1.0420000000000016,0.0,0.0,0.0,0.0,0.0,0,1,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,4,0 days 00:01:17.747000,MEDIUM,4.0,True,0 days 01:02:59.196000,17,0 days 00:00:26.763000,0 days 00:00:28.171000,0 days 00:00:22.813000,1,77.747,3779.196,0.9279999999998836,False,True,False,4.0,0.0,0.0,0.0,0.0,26.763,28.171,22.813,0,0,0,0.0,,,0.0,0,0,78.072,77.438,-0.6340000000000003,0.0,-0.32500000000000284,-0.5210000000000008,0.0,-0.3030000000000008,0.0,0.0,0,1,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,5,0 days 00:01:17.438000,MEDIUM,5.0,True,0 days 01:04:16.634000,17,0 days 00:00:26.573000,0 days 00:00:28.109000,0 days 00:00:22.756000,1,77.438,3856.634,0.9769999999998618,False,True,False,5.0,0.0,0.0,0.0,0.0,26.573,28.109,22.756,0,0,0,0.0,78.31099999999999,0.7141519446168336,-1.222428933479113,0,0,77.747,76.959,-0.7879999999999967,0.0,-0.3089999999999975,-0.45566666666666816,0.0,-0.05699999999999861,0.1749371315644571,-0.6835000000000022,0,1,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,6,0 days 00:01:16.959000,MEDIUM,6.0,True,0 days 01:05:33.593000,17,0 days 00:00:26.293000,0 days 00:00:27.974000,0 days 00:00:22.692000,1,76.959,3933.593,1.6780000000003383,False,True,False,6.0,0.0,0.0,0.0,0.0,26.293,27.974,22.692,0,0,0,0.0,78.09275,0.7283823972795286,-1.556531300364329,1,0,77.438,77.558,0.12000000000000455,0.0,-0.4789999999999992,-0.5586666666666673,0.0,-0.06400000000000006,0.14451989482420802,-0.5586666666666673,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,7,0 days 00:01:17.558000,MEDIUM,7.0,True,0 days 01:06:51.151000,17,0 days 00:00:26.781000,0 days 00:00:27.882000,0 days 00:00:22.895000,1,77.558,4011.151,2.018000000000029,False,True,False,7.0,0.0,0.0,0.0,0.0,26.781,27.882,22.895,0,0,0,0.0,77.86600000000001,0.8093105090136969,-0.3805708644205858,0,1,76.959,77.266,0.30700000000000216,0.0,0.5990000000000038,-0.37099999999999983,0.0,0.2029999999999994,0.1256968575581749,-0.37099999999999983,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,8,0 days 00:01:17.266000,MEDIUM,8.0,True,0 days 01:08:08.417000,17,0 days 00:00:26.338000,0 days 00:00:28.070000,0 days 00:00:22.858000,1,77.266,4088.417,2.3409999999998945,False,True,False,8.0,0.0,0.0,0.0,0.0,26.338,28.07,22.858,0,0,0,0.0,77.5548,0.4102032423080255,-0.7040412415441909,0,0,77.558,77.898,0.3399999999999892,0.5990000000000038,-0.2920000000000016,-0.06299999999999766,0.0,0.16600000000000037,0.18068951270065464,-0.06299999999999766,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,9,0 days 00:01:17.898000,MEDIUM,9.0,True,0 days 01:09:26.315000,17,0 days 00:00:26.547000,0 days 00:00:28.325000,0 days 00:00:23.026000,1,77.898,4166.315,2.3720000000002983,False,True,False,9.0,0.0,0.0,0.0,0.0,26.547,28.325,23.026,0,0,0,0.0,77.39359999999999,0.2996035714073187,1.6835580351419086,0,0,77.266,77.291,0.024999999999991473,0.30700000000000216,0.6319999999999908,-0.05733333333333235,0.0,0.33399999999999963,0.2045201701544375,-0.05733333333333235,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,10,0 days 00:01:17.291000,MEDIUM,10.0,True,0 days 01:10:43.606000,17,0 days 00:00:26.218000,0 days 00:00:28.182000,0 days 00:00:22.891000,1,77.291,4243.606,2.923999999999978,False,True,False,10.0,0.0,0.0,0.0,0.0,26.218,28.182,22.891,0,0,0,0.0,77.4238,0.3478565796416966,-0.38176653187584203,0,0,77.898,77.427,-0.4709999999999894,0.938999999999993,-0.6069999999999993,0.31299999999999767,0.0,0.0329999999999977,0.1731482024163111,0.31299999999999767,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
ALB,11,0 days 00:01:17.427000,MEDIUM,11.0,True,0 days 01:12:01.033000,17,0 days 00:00:26.358000,0 days 00:00:28.140000,0 days 00:00:22.929000,1,77.427,4321.033,2.920999999999367,False,True,False,11.0,0.0,0.0,0.0,0.0,26.358,28.14,22.929,0,0,0,0.0,77.3944,0.35253694841820443,0.09247257669380442,0,0,77.291,76.267,-1.024000000000001,0.33199999999999363,0.1360000000000099,-0.08900000000000337,0.0,0.07099999999999795,0.15426373520695033,-0.08900000000000337,0,0,2024,Dutch Grand Prix,2024_Dutch Grand Prix
