Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:23.115000,MEDIUM,2.0,True,0 days 00:58:30.977000,25.1,14,45.3,0 days 00:00:26.300000,0 days 00:00:28.926000,0 days 00:00:27.889000,1,83.115,3510.977,0.45600000000013097,False,True,False,2.0,0.0,0.0,26.3,28.926,27.889,0,0,0,0.0,,,0.0,0,0,83.115,82.652,-0.46299999999999386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,3,0 days 00:01:22.652000,MEDIUM,3.0,True,0 days 00:59:53.629000,25.1,14,45.2,0 days 00:00:25.926000,0 days 00:00:28.950000,0 days 00:00:27.776000,1,82.652,3593.629,0.55600000000004,False,True,False,3.0,0.0,0.0,25.926,28.95,27.776,0,0,0,0.0,,,0.0,0,0,83.115,82.578,-0.5369999999999919,0.0,-0.46299999999999386,0.0,0.0,0.0,0.0,0.0,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,4,0 days 00:01:22.578000,MEDIUM,4.0,True,0 days 01:01:16.207000,25.1,14,44.9,0 days 00:00:25.808000,0 days 00:00:29.055000,0 days 00:00:27.715000,1,82.578,3676.207,0.6840000000001965,False,True,False,4.0,0.0,0.0,25.808,29.055,27.715,0,0,0,0.0,,,0.0,0,0,82.652,82.357,-0.2950000000000017,0.0,-0.07399999999999807,-0.23149999999999693,0.0,-0.06099999999999994,0.0,0.0,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,5,0 days 00:01:22.357000,MEDIUM,5.0,True,0 days 01:02:38.564000,25.4,14,42.7,0 days 00:00:25.971000,0 days 00:00:28.762000,0 days 00:00:27.624000,1,82.357,3758.564,0.8099999999999454,False,True,False,5.0,0.0,0.0,25.971,28.762,27.624,0,0,0,0.0,82.78166666666667,0.2910366529036006,-1.459151836821489,0,0,82.578,82.472,-0.10600000000000875,0.0,-0.22100000000000364,-0.1789999999999973,0.0,-0.09100000000000108,0.03521836642056714,-0.26849999999999596,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,6,0 days 00:01:22.472000,MEDIUM,6.0,True,0 days 01:04:01.036000,25.3,14,41.7,0 days 00:00:26.056000,0 days 00:00:28.744000,0 days 00:00:27.672000,1,82.472,3841.036,0.73700000000008,False,True,False,6.0,0.0,0.0,26.056,28.744,27.672,0,0,0,0.0,82.6755,0.31867486042464205,-0.6385819067397931,0,0,82.357,82.495,0.13800000000000523,0.0,0.11499999999999488,-0.2526666666666652,0.0,0.04800000000000182,0.04555582655745992,-0.2526666666666652,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,7,0 days 00:01:22.495000,MEDIUM,7.0,True,0 days 01:05:23.531000,25.1,14,40.7,0 days 00:00:25.951000,0 days 00:00:28.798000,0 days 00:00:27.746000,1,82.495,3923.531,0.68100000000004,False,True,False,7.0,0.0,0.0,25.951,28.798,27.746,0,0,0,0.0,82.6348,0.29059886441622457,-0.48107552065227094,0,0,82.472,81.718,-0.7539999999999907,0.11499999999999488,0.023000000000010346,-0.060000000000002274,0.0,0.12199999999999989,0.05509718686103764,-0.060000000000002274,0,1,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,11,0 days 00:01:21.718000,MEDIUM,2.0,True,0 days 01:12:48.248000,25.0,20,39.8,0 days 00:00:25.889000,0 days 00:00:28.545000,0 days 00:00:27.284000,1,81.718,4368.248,0.0,False,True,False,2.0,0.0,0.0,25.889,28.545,27.284,0,0,0,0.0,82.51079999999999,0.11164989923864406,-7.100767715924485,1,0,82.495,81.558,-0.9369999999999976,0.13800000000000523,-0.777000000000001,-0.027666666666666135,0.0,-0.33999999999999986,0.08533053380824523,-0.027666666666666135,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,12,0 days 00:01:21.558000,MEDIUM,3.0,True,0 days 01:14:09.806000,25.0,20,40.1,0 days 00:00:25.749000,0 days 00:00:28.450000,0 days 00:00:27.359000,1,81.558,4449.806,0.0,False,True,False,3.0,0.0,0.0,25.749,28.45,27.359,0,0,0,0.0,82.324,0.34784551168585065,-2.2021270198012153,1,1,81.718,81.491,-0.22700000000000387,0.0,-0.1599999999999966,-0.2129999999999986,0.0,0.07500000000000284,0.17610593402835717,-0.2129999999999986,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,13,0 days 00:01:21.491000,MEDIUM,4.0,True,0 days 01:15:31.297000,25.2,20,41.3,0 days 00:00:25.706000,0 days 00:00:28.457000,0 days 00:00:27.328000,1,81.491,4531.297,0.0,False,True,False,4.0,0.0,0.0,25.706,28.457,27.328,0,0,0,0.0,82.12,0.44669508616055026,-1.408119362597893,0,1,81.558,81.839,0.2809999999999917,0.0,-0.06700000000000728,-0.3046666666666624,0.0,0.04400000000000048,0.18693234070112166,-0.3046666666666624,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,14,0 days 00:01:21.839000,MEDIUM,5.0,True,0 days 01:16:53.136000,25.1,20,41.3,0 days 00:00:25.759000,0 days 00:00:28.592000,0 days 00:00:27.488000,1,81.839,4613.136,0.0,False,True,False,5.0,0.0,0.0,25.759,28.592,27.488,0,0,0,0.0,81.94680000000001,0.49689707183678955,-0.21694633780297173,0,0,81.491,81.773,0.2819999999999965,0.0,0.347999999999999,-0.3346666666666683,0.0,0.20400000000000063,0.18696844653577285,-0.3346666666666683,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,15,0 days 00:01:21.773000,MEDIUM,6.0,True,0 days 01:18:14.909000,25.1,20,42.0,0 days 00:00:25.750000,0 days 00:00:28.549000,0 days 00:00:27.474000,1,81.773,4694.909,0.0,False,True,False,6.0,0.0,0.0,25.75,28.549,27.474,0,0,0,0.0,81.8202,0.4010220692181075,-0.11769925802844679,0,0,81.839,82.144,0.3050000000000068,0.347999999999999,-0.0660000000000025,0.0403333333333317,0.0,0.1460000000000008,0.21062763351469366,0.0403333333333317,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,16,0 days 00:01:22.144000,MEDIUM,7.0,True,0 days 01:19:37.053000,25.3,20,41.9,0 days 00:00:25.938000,0 days 00:00:28.722000,0 days 00:00:27.484000,1,82.144,4777.053,0.0,False,True,False,7.0,0.0,0.0,25.938,28.722,27.484,0,0,0,0.0,81.67580000000001,0.14653566118855157,3.1951266756666814,0,0,81.773,82.41,0.6370000000000005,0.2819999999999965,0.3710000000000093,0.07166666666666306,0.0,0.15600000000000236,0.21375499994152217,0.07166666666666306,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,17,0 days 00:01:22.410000,MEDIUM,8.0,True,0 days 01:20:59.463000,25.3,20,42.2,0 days 00:00:25.986000,0 days 00:00:28.823000,0 days 00:00:27.601000,1,82.41,4859.463,0.0,False,True,False,8.0,0.0,0.0,25.986,28.823,27.601,0,0,0,0.0,81.761,0.25837279268524277,2.5118743860567068,0,0,82.144,82.247,0.10299999999999443,0.6530000000000058,0.26599999999999113,0.2176666666666686,0.0,0.1269999999999989,0.06462197768561377,0.2176666666666686,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,18,0 days 00:01:22.247000,MEDIUM,9.0,True,0 days 01:22:21.710000,25.4,20,42.3,0 days 00:00:25.874000,0 days 00:00:28.731000,0 days 00:00:27.642000,1,82.247,4941.71,0.0,False,True,False,9.0,0.0,0.0,25.874,28.731,27.642,0,0,0,0.0,81.93140000000001,0.35420234330108463,0.8910161267107088,0,0,82.41,82.579,0.16899999999999693,0.9189999999999969,-0.1629999999999967,0.19033333333333266,0.0,0.16799999999999926,0.05845340024327086,0.19033333333333266,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,19,0 days 00:01:22.579000,MEDIUM,10.0,True,0 days 01:23:44.289000,25.5,20,42.0,0 days 00:00:25.928000,0 days 00:00:28.802000,0 days 00:00:27.849000,1,82.579,5024.289,0.0,False,True,False,10.0,0.0,0.0,25.928,28.802,27.849,0,0,0,0.0,82.0826,0.27073104735139775,1.8335540192244277,0,0,82.247,81.725,-0.5220000000000056,0.47400000000000375,0.33199999999999363,0.15800000000000125,0.0,0.36499999999999844,0.028726294574831644,0.15800000000000125,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,20,0 days 00:01:21.725000,MEDIUM,11.0,True,0 days 01:25:06.014000,25.5,20,41.8,0 days 00:00:25.599000,0 days 00:00:28.665000,0 days 00:00:27.461000,1,81.725,5106.014,0.0,False,True,False,11.0,0.0,0.0,25.599,28.665,27.461,0,0,0,0.0,82.2306,0.3044393207192307,-1.6607578771544134,1,0,82.579,82.335,-0.24399999999999977,0.8059999999999974,-0.8539999999999992,0.14499999999999602,0.0,-0.14000000000000057,0.0976488607204397,0.14499999999999602,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,21,0 days 00:01:22.335000,MEDIUM,12.0,True,0 days 01:26:28.349000,25.5,20,42.2,0 days 00:00:25.866000,0 days 00:00:28.768000,0 days 00:00:27.701000,1,82.335,5188.349,0.0,False,True,False,12.0,0.0,0.0,25.866,28.768,27.701,0,0,0,0.0,82.221,0.32268638025176766,0.35328420093542395,0,1,81.725,82.27,0.5450000000000017,0.0,0.6099999999999994,-0.22833333333333408,0.0,0.240000000000002,0.18035991794187503,-0.22833333333333408,0,0,2024,Emilia Romagna Grand Prix,0.0,0,0.0
