Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:26.441000,SOFT,2.0,True,0 days 00:58:04.883000,28.9,9,44.6,0 days 00:00:30.724000,0 days 00:00:31.443000,0 days 00:00:24.274000,1,86.441,3484.883,0.8360000000002401,False,False,True,2.0,0.0,0.0,30.724,31.443,24.274,0,0,0,0.0,,,0.0,0,0,86.441,86.583,0.1419999999999959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,3,0 days 00:01:26.583000,SOFT,3.0,True,0 days 00:59:31.466000,28.8,9,46.8,0 days 00:00:30.502000,0 days 00:00:31.975000,0 days 00:00:24.106000,1,86.583,3571.466,0.8530000000000655,False,False,True,3.0,0.0,0.0,30.502,31.975,24.106,0,0,0,0.0,,,0.0,0,0,86.441,85.933,-0.5079999999999956,0.0,0.1419999999999959,0.0,0.0,0.0,0.0,0.0,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,4,0 days 00:01:25.933000,SOFT,4.0,True,0 days 01:00:57.399000,28.8,9,46.8,0 days 00:00:30.524000,0 days 00:00:31.347000,0 days 00:00:24.062000,1,85.933,3657.399,0.831000000000131,False,False,True,4.0,0.0,0.0,30.524,31.347,24.062,0,0,0,0.0,,,0.0,0,0,86.583,86.179,-0.40399999999999636,0.0,-0.6499999999999915,0.07099999999999795,0.0,-0.04400000000000048,0.0,0.0,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,5,0 days 00:01:26.179000,SOFT,5.0,True,0 days 01:02:23.578000,29.0,9,46.6,0 days 00:00:30.116000,0 days 00:00:31.776000,0 days 00:00:24.287000,1,86.179,3743.578,0.8009999999999309,False,False,True,5.0,0.0,0.0,30.116,31.776,24.287,0,0,0,0.0,86.319,0.3417425931896655,-0.40966506016503845,0,0,85.933,84.624,-1.3090000000000117,0.0,0.2459999999999951,-0.16933333333333186,0.0,0.22499999999999787,0.02540341184434381,-0.2539999999999978,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,8,0 days 00:01:24.624000,HARD,2.0,True,0 days 01:06:58.458000,28.8,16,46.8,0 days 00:00:30.149000,0 days 00:00:30.796000,0 days 00:00:23.679000,1,84.624,4018.458,0.9929999999999382,True,False,False,2.0,0.0,0.0,30.149,30.796,23.679,0,0,0,0.0,86.284,0.2876780608017668,-5.7703392305049075,1,0,86.179,84.892,-1.2870000000000061,0.2459999999999951,-1.5550000000000068,-0.08733333333333348,0.0,-0.38300000000000267,0.12161517175089535,-0.08733333333333348,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,9,0 days 00:01:24.892000,HARD,3.0,True,0 days 01:08:23.350000,28.8,15,46.5,0 days 00:00:29.965000,0 days 00:00:31,0 days 00:00:23.927000,1,84.892,4103.35,0.9529999999995198,True,False,False,3.0,0.0,0.0,29.965,31.0,23.927,0,0,0,0.0,85.952,0.7830638543567208,-1.3536571687002228,0,1,84.624,85.111,0.487000000000009,0.0,0.2680000000000007,-0.653000000000001,0.0,0.2480000000000011,0.21856875348503083,-0.653000000000001,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,10,0 days 00:01:25.111000,HARD,4.0,True,0 days 01:09:48.461000,28.9,15,45.0,0 days 00:00:30.327000,0 days 00:00:30.804000,0 days 00:00:23.980000,1,85.111,4188.461,0.8710000000000946,True,False,False,4.0,0.0,0.0,30.327,30.804,23.98,0,0,0,0.0,85.64219999999999,0.8451856009185192,-0.6285010054864799,0,0,84.892,84.572,-0.3199999999999932,0.2680000000000007,0.2190000000000083,-0.3470000000000037,0.0,0.30100000000000193,0.2551131121679175,-0.3470000000000037,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,11,0 days 00:01:24.572000,HARD,5.0,True,0 days 01:11:13.033000,29.0,15,43.9,0 days 00:00:30.021000,0 days 00:00:30.632000,0 days 00:00:23.919000,1,84.572,4273.033,1.1349999999993088,True,False,False,5.0,0.0,0.0,30.021,30.632,23.919,0,0,0,0.0,85.3478,0.6747345403934717,-1.1497855134963089,0,0,85.111,84.889,-0.2220000000000084,0.487000000000009,-0.5390000000000015,-0.35599999999999926,0.0,0.240000000000002,0.2860389833571655,-0.35599999999999926,0,0,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,12,0 days 00:01:24.889000,HARD,6.0,True,0 days 01:12:37.922000,28.9,15,42.9,0 days 00:00:29.952000,0 days 00:00:30.831000,0 days 00:00:24.106000,1,84.889,4357.922,0.9040000000004511,True,False,False,6.0,0.0,0.0,29.952,30.831,24.106,0,0,0,0.0,85.07560000000001,0.6538366003826773,-0.285392405213779,0,0,84.572,85.381,0.8089999999999975,0.0,0.31699999999999307,-0.01733333333333083,0.0,0.18700000000000117,0.28608862263291934,-0.01733333333333083,0,1,2024,Hungarian Grand Prix,0.0,14,0.0
ALB,13,0 days 00:01:25.381000,HARD,7.0,True,0 days 01:14:03.303000,28.9,15,44.1,0 days 00:00:30.404000,0 days 00:00:30.849000,0 days 00:00:24.128000,1,85.381,4443.303,1.0619999999998981,True,False,False,7.0,0.0,0.0,30.404,30.849,24.128,0,0,0,0.0,84.8176,0.2205205205870021,2.554864275217067,0,0,84.889,85.068,0.17900000000000205,0.31699999999999307,0.49200000000000443,-0.001000000000000038,0.0,0.20899999999999963,0.28329895869911187,-0.001000000000000038,0,0,2024,Hungarian Grand Prix,0.0,14,0.0
