Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:27.011000,MEDIUM,2.0,True,0 days 00:58:49.728000,9,0 days 00:00:28.097000,0 days 00:00:29.802000,0 days 00:00:29.112000,1,87.011,3529.728,0.6709999999998217,False,True,False,2.0,0.0,0.0,0.0,0.0,28.097,29.802,29.112,0,0,0,0.0,,,0.0,0,0,87.011,86.282,-0.7289999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,3,0 days 00:01:26.282000,MEDIUM,3.0,True,0 days 01:00:16.010000,9,0 days 00:00:27.753000,0 days 00:00:29.699000,0 days 00:00:28.830000,1,86.282,3616.01,0.7989999999999782,False,True,False,3.0,0.0,0.0,0.0,0.0,27.753,29.699,28.83,0,0,0,0.0,,,0.0,0,0,87.011,86.527,-0.48399999999999466,0.0,-0.7289999999999992,0.0,0.0,0.0,0.0,0.0,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,4,0 days 00:01:26.527000,MEDIUM,4.0,True,0 days 01:01:42.537000,9,0 days 00:00:27.873000,0 days 00:00:29.932000,0 days 00:00:28.722000,1,86.527,3702.537,0.6829999999999927,False,True,False,4.0,0.0,0.0,0.0,0.0,27.873,29.932,28.722,0,0,0,0.0,,,0.0,0,0,86.282,86.039,-0.242999999999995,0.0,0.24500000000000455,-0.3644999999999996,0.0,-0.10799999999999699,0.0,0.0,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,5,0 days 00:01:26.039000,MEDIUM,5.0,True,0 days 01:03:08.576000,9,0 days 00:00:27.704000,0 days 00:00:29.522000,0 days 00:00:28.813000,1,86.039,3788.576,0.86200000000008,False,True,False,5.0,0.0,0.0,0.0,0.0,27.704,29.522,28.813,0,0,0,0.0,86.60666666666667,0.37097214630391834,-1.530213716373217,1,0,86.527,85.946,-0.5810000000000031,0.24500000000000455,-0.48799999999999955,-0.16133333333333155,0.0,0.09099999999999753,0.06235382907247784,-0.24199999999999733,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,6,0 days 00:01:25.946000,MEDIUM,6.0,True,0 days 01:04:34.522000,9,0 days 00:00:27.696000,0 days 00:00:29.633000,0 days 00:00:28.617000,1,85.946,3874.522,0.8270000000002256,False,True,False,6.0,0.0,0.0,0.0,0.0,27.696,29.633,28.617,0,0,0,0.0,86.46475,0.4151002890868703,-1.2496979974192104,0,1,86.039,85.99,-0.049000000000006594,0.0,-0.09300000000000352,-0.32399999999999807,0.0,-0.10500000000000043,0.08138949563671982,-0.32399999999999807,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,7,0 days 00:01:25.990000,MEDIUM,7.0,True,0 days 01:06:00.512000,9,0 days 00:00:27.815000,0 days 00:00:29.400000,0 days 00:00:28.775000,1,85.99,3960.512,0.7869999999998072,False,True,False,7.0,0.0,0.0,0.0,0.0,27.815,29.4,28.775,0,0,0,0.0,86.361,0.427845182279764,-0.8671360935353851,0,0,85.946,85.963,0.016999999999995907,0.0,0.04399999999999693,-0.1119999999999995,0.0,0.1579999999999977,0.08365584259332846,-0.1119999999999995,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,8,0 days 00:01:25.963000,MEDIUM,8.0,True,0 days 01:07:26.475000,9,0 days 00:00:27.800000,0 days 00:00:29.640000,0 days 00:00:28.523000,1,85.963,4046.475,0.5170000000002801,False,True,False,8.0,0.0,0.0,0.0,0.0,27.8,29.64,28.523,0,0,0,0.0,86.1568,0.24436591415336464,-0.7930729646622516,0,0,85.99,85.666,-0.32399999999999807,0.04399999999999693,-0.027000000000001023,-0.17900000000000205,0.0,-0.0940000000000012,0.11797754023541758,-0.17900000000000205,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,9,0 days 00:01:25.666000,MEDIUM,9.0,True,0 days 01:08:52.141000,9,0 days 00:00:27.709000,0 days 00:00:29.210000,0 days 00:00:28.747000,1,85.666,4132.141,0.8200000000006185,False,True,False,9.0,0.0,0.0,0.0,0.0,27.709,29.21,28.747,0,0,0,0.0,86.09299999999999,0.24514791453326853,-1.7418055577301075,1,0,85.963,85.711,-0.25199999999999534,0.016999999999995907,-0.29699999999999704,-0.025333333333335872,0.0,0.2240000000000002,0.12658712414775683,-0.025333333333335872,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,10,0 days 00:01:25.711000,MEDIUM,10.0,True,0 days 01:10:17.852000,9,0 days 00:00:27.728000,0 days 00:00:29.351000,0 days 00:00:28.632000,1,85.711,4217.852,0.9409999999998035,False,True,False,10.0,0.0,0.0,0.0,0.0,27.728,29.351,28.632,0,0,0,0.0,85.9208,0.14671298511042197,-1.4300029396995608,0,1,85.666,85.734,0.06799999999999784,0.0,0.045000000000001705,-0.09333333333333371,0.0,0.10900000000000176,0.14854864523111605,-0.09333333333333371,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,11,0 days 00:01:25.734000,MEDIUM,11.0,True,0 days 01:11:43.586000,9,0 days 00:00:27.781000,0 days 00:00:29.309000,0 days 00:00:28.644000,1,85.734,4303.586,0.9650000000001455,False,True,False,11.0,0.0,0.0,0.0,0.0,27.781,29.309,28.644,0,0,0,0.0,85.8552,0.15380734702871224,-0.7879987682082348,0,0,85.711,85.468,-0.242999999999995,0.045000000000001705,0.022999999999996135,-0.09299999999999879,0.0,0.12099999999999866,0.14985759907325377,-0.09299999999999879,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,12,0 days 00:01:25.468000,MEDIUM,12.0,True,0 days 01:13:09.054000,8,0 days 00:00:27.873000,0 days 00:00:29.147000,0 days 00:00:28.448000,1,85.468,4389.054,3.394000000000233,False,True,False,12.0,0.0,0.0,0.0,0.0,27.873,29.147,28.448,0,0,0,0.0,85.8128,0.1517257394116459,-2.272521467596991,1,0,85.734,85.533,-0.2009999999999934,0.06799999999999784,-0.26599999999999113,-0.07633333333333307,0.0,-0.18400000000000105,0.11919857381697174,-0.07633333333333307,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,13,0 days 00:01:25.533000,MEDIUM,13.0,True,0 days 01:14:34.587000,8,0 days 00:00:27.847000,0 days 00:00:29.199000,0 days 00:00:28.487000,1,85.533,4474.587,4.1469999999999345,False,True,False,13.0,0.0,0.0,0.0,0.0,27.847,29.199,28.487,0,0,0,0.0,85.7084,0.1768284479375678,-0.9919218431523196,0,1,85.468,86.14,0.671999999999997,0.0,0.06499999999999773,-0.06599999999999777,0.0,0.038999999999997925,0.16822217451929522,-0.06599999999999777,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,14,0 days 00:01:26.140000,MEDIUM,14.0,True,0 days 01:16:00.727000,8,0 days 00:00:27.867000,0 days 00:00:29.548000,0 days 00:00:28.725000,1,86.14,4560.727,5.4409999999998035,False,True,False,14.0,0.0,0.0,0.0,0.0,27.867,29.548,28.725,0,0,0,0.0,85.6224,0.11622951432407297,4.453257875248632,0,0,85.533,86.463,0.9299999999999926,0.06499999999999773,0.6069999999999993,-0.059333333333332426,0.0,0.277000000000001,0.15246212644457038,-0.059333333333332426,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,15,0 days 00:01:26.463000,MEDIUM,15.0,True,0 days 01:17:27.190000,7,0 days 00:00:27.962000,0 days 00:00:29.723000,0 days 00:00:28.778000,1,86.463,4647.19,5.655000000000655,False,True,False,15.0,0.0,0.0,0.0,0.0,27.962,29.723,28.778,0,0,0,0.0,85.7172,0.2622550285504717,2.843796758148556,0,0,86.14,86.454,0.31399999999999295,0.671999999999997,0.3229999999999933,0.1353333333333353,0.0,0.3299999999999983,0.167644862730715,0.1353333333333353,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,16,0 days 00:01:26.454000,MEDIUM,16.0,True,0 days 01:18:53.644000,5,0 days 00:00:27.943000,0 days 00:00:29.673000,0 days 00:00:28.838000,1,86.454,4733.644,1.389999999999418,False,True,False,16.0,0.0,0.0,0.0,0.0,27.943,29.673,28.838,0,0,0,0.0,85.8676,0.423730220777333,1.383899404022321,0,0,86.463,85.254,-1.208999999999989,0.9949999999999903,-0.009000000000000341,0.33166666666666345,0.0,0.35100000000000264,0.2047371485588293,0.33166666666666345,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,19,0 days 00:01:25.254000,HARD,2.0,True,0 days 01:23:36.367000,13,0 days 00:00:27.568000,0 days 00:00:29.119000,0 days 00:00:28.567000,1,85.254,5016.367,0.8689999999996871,True,False,False,2.0,0.0,0.0,0.0,0.0,27.568,29.119,28.567,0,0,0,0.0,86.0116,0.48490339244019104,-1.5623730660812822,1,0,86.454,85.074,-1.3799999999999955,0.98599999999999,-1.1999999999999886,0.30699999999999744,0.0,-0.15800000000000125,0.23022445569487285,0.30699999999999744,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,20,0 days 00:01:25.074000,HARD,3.0,True,0 days 01:25:01.441000,12,0 days 00:00:27.500000,0 days 00:00:29.177000,0 days 00:00:28.397000,1,85.074,5101.441,0.8530000000000655,True,False,False,3.0,0.0,0.0,0.0,0.0,27.5,29.177,28.397,0,0,0,0.0,85.9688,0.5499597257981765,-1.62702823138794,1,1,85.254,84.86,-0.39400000000000546,0.0,-0.18000000000000682,-0.2953333333333319,0.0,-0.1700000000000017,0.22052822948547993,-0.2953333333333319,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,21,0 days 00:01:24.860000,HARD,4.0,True,0 days 01:26:26.301000,12,0 days 00:00:27.522000,0 days 00:00:29.035000,0 days 00:00:28.303000,1,84.86,5186.301,0.8709999999991851,True,False,False,4.0,0.0,0.0,0.0,0.0,27.522,29.035,28.303,0,0,0,0.0,85.877,0.6667893220500832,-1.5252193854472194,1,1,85.074,85.053,-0.021000000000000796,0.0,-0.21399999999999864,-0.4629999999999986,0.0,-0.09399999999999764,0.26613624330406527,-0.4629999999999986,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,22,0 days 00:01:25.053000,HARD,5.0,True,0 days 01:27:51.354000,12,0 days 00:00:27.580000,0 days 00:00:29.140000,0 days 00:00:28.333000,1,85.053,5271.354,0.9229999999997744,True,False,False,5.0,0.0,0.0,0.0,0.0,27.58,29.14,28.333,0,0,0,0.0,85.621,0.7771537814358345,-0.7308720790762756,0,1,84.86,85.132,0.27200000000000557,0.0,0.19299999999999784,-0.5313333333333313,0.0,0.029999999999997584,0.2652285806620401,-0.5313333333333313,0,1,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,23,0 days 00:01:25.132000,HARD,6.0,True,0 days 01:29:16.486000,12,0 days 00:00:27.558000,0 days 00:00:29.162000,0 days 00:00:28.412000,1,85.132,5356.486,1.344000000000051,True,False,False,6.0,0.0,0.0,0.0,0.0,27.558,29.162,28.412,0,0,0,0.0,85.339,0.6387315555067147,-0.3240798082001407,0,0,85.053,85.196,0.14300000000000068,0.19299999999999784,0.07900000000000773,-0.06700000000000254,0.0,0.10899999999999821,0.21590785071414276,-0.06700000000000254,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,24,0 days 00:01:25.196000,HARD,7.0,True,0 days 01:30:41.682000,12,0 days 00:00:27.686000,0 days 00:00:28.859000,0 days 00:00:28.651000,1,85.196,5441.682,1.279000000000451,True,False,False,7.0,0.0,0.0,0.0,0.0,27.686,28.859,28.651,0,0,0,0.0,85.0746,0.14317751220091196,0.8478985151637586,0,0,85.132,84.707,-0.42500000000001137,0.27200000000000557,0.06399999999999295,0.019333333333335645,0.0,0.347999999999999,0.12192538702009463,0.019333333333335645,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,25,0 days 00:01:24.707000,HARD,8.0,True,0 days 01:32:06.389000,11,0 days 00:00:27.264000,0 days 00:00:29.156000,0 days 00:00:28.287000,1,84.707,5526.389,1.831000000000131,True,False,False,8.0,0.0,0.0,0.0,0.0,27.264,29.156,28.287,0,0,0,0.0,85.063,0.12637246535556002,-2.817069359202351,1,0,85.196,85.065,-0.13100000000000023,0.3359999999999985,-0.4890000000000043,0.1119999999999995,0.0,-0.045999999999999375,0.20104427373093675,0.1119999999999995,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,26,0 days 00:01:25.065000,HARD,9.0,True,0 days 01:33:31.454000,11,0 days 00:00:27.546000,0 days 00:00:29.142000,0 days 00:00:28.377000,1,85.065,5611.454,2.2100000000000364,True,False,False,9.0,0.0,0.0,0.0,0.0,27.546,29.142,28.377,0,0,0,0.0,84.9896,0.20221102838383287,0.37287778318835885,0,1,84.707,84.949,0.24200000000000443,0.0,0.3580000000000041,-0.11533333333333455,0.0,0.08999999999999986,0.17374924460267344,-0.11533333333333455,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
ALB,27,0 days 00:01:24.949000,HARD,10.0,True,0 days 01:34:56.403000,11,0 days 00:00:27.505000,0 days 00:00:28.968000,0 days 00:00:28.476000,1,84.949,5696.403,1.90099999999984,True,False,False,10.0,0.0,0.0,0.0,0.0,27.505,28.968,28.476,0,0,0,0.0,85.0306,0.18976380055227754,-0.43000825111283014,0,0,85.065,84.793,-0.27199999999999136,0.3580000000000041,-0.11599999999999966,-0.02233333333333576,0.0,0.18900000000000006,0.14807835763540841,-0.02233333333333576,0,0,2024,Italian Grand Prix,2024_Italian Grand Prix
