Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,7,0 days 00:01:22.722000,MEDIUM,8.0,True,0 days 01:10:13.632000,20.2,12,37.2,0 days 00:00:29.270000,0 days 00:00:32.068000,0 days 00:00:21.384000,1,82.722,4213.632,0.7989999999999782,False,True,False,8.0,0.0,0.0,29.27,32.068,21.384,0,0,0,0.0,,,0.0,0,0,82.722,83.312,0.5900000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
ALO,8,0 days 00:01:23.312000,MEDIUM,9.0,True,0 days 01:11:36.944000,20.4,12,36.5,0 days 00:00:29.487000,0 days 00:00:32.536000,0 days 00:00:21.289000,1,83.312,4296.944,0.6929999999993015,False,True,False,9.0,0.0,0.0,29.487,32.536,21.289,0,0,0,0.0,,,0.0,0,0,82.722,83.132,0.4100000000000108,0.0,0.5900000000000034,0.0,0.0,0.0,0.0,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
ALO,9,0 days 00:01:23.132000,MEDIUM,10.0,True,0 days 01:13:00.076000,20.2,12,36.5,0 days 00:00:28.885000,0 days 00:00:32.810000,0 days 00:00:21.437000,1,83.132,4380.076,0.6520000000000437,False,True,False,10.0,0.0,0.0,28.885,32.81,21.437,0,0,0,0.0,,,0.0,0,0,83.312,83.173,-0.1389999999999958,0.0,-0.1799999999999926,0.2950000000000017,0.0,0.1479999999999997,0.0,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
ALO,10,0 days 00:01:23.173000,MEDIUM,11.0,True,0 days 01:14:23.249000,20.1,12,36.9,0 days 00:00:29.132000,0 days 00:00:32.603000,0 days 00:00:21.438000,1,83.173,4463.249,0.6170000000001892,False,True,False,11.0,0.0,0.0,29.132,32.603,21.438,0,0,0,0.0,83.05533333333334,0.30237945256471177,0.3891357883898647,0,0,83.132,83.681,0.5489999999999924,0.4100000000000108,0.04099999999999682,0.13666666666667027,0.0,0.14899999999999736,0.08544783984006443,0.2050000000000054,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
ALO,12,0 days 00:01:23.681000,MEDIUM,13.0,True,0 days 01:17:11.057000,20.2,13,36.7,0 days 00:00:29.085000,0 days 00:00:33.080000,0 days 00:00:21.516000,1,83.681,4631.057,0.7200000000002547,False,True,False,13.0,0.0,0.0,29.085,33.08,21.516,0,0,0,0.0,83.08475,0.2538048791230532,2.3492456175789886,0,0,83.173,84.166,0.992999999999995,0.4510000000000076,0.5079999999999956,0.15033333333333587,0.0,0.22699999999999676,0.0857374869392993,0.15033333333333587,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
ALO,13,0 days 00:01:24.166000,MEDIUM,14.0,True,0 days 01:18:35.223000,20.1,13,35.6,0 days 00:00:29.336000,0 days 00:00:33.275000,0 days 00:00:21.555000,1,84.166,4715.223,0.6840000000001965,False,True,False,14.0,0.0,0.0,29.336,33.275,21.555,0,0,0,0.0,83.204,0.3455654785999334,2.783842888177282,0,0,83.681,84.366,0.6850000000000023,0.9590000000000032,0.48499999999999943,0.12299999999999993,0.0,0.11799999999999855,0.10089449935452248,0.12299999999999993,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,7,0 days 00:01:23.635000,HARD,8.0,True,0 days 01:10:16.154000,20.2,15,37.2,0 days 00:00:29.254000,0 days 00:00:32.821000,0 days 00:00:21.560000,1,83.635,4216.154,0.5939999999991414,True,False,False,8.0,0.0,0.0,29.254,32.821,21.56,0,0,0,0.0,83.70360000000001,0.5615516895175314,-0.12216150584275266,0,0,83.635,83.131,-0.5040000000000049,0.5030000000000001,0.0,0.39766666666666595,0.0,0.04400000000000048,0.04103291361821526,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,8,0 days 00:01:23.131000,HARD,9.0,True,0 days 01:11:39.285000,20.4,15,36.5,0 days 00:00:29.404000,0 days 00:00:32.429000,0 days 00:00:21.298000,1,83.131,4299.285,0.8429999999998472,True,False,False,9.0,0.0,0.0,29.404,32.429,21.298,0,0,0,0.0,,,0.0,0,0,83.635,82.964,-0.6710000000000065,0.0,-0.5040000000000049,0.0,0.0,0.0,0.0,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,9,0 days 00:01:22.964000,HARD,10.0,True,0 days 01:13:02.249000,20.2,15,36.5,0 days 00:00:28.865000,0 days 00:00:32.520000,0 days 00:00:21.579000,1,82.964,4382.249,0.7830000000003565,True,False,False,10.0,0.0,0.0,28.865,32.52,21.579,0,0,0,0.0,,,0.0,0,0,83.131,83.483,0.35200000000000387,0.0,-0.1670000000000016,-0.25200000000000244,0.0,0.28100000000000236,0.0,0.0,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,10,0 days 00:01:23.483000,HARD,11.0,True,0 days 01:14:25.732000,20.1,15,36.9,0 days 00:00:28.806000,0 days 00:00:32.730000,0 days 00:00:21.947000,1,83.483,4465.732,0.5990000000001601,True,False,False,11.0,0.0,0.0,28.806,32.73,21.947,0,0,0,0.0,83.24333333333334,0.3493198152600843,0.686095251963368,0,0,82.964,83.677,0.7130000000000081,0.0,0.5190000000000055,-0.22366666666666882,0.0,0.6490000000000009,0.1511434197487066,-0.33550000000000324,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,11,0 days 00:01:23.677000,HARD,12.0,True,0 days 01:15:49.409000,20.2,15,37.0,0 days 00:00:28.894000,0 days 00:00:33.118000,0 days 00:00:21.665000,1,83.677,4549.409,0.7150000000001455,True,False,False,12.0,0.0,0.0,28.894,33.118,21.665,0,0,0,0.0,83.30325,0.3093696548359861,1.2081016808133513,0,0,83.483,83.607,0.12399999999999523,0.5190000000000055,0.19400000000000261,-0.050666666666667005,0.0,0.3670000000000009,0.2971694241786441,-0.050666666666667005,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,12,0 days 00:01:23.607000,HARD,13.0,True,0 days 01:17:13.016000,20.2,15,36.7,0 days 00:00:29.214000,0 days 00:00:32.712000,0 days 00:00:21.681000,1,83.607,4633.016,0.5570000000006985,True,False,False,13.0,0.0,0.0,29.214,32.712,21.681,0,0,0,0.0,83.378,0.3157847368065841,0.725177544411401,0,0,83.677,84.325,0.6479999999999961,0.7130000000000081,-0.07000000000000739,0.18200000000000216,0.0,0.10200000000000031,0.2632160709379277,0.18200000000000216,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,13,0 days 00:01:24.325000,HARD,14.0,True,0 days 01:18:37.341000,20.1,16,35.6,0 days 00:00:29.792000,0 days 00:00:32.674000,0 days 00:00:21.859000,1,84.325,4717.341,0.7109999999993306,True,False,False,14.0,0.0,0.0,29.792,32.674,21.859,0,0,0,0.0,83.3724,0.31028825308090996,3.07004854531701,0,0,83.607,84.189,0.5819999999999936,0.6430000000000007,0.7180000000000035,0.21433333333333357,0.0,0.19400000000000261,0.2519001786422554,0.21433333333333357,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,14,0 days 00:01:24.189000,HARD,15.0,True,0 days 01:20:01.530000,20.1,16,34.8,0 days 00:00:29.061000,0 days 00:00:33.161000,0 days 00:00:21.967000,1,84.189,4801.53,0.5010000000002037,True,False,False,15.0,0.0,0.0,29.061,33.161,21.967,0,0,0,0.0,83.6112,0.4871244194248582,1.1861446007617473,0,0,84.325,84.215,-0.10999999999999943,1.3610000000000042,-0.1360000000000099,0.28066666666666623,0.0,0.3019999999999996,0.2093807536522876,0.28066666666666623,0,1,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,15,0 days 00:01:24.215000,HARD,16.0,True,0 days 01:21:25.745000,20.0,15,34.8,0 days 00:00:28.881000,0 days 00:00:33.301000,0 days 00:00:22.033000,1,84.215,4885.745,1.6500000000005457,True,False,False,16.0,0.0,0.0,28.881,33.301,22.033,0,0,0,0.0,83.8562,0.3755065911538769,0.9555091933205813,0,0,84.189,83.781,-0.40799999999998704,0.7059999999999889,0.02600000000001046,0.17066666666666208,0.0,0.3520000000000003,0.2086473100713258,0.17066666666666208,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,16,0 days 00:01:23.781000,HARD,17.0,True,0 days 01:22:49.526000,20.0,15,34.7,0 days 00:00:29.148000,0 days 00:00:32.910000,0 days 00:00:21.723000,1,83.781,4969.526,1.9949999999998909,True,False,False,17.0,0.0,0.0,29.148,32.91,21.723,0,0,0,0.0,84.0026,0.3340341299927387,-0.6634052634226698,0,0,84.215,83.705,-0.5100000000000051,0.6080000000000041,-0.4339999999999975,0.20266666666666802,0.0,-0.13600000000000279,0.11284857110304915,0.20266666666666802,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,17,0 days 00:01:23.705000,HARD,18.0,True,0 days 01:24:13.231000,20.1,15,35.6,0 days 00:00:29.417000,0 days 00:00:32.647000,0 days 00:00:21.641000,1,83.705,5053.231,1.860000000000582,True,False,False,18.0,0.0,0.0,29.417,32.647,21.641,0,0,0,0.0,84.02340000000001,0.31114433949536474,-1.0233192752804505,0,0,83.781,83.806,0.024999999999991473,0.1740000000000066,-0.07600000000000762,-0.18133333333333232,0.0,-0.08200000000000074,0.19308340166881371,-0.18133333333333232,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,18,0 days 00:01:23.806000,HARD,19.0,True,0 days 01:25:37.037000,20.4,15,37.3,0 days 00:00:29.532000,0 days 00:00:32.688000,0 days 00:00:21.586000,1,83.806,5137.037,1.7299999999995634,True,False,False,19.0,0.0,0.0,29.532,32.688,21.586,0,0,0,0.0,84.043,0.27987139903892677,-0.8468175055181152,0,0,83.705,83.72,0.015000000000000568,0.0,0.10099999999999909,-0.16133333333333155,0.0,-0.054999999999999716,0.22281382362860824,-0.16133333333333155,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,19,0 days 00:01:23.720000,HARD,20.0,True,0 days 01:27:00.757000,20.5,15,37.4,0 days 00:00:29.559000,0 days 00:00:32.610000,0 days 00:00:21.551000,1,83.72,5220.757,1.704000000000633,True,False,False,20.0,0.0,0.0,29.559,32.61,21.551,0,0,0,0.0,83.9392,0.24294279161977242,-0.9022700304813681,0,0,83.806,83.453,-0.35299999999999443,0.10099999999999909,-0.08599999999999852,-0.13633333333333533,0.0,-0.03500000000000014,0.23147397261895417,-0.13633333333333533,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,20,0 days 00:01:23.453000,HARD,21.0,True,0 days 01:28:24.210000,20.4,14,37.8,0 days 00:00:29.368000,0 days 00:00:32.453000,0 days 00:00:21.632000,1,83.453,5304.21,1.7910000000001673,True,False,False,21.0,0.0,0.0,29.368,32.453,21.632,0,0,0,0.0,83.8454,0.21079682160794608,-1.8615081432764984,1,0,83.72,83.904,0.1839999999999975,0.015000000000000568,-0.2669999999999959,-0.020333333333335684,0.0,0.08100000000000307,0.19556763535922883,-0.020333333333335684,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,21,0 days 00:01:23.904000,HARD,22.0,True,0 days 01:29:48.114000,20.5,14,37.8,0 days 00:00:29.396000,0 days 00:00:32.864000,0 days 00:00:21.644000,1,83.904,5388.114,1.6610000000000582,True,False,False,22.0,0.0,0.0,29.396,32.864,21.644,0,0,0,0.0,83.69300000000001,0.14052224023269635,1.501541675186654,0,1,83.453,83.593,0.14000000000000057,0.0,0.4509999999999934,-0.08399999999999845,0.0,0.09299999999999997,0.0801953864009666,-0.08399999999999845,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,22,0 days 00:01:23.593000,HARD,23.0,True,0 days 01:31:11.707000,20.6,14,38.0,0 days 00:00:29.317000,0 days 00:00:32.616000,0 days 00:00:21.660000,1,83.593,5471.707,1.768000000000029,True,False,False,23.0,0.0,0.0,29.317,32.616,21.66,0,0,0,0.0,83.7176,0.1678818036596393,-0.7421888333569064,0,0,83.904,83.421,-0.4829999999999899,0.4509999999999934,-0.31099999999999284,0.03266666666666632,0.0,0.10900000000000176,0.0809061184336522,0.03266666666666632,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,23,0 days 00:01:23.421000,HARD,24.0,True,0 days 01:32:35.128000,20.9,14,38.6,0 days 00:00:29.341000,0 days 00:00:32.437000,0 days 00:00:21.643000,1,83.421,5555.128,2.0560000000004948,True,False,False,24.0,0.0,0.0,29.341,32.437,21.643,0,0,0,0.0,83.6952,0.17719678326655475,-1.5474321539320381,1,0,83.593,83.241,-0.35200000000000387,0.14000000000000057,-0.17199999999999704,-0.04233333333333178,0.0,0.010999999999999233,0.0772838922415281,-0.04233333333333178,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
BOT,24,0 days 00:01:23.241000,HARD,25.0,True,0 days 01:33:58.369000,21.0,14,38.6,0 days 00:00:29.302000,0 days 00:00:32.376000,0 days 00:00:21.563000,1,83.241,5638.369,2.186000000000604,True,False,False,25.0,0.0,0.0,29.302,32.376,21.563,0,0,0,0.0,83.6182,0.1992854736302089,-1.8927621423121315,1,1,83.421,83.584,0.1629999999999967,0.0,-0.18000000000000682,-0.010666666666665492,0.0,-0.08000000000000185,0.06127968668327316,-0.010666666666665492,0,0,2024,Mexico City Grand Prix,0.0,17,0.0
