Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,3,0 days 00:01:27.834000,HARD,2.0,True,0 days 01:40:30.859000,9,0 days 00:00:25.399000,0 days 00:00:39.935000,0 days 00:00:22.500000,1,87.834,6030.859,0.6759999999994761,True,False,False,2.0,0.0,0.0,0.0,0.0,25.399,39.935,22.5,0,0,0,0.0,,,0.0,0,0,87.834,83.286,-4.548000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,4,0 days 00:01:23.286000,HARD,3.0,True,0 days 01:41:54.145000,9,0 days 00:00:21.826000,0 days 00:00:39.210000,0 days 00:00:22.250000,1,83.286,6114.145,0.6589999999996508,True,False,False,3.0,0.0,0.0,0.0,0.0,21.826,39.21,22.25,0,0,0,0.0,,,0.0,0,0,87.834,83.369,-4.465000000000003,0.0,-4.548000000000002,0.0,0.0,0.0,0.0,0.0,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,5,0 days 00:01:23.369000,HARD,4.0,True,0 days 01:43:17.514000,9,0 days 00:00:22.133000,0 days 00:00:39.122000,0 days 00:00:22.114000,1,83.369,6197.514,0.7179999999998472,True,False,False,4.0,0.0,0.0,0.0,0.0,22.133,39.122,22.114,0,0,0,0.0,,,0.0,0,0,83.286,83.416,0.12999999999999545,0.0,0.08299999999999841,-2.274000000000001,0.0,-0.13599999999999923,0.0,0.0,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,6,0 days 00:01:23.416000,HARD,5.0,True,0 days 01:44:40.930000,9,0 days 00:00:22.168000,0 days 00:00:39.171000,0 days 00:00:22.077000,1,83.416,6280.93,0.407999999999447,True,False,False,5.0,0.0,0.0,0.0,0.0,22.168,39.171,22.077,0,0,0,0.0,84.82966666666667,2.6021599361556045,-0.5432666328554743,0,0,83.369,81.913,-1.456000000000003,0.08299999999999841,0.046999999999997044,-1.4883333333333344,0.0,-0.036999999999999034,0.07851963660978865,-2.2325000000000017,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,7,0 days 00:01:21.913000,HARD,6.0,True,0 days 01:46:02.843000,9,0 days 00:00:21.895000,0 days 00:00:38.406000,0 days 00:00:21.612000,1,81.913,6362.843,0.7280000000000655,True,False,False,6.0,0.0,0.0,0.0,0.0,21.895,38.406,21.612,0,0,0,0.0,84.47625,2.2391451307734993,-1.1447449139281727,0,0,83.416,81.536,-1.8799999999999955,0.12999999999999545,-1.5030000000000001,-1.4726666666666688,0.0,-0.4650000000000034,0.06424627096830826,-1.4726666666666688,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,8,0 days 00:01:21.536000,HARD,7.0,True,0 days 01:47:24.379000,9,0 days 00:00:21.711000,0 days 00:00:38.180000,0 days 00:00:21.645000,1,81.536,6444.379,0.7920000000003711,True,False,False,7.0,0.0,0.0,0.0,0.0,21.711,38.18,21.645,0,0,0,0.0,83.9636,2.2526380756792697,-1.077669789128451,0,0,81.913,82.004,0.09100000000000819,0.0,-0.37699999999999534,-0.4576666666666682,0.0,0.03300000000000125,0.1966476544482558,-0.4576666666666682,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,9,0 days 00:01:22.004000,HARD,8.0,True,0 days 01:48:46.383000,9,0 days 00:00:21.830000,0 days 00:00:38.449000,0 days 00:00:21.725000,1,82.004,6526.383,0.8590000000003783,True,False,False,8.0,0.0,0.0,0.0,0.0,21.83,38.449,21.725,0,0,0,0.0,82.704,0.9052345000053778,-0.7732802936651554,0,0,81.536,81.562,0.02599999999999625,0.0,0.4680000000000035,-0.6109999999999994,0.0,0.1130000000000031,0.2024685160710196,-0.6109999999999994,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,10,0 days 00:01:21.562000,HARD,9.0,True,0 days 01:50:07.945000,9,0 days 00:00:21.790000,0 days 00:00:38.274000,0 days 00:00:21.498000,1,81.562,6607.945,0.691000000000713,True,False,False,9.0,0.0,0.0,0.0,0.0,21.79,38.274,21.498,0,0,0,0.0,82.4476,0.8803932643994848,-1.00591410203946,0,0,82.004,81.514,-0.4900000000000091,0.4680000000000035,-0.4420000000000073,-0.47066666666666396,0.0,-0.11399999999999721,0.22446336003900735,-0.47066666666666396,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,11,0 days 00:01:21.514000,HARD,10.0,True,0 days 01:51:29.459000,9,0 days 00:00:21.533000,0 days 00:00:38.313000,0 days 00:00:21.668000,1,81.514,6689.459,0.4750000000003638,True,False,False,10.0,0.0,0.0,0.0,0.0,21.533,38.313,21.668,0,0,0,0.0,82.0862,0.7717883129459634,-0.7413950048244276,0,0,81.562,80.821,-0.7409999999999997,0.02599999999999625,-0.04800000000000182,-0.1169999999999997,0.0,0.16999999999999815,0.2237565641495262,-0.1169999999999997,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,12,0 days 00:01:20.821000,HARD,11.0,True,0 days 01:52:50.280000,9,0 days 00:00:21.144000,0 days 00:00:38.254000,0 days 00:00:21.423000,1,80.821,6770.28,0.943000000000211,True,False,False,11.0,0.0,0.0,0.0,0.0,21.144,38.254,21.423,0,0,0,0.0,81.7058,0.23353415167802305,-3.788739221404693,1,0,81.514,81.42,-0.09399999999999409,0.0,-0.6929999999999978,-0.00733333333333519,0.0,-0.07500000000000284,0.2540399574870078,-0.00733333333333519,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,13,0 days 00:01:21.420000,HARD,12.0,True,0 days 01:54:11.700000,9,0 days 00:00:21.388000,0 days 00:00:38,0 days 00:00:22.032000,1,81.42,6851.7,1.0529999999998836,True,False,False,12.0,0.0,0.0,0.0,0.0,21.388,38.0,22.032,0,0,0,0.0,81.48740000000001,0.42414596544111166,-0.15890755893412864,0,1,80.821,80.591,-0.23000000000000398,0.0,0.5990000000000038,-0.39433333333333564,0.0,0.6090000000000018,0.1205748730042871,-0.39433333333333564,0,0,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,14,0 days 00:01:20.591000,HARD,13.0,True,0 days 01:55:32.291000,9,0 days 00:00:21.387000,0 days 00:00:37.838000,0 days 00:00:21.366000,1,80.591,6932.291,0.3819999999996071,True,False,False,13.0,0.0,0.0,0.0,0.0,21.387,37.838,21.366,0,0,0,0.0,81.4642,0.4239955188442115,-2.0594557281650205,1,0,81.42,80.591,-0.8290000000000077,0.5990000000000038,-0.8290000000000077,-0.04733333333333197,0.0,-0.05699999999999861,0.28824000416319784,-0.04733333333333197,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,15,0 days 00:01:20.591000,HARD,14.0,True,0 days 01:56:52.882000,9,0 days 00:00:21.041000,0 days 00:00:37.916000,0 days 00:00:21.634000,1,80.591,7012.882,0.8569999999999709,True,False,False,14.0,0.0,0.0,0.0,0.0,21.041,37.916,21.634,0,0,0,0.0,81.1816,0.44465413525566766,-1.3282233384840227,0,1,80.591,80.793,0.2020000000000124,0.0,0.0,-0.30766666666666725,0.0,0.2680000000000007,0.302007119121388,-0.30766666666666725,0,1,2024,Monaco Grand Prix,2024_Monaco Grand Prix
ALB,16,0 days 00:01:20.793000,HARD,15.0,True,0 days 01:58:13.675000,9,0 days 00:00:21.381000,0 days 00:00:38.071000,0 days 00:00:21.341000,1,80.793,7093.675,1.1179999999994834,True,False,False,15.0,0.0,0.0,0.0,0.0,21.381,38.071,21.341,0,0,0,0.0,80.9874,0.44900033407555806,-0.4329618159421541,0,0,80.591,81.137,0.5460000000000065,0.0,0.2020000000000124,-0.07666666666666799,0.0,-0.02499999999999858,0.27974720731403313,-0.07666666666666799,0,0,2024,Monaco Grand Prix,2024_Monaco Grand Prix
