Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:40.750000,MEDIUM,2.0,True,0 days 01:00:32.772000,15,0 days 00:00:29.598000,0 days 00:00:42.998000,0 days 00:00:28.154000,1,100.75,3632.772,0.7449999999998909,False,True,False,2.0,0.0,0.0,0.0,0.0,29.598,42.998,28.154,0,0,0,0.0,,,0.0,0,0,100.75,99.762,-0.9879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,3,0 days 00:01:39.762000,MEDIUM,3.0,True,0 days 01:02:12.534000,15,0 days 00:00:29.259000,0 days 00:00:42.539000,0 days 00:00:27.964000,1,99.762,3732.534,1.0399999999999636,False,True,False,3.0,0.0,0.0,0.0,0.0,29.259,42.539,27.964,0,0,0,0.0,,,0.0,0,0,100.75,99.285,-1.4650000000000034,0.0,-0.9879999999999995,0.0,0.0,0.0,0.0,0.0,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,4,0 days 00:01:39.285000,MEDIUM,4.0,True,0 days 01:03:51.819000,15,0 days 00:00:29.108000,0 days 00:00:42.303000,0 days 00:00:27.874000,1,99.285,3831.819,1.300000000000182,False,True,False,4.0,0.0,0.0,0.0,0.0,29.108,42.303,27.874,0,0,0,0.0,,,0.0,0,0,99.762,99.252,-0.5100000000000051,0.0,-0.47700000000000387,-0.4939999999999998,0.0,-0.08999999999999986,0.0,0.0,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,5,0 days 00:01:39.252000,MEDIUM,5.0,True,0 days 01:05:31.071000,15,0 days 00:00:29.368000,0 days 00:00:42.028000,0 days 00:00:27.856000,1,99.252,3931.071,1.6330000000002656,False,True,False,5.0,0.0,0.0,0.0,0.0,29.368,42.028,27.856,0,0,0,0.0,99.93233333333335,0.7472056834187863,-0.9105034241984543,0,0,99.285,99.267,-0.018000000000000682,0.0,-0.03300000000000125,-0.48833333333333445,0.0,-0.01799999999999713,0.051961524227066236,-0.7325000000000017,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,6,0 days 00:01:39.267000,MEDIUM,6.0,True,0 days 01:07:10.338000,15,0 days 00:00:29.047000,0 days 00:00:42.338000,0 days 00:00:27.882000,1,99.267,4030.338,1.5889999999999418,False,True,False,6.0,0.0,0.0,0.0,0.0,29.047,42.338,27.882,0,0,0,0.0,99.76225,0.6985157478539779,-0.709003342475149,0,0,99.252,99.039,-0.21299999999999386,0.0,0.015000000000000568,-0.4993333333333349,0.0,0.0259999999999998,0.04284857057125723,-0.4993333333333349,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,7,0 days 00:01:39.039000,MEDIUM,7.0,True,0 days 01:08:49.377000,15,0 days 00:00:29.115000,0 days 00:00:42.037000,0 days 00:00:27.887000,1,99.039,4129.377,2.1479999999992287,False,True,False,7.0,0.0,0.0,0.0,0.0,29.115,42.037,27.887,0,0,0,0.0,99.66319999999999,0.6442031511875741,-0.9689490013348878,0,0,99.267,99.316,0.049000000000006594,0.015000000000000568,-0.22799999999999443,-0.1650000000000015,0.0,0.030999999999998806,0.044031806685622024,-0.1650000000000015,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,8,0 days 00:01:39.316000,MEDIUM,8.0,True,0 days 01:10:28.693000,15,0 days 00:00:28.937000,0 days 00:00:42.166000,0 days 00:00:28.213000,1,99.316,4228.693,2.4470000000001164,False,True,False,8.0,0.0,0.0,0.0,0.0,28.937,42.166,28.213,0,0,0,0.0,99.321,0.26597838258021655,-0.01879852020863951,0,0,99.039,99.767,0.7279999999999944,0.0,0.277000000000001,-0.08199999999999837,0.0,0.3569999999999993,0.048838509395762224,-0.08199999999999837,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,9,0 days 00:01:39.767000,MEDIUM,9.0,True,0 days 01:12:08.460000,15,0 days 00:00:29.275000,0 days 00:00:42.130000,0 days 00:00:28.362000,1,99.767,4328.46,2.2780000000002474,False,True,False,9.0,0.0,0.0,0.0,0.0,29.275,42.13,28.362,0,0,0,0.0,99.23179999999999,0.11038432859778712,4.8485143389342715,0,0,99.316,99.896,0.5799999999999983,0.277000000000001,0.4509999999999934,0.02133333333333572,0.0,0.4799999999999969,0.17232440337920743,0.02133333333333572,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,10,0 days 00:01:39.896000,MEDIUM,10.0,True,0 days 01:13:48.356000,15,0 days 00:00:29.241000,0 days 00:00:42.267000,0 days 00:00:28.388000,1,99.896,4428.356,4.704000000000633,False,True,False,10.0,0.0,0.0,0.0,0.0,29.241,42.267,28.388,0,0,0,0.0,99.32820000000001,0.26734004563474534,2.12388682231225,0,0,99.767,96.888,-2.8789999999999907,0.7279999999999944,0.1290000000000049,0.16666666666666666,0.0,0.5010000000000012,0.22712045262371083,0.16666666666666666,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
ALB,13,0 days 00:01:36.888000,HARD,2.0,True,0 days 01:19:09.936000,19,0 days 00:00:28.928000,0 days 00:00:40.666000,0 days 00:00:27.294000,1,96.888,4749.936,6.195999999999913,True,False,False,2.0,0.0,0.0,0.0,0.0,28.928,40.666,27.294,0,0,0,0.0,99.45700000000001,0.36039076014791827,-7.128373654600873,1,0,99.896,98.74,-1.156000000000006,0.8569999999999993,-3.0079999999999956,0.28566666666666646,0.0,-0.9190000000000005,0.23520310372101802,0.28566666666666646,0,0,2024,Singapore Grand Prix,2024_Singapore Grand Prix
