Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,8,0 days 00:01:38.281000,INTERMEDIATE,6.0,True,0 days 01:29:48.597000,15.9,7,19.1,0 days 00:00:35.515000,0 days 00:00:20.233000,0 days 00:00:42.533000,1,98.281,5388.597,0.6980000000003201,False,True,False,6.0,0.0,0.0,35.515,20.233,42.533,0,0,0,0.0,,,0.0,0,0,98.281,96.3,-1.9810000000000088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,9,0 days 00:01:36.300000,INTERMEDIATE,7.0,True,0 days 01:31:24.897000,15.9,7,19.1,0 days 00:00:34.639000,0 days 00:00:19.865000,0 days 00:00:41.796000,1,96.3,5484.897,0.6400000000003274,False,True,False,7.0,0.0,0.0,34.639,19.865,41.796,0,0,0,0.0,,,0.0,0,0,98.281,94.494,-3.787000000000006,0.0,-1.9810000000000088,0.0,0.0,0.0,0.0,0.0,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,10,0 days 00:01:34.494000,INTERMEDIATE,8.0,True,0 days 01:32:59.391000,15.9,7,19.1,0 days 00:00:33.776000,0 days 00:00:19.742000,0 days 00:00:40.976000,1,94.494,5579.391,1.2530000000006112,False,True,False,8.0,0.0,0.0,33.776,19.742,40.976,0,0,0,0.0,,,0.0,0,0,96.3,94.206,-2.093999999999994,0.0,-1.8059999999999974,-0.9905000000000044,0.0,-0.8200000000000003,0.0,0.0,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,11,0 days 00:01:34.206000,INTERMEDIATE,9.0,True,0 days 01:34:33.597000,16.0,7,19.1,0 days 00:00:33.540000,0 days 00:00:19.704000,0 days 00:00:40.962000,1,94.206,5673.597,1.3460000000004584,False,True,False,9.0,0.0,0.0,33.54,19.704,40.962,0,0,0,0.0,96.35833333333333,1.8941737864655817,-1.1362913734274933,0,0,94.494,93.713,-0.7810000000000059,0.0,-0.2879999999999967,-1.2623333333333353,0.0,-0.013999999999995794,0.4734272207354933,-1.893500000000003,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,12,0 days 00:01:33.713000,INTERMEDIATE,10.0,True,0 days 01:36:07.310000,15.9,7,19.3,0 days 00:00:33.608000,0 days 00:00:19.618000,0 days 00:00:40.487000,1,93.713,5767.31,0.88799999999992,False,True,False,10.0,0.0,0.0,33.608,19.618,40.487,0,0,0,0.0,95.82025,1.8841614182442052,-1.1184020538769401,0,0,94.206,93.153,-1.0529999999999973,0.0,-0.4930000000000092,-1.3583333333333343,0.0,-0.4750000000000014,0.4077200837175762,-1.3583333333333343,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,13,0 days 00:01:33.153000,INTERMEDIATE,11.0,True,0 days 01:37:40.463000,16.0,7,19.3,0 days 00:00:32.977000,0 days 00:00:19.626000,0 days 00:00:40.550000,1,93.153,5860.463,0.7520000000004075,False,True,False,11.0,0.0,0.0,32.977,19.626,40.55,0,0,0,0.0,95.39880000000001,1.8843165073840473,-1.1918379906981733,0,0,93.713,92.717,-0.9959999999999951,0.0,-0.5599999999999881,-0.8623333333333344,0.0,0.06299999999999528,0.37266768038025616,-0.8623333333333344,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,14,0 days 00:01:32.717000,INTERMEDIATE,12.0,True,0 days 01:39:13.180000,16.0,7,19.3,0 days 00:00:32.616000,0 days 00:00:19.518000,0 days 00:00:40.583000,1,92.717,5953.18,1.0270000000000437,False,True,False,12.0,0.0,0.0,32.616,19.518,40.583,0,0,0,0.0,94.3732,1.1916227171382667,-1.3898694412082324,0,0,93.153,92.733,-0.4200000000000017,0.0,-0.43600000000000705,-0.446999999999998,0.0,0.09599999999999653,0.38460590219080104,-0.446999999999998,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,15,0 days 00:01:32.733000,INTERMEDIATE,13.0,True,0 days 01:40:45.913000,16.0,7,19.3,0 days 00:00:32.697000,0 days 00:00:19.708000,0 days 00:00:40.328000,1,92.733,6045.913,1.0570000000006985,False,True,False,13.0,0.0,0.0,32.697,19.708,40.328,0,0,0,0.0,93.6566,0.7319018376804244,-1.261917858994735,0,0,92.717,92.464,-0.2530000000000001,0.0,0.016000000000005343,-0.4963333333333348,0.0,-0.15899999999999892,0.4021523343212115,-0.4963333333333348,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,16,0 days 00:01:32.464000,INTERMEDIATE,14.0,True,0 days 01:42:18.377000,16.0,7,19.3,0 days 00:00:32.739000,0 days 00:00:19.550000,0 days 00:00:40.175000,1,92.464,6138.377,1.3419999999996435,False,True,False,14.0,0.0,0.0,32.739,19.55,40.175,0,0,0,0.0,93.30440000000002,0.6469727969551576,-1.298972698628418,0,0,92.733,93.088,0.35499999999998977,0.016000000000005343,-0.26900000000000546,-0.3266666666666633,0.0,-0.1530000000000058,0.2326278143301005,-0.3266666666666633,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,17,0 days 00:01:33.088000,INTERMEDIATE,15.0,True,0 days 01:43:51.465000,16.0,7,19.4,0 days 00:00:32.561000,0 days 00:00:19.584000,0 days 00:00:40.943000,1,93.088,6231.465,1.0839999999998327,False,True,False,15.0,0.0,0.0,32.561,19.584,40.943,0,0,0,0.0,92.95599999999999,0.49009488877153357,0.26933559811422386,0,0,92.464,92.981,0.5169999999999959,0.0,0.6239999999999952,-0.22966666666666904,0.0,0.7680000000000007,0.2283764436188625,-0.22966666666666904,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,18,0 days 00:01:32.981000,INTERMEDIATE,16.0,True,0 days 01:45:24.446000,16.0,7,19.4,0 days 00:00:32.835000,0 days 00:00:19.417000,0 days 00:00:40.729000,1,92.981,6324.446,0.9800000000004729,False,True,False,16.0,0.0,0.0,32.835,19.417,40.729,0,0,0,0.0,92.831,0.28592918703760245,0.5246054156068545,0,0,93.088,93.051,-0.03699999999999193,0.6239999999999952,-0.10699999999999932,0.12366666666666504,0.0,0.554000000000002,0.37949110661516305,0.12366666666666504,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,19,0 days 00:01:33.051000,INTERMEDIATE,17.0,True,0 days 01:46:57.497000,16.0,7,19.4,0 days 00:00:33.147000,0 days 00:00:19.406000,0 days 00:00:40.498000,1,93.051,6417.497,0.8429999999998472,False,True,False,17.0,0.0,0.0,33.147,19.406,40.498,0,0,0,0.0,92.7966,0.24490875852035826,1.0387541937535758,0,0,92.981,92.356,-0.625,0.5169999999999959,0.07000000000000739,0.08266666666666349,0.0,0.3230000000000004,0.42130713262417196,0.08266666666666349,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,20,0 days 00:01:32.356000,INTERMEDIATE,18.0,True,0 days 01:48:29.853000,16.0,7,19.4,0 days 00:00:32.781000,0 days 00:00:19.214000,0 days 00:00:40.361000,1,92.356,6509.853,0.8279999999995198,False,True,False,18.0,0.0,0.0,32.781,19.214,40.361,0,0,0,0.0,92.86339999999998,0.2626752748166147,-1.9316625835995733,1,0,93.051,92.036,-1.0150000000000006,0.5870000000000033,-0.6950000000000074,0.19566666666666777,0.0,-0.13700000000000045,0.4166476929013305,0.19566666666666777,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,21,0 days 00:01:32.036000,INTERMEDIATE,19.0,True,0 days 01:50:01.889000,16.0,7,19.2,0 days 00:00:32.606000,0 days 00:00:19.344000,0 days 00:00:40.086000,1,92.036,6601.889,0.8710000000000946,False,True,False,19.0,0.0,0.0,32.606,19.344,40.086,0,0,0,0.0,92.78799999999998,0.34929142560329957,-2.1529300317095372,1,1,92.356,92.053,-0.30299999999999727,0.0,-0.3199999999999932,-0.24399999999999977,0.0,-0.2749999999999986,0.41110886636024013,-0.24399999999999977,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,22,0 days 00:01:32.053000,INTERMEDIATE,20.0,True,0 days 01:51:33.942000,15.9,7,19.2,0 days 00:00:32.520000,0 days 00:00:19.255000,0 days 00:00:40.278000,1,92.053,6693.942,0.8590000000003783,False,True,False,20.0,0.0,0.0,32.52,19.255,40.278,0,0,0,0.0,92.7024,0.47746968490154884,-1.3600863479613414,0,1,92.036,91.75,-0.28600000000000136,0.0,0.016999999999995907,-0.3149999999999977,0.0,0.19200000000000017,0.44480478864328815,-0.3149999999999977,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,23,0 days 00:01:31.750000,INTERMEDIATE,21.0,True,0 days 01:53:05.692000,15.9,7,19.2,0 days 00:00:32.667000,0 days 00:00:19.169000,0 days 00:00:39.914000,1,91.75,6785.692,0.8800000000001091,False,True,False,21.0,0.0,0.0,32.667,19.169,39.914,0,0,0,0.0,92.49539999999999,0.49261983313705854,-1.5131343682474137,1,0,92.053,91.868,-0.18500000000000227,0.016999999999995907,-0.30299999999999727,-0.3326666666666682,0.0,-0.17199999999999704,0.33770297600110105,-0.3326666666666682,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,24,0 days 00:01:31.868000,INTERMEDIATE,22.0,True,0 days 01:54:37.560000,15.8,7,19.2,0 days 00:00:32.559000,0 days 00:00:19.139000,0 days 00:00:40.170000,1,91.868,6877.56,0.863999999999578,False,True,False,22.0,0.0,0.0,32.559,19.139,40.17,0,0,0,0.0,92.2492,0.4968497760892948,-0.7672339172625426,0,1,91.75,91.014,-0.7360000000000042,0.0,0.117999999999995,-0.20199999999999818,0.0,0.2560000000000002,0.25701108925491856,-0.20199999999999818,0,1,2025,Australian Grand Prix,0.0,14,0.0
