Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,4,0 days 00:01:11.975000,MEDIUM,4.0,True,0 days 01:17:39.487000,30.7,7,49.8,0 days 00:00:17.779000,0 days 00:00:32.085000,0 days 00:00:22.111000,1,71.975,4659.487,0.5,False,True,False,4.0,0.0,0.0,17.779,32.085,22.111,0,0,0,0.0,,,0.0,0,0,71.975,71.163,-0.8119999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,5,0 days 00:01:11.163000,MEDIUM,5.0,True,0 days 01:18:50.650000,30.8,7,49.8,0 days 00:00:17.486000,0 days 00:00:31.667000,0 days 00:00:22.010000,1,71.163,4730.65,0.6210000000000946,False,True,False,5.0,0.0,0.0,17.486,31.667,22.01,0,0,0,0.0,,,0.0,0,0,71.975,70.881,-1.093999999999994,0.0,-0.8119999999999976,0.0,0.0,0.0,0.0,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,6,0 days 00:01:10.881000,MEDIUM,6.0,True,0 days 01:20:01.531000,30.6,7,50.3,0 days 00:00:17.279000,0 days 00:00:31.668000,0 days 00:00:21.934000,1,70.881,4801.531,0.6729999999997744,False,True,False,6.0,0.0,0.0,17.279,31.668,21.934,0,0,0,0.0,,,0.0,0,0,71.163,71.009,-0.15399999999999636,0.0,-0.2819999999999965,-0.4059999999999988,0.0,-0.07600000000000051,0.0,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,7,0 days 00:01:11.009000,MEDIUM,7.0,True,0 days 01:21:12.540000,30.6,7,50.4,0 days 00:00:17.349000,0 days 00:00:31.712000,0 days 00:00:21.948000,1,71.009,4872.54,0.6099999999996726,False,True,False,7.0,0.0,0.0,17.349,31.712,21.948,0,0,0,0.0,71.33966666666667,0.5679941314250738,-0.5821656393474416,0,0,70.881,70.85,-0.03100000000000591,0.0,0.1280000000000001,-0.3646666666666647,0.0,0.013999999999999346,0.04387862045841186,-0.546999999999997,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,8,0 days 00:01:10.850000,MEDIUM,8.0,True,0 days 01:22:23.390000,30.6,7,50.3,0 days 00:00:17.387000,0 days 00:00:31.684000,0 days 00:00:21.779000,1,70.85,4943.39,0.7289999999993597,False,True,False,8.0,0.0,0.0,17.387,31.684,21.779,0,0,0,0.0,71.257,0.4923548855585019,-0.8266395072699054,0,0,71.009,70.641,-0.367999999999995,0.1280000000000001,-0.15900000000000603,-0.321999999999998,0.0,-0.15500000000000114,0.04086971168644747,-0.321999999999998,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,9,0 days 00:01:10.641000,MEDIUM,9.0,True,0 days 01:23:34.031000,30.7,6,50.3,0 days 00:00:17.434000,0 days 00:00:31.467000,0 days 00:00:21.740000,1,70.641,5014.031,0.8850000000002183,False,True,False,9.0,0.0,0.0,17.434,31.467,21.74,0,0,0,0.0,71.1756,0.46361600490060006,-1.1531094577173118,0,0,70.85,71.401,0.5510000000000019,0.0,-0.20899999999998897,-0.10433333333333412,0.0,-0.03900000000000148,0.07172726120520742,-0.10433333333333412,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALB,10,0 days 00:01:11.401000,MEDIUM,10.0,True,0 days 01:24:45.432000,30.8,6,49.9,0 days 00:00:17.896000,0 days 00:00:31.655000,0 days 00:00:21.850000,1,71.401,5085.432,1.0590000000001965,False,True,False,10.0,0.0,0.0,17.896,31.655,21.85,0,0,0,0.0,70.90880000000001,0.19403917130308937,2.5366012269304417,0,0,70.641,71.541,0.8999999999999915,0.0,0.7599999999999909,-0.0799999999999983,0.0,0.11000000000000298,0.06784320157539762,-0.0799999999999983,0,0,2025,Austrian Grand Prix,0.0,10,0.0
ALB,11,0 days 00:01:11.541000,MEDIUM,11.0,True,0 days 01:25:56.973000,30.6,6,49.2,0 days 00:00:17.902000,0 days 00:00:31.777000,0 days 00:00:21.862000,1,71.541,5156.973,1.0399999999999636,False,True,False,11.0,0.0,0.0,17.902,31.777,21.862,0,0,0,0.0,70.9564,0.2814778854545969,2.0768949541305695,0,0,71.401,71.316,-0.08499999999999375,0.7599999999999909,0.14000000000000057,0.1306666666666653,0.0,0.12199999999999989,0.09919022129222359,0.1306666666666653,0,0,2025,Austrian Grand Prix,0.0,10,0.0
ALO,4,0 days 00:01:12.463000,MEDIUM,5.0,True,0 days 01:17:41.176000,30.7,10,49.8,0 days 00:00:17.816000,0 days 00:00:32.506000,0 days 00:00:22.141000,1,72.463,4661.176,0.4279999999998836,False,True,False,5.0,0.0,0.0,17.816,32.506,22.141,0,0,0,0.0,71.1498,0.38487621386621673,3.4120061273946747,0,0,72.463,71.38,-1.0829999999999984,1.8219999999999885,0.0,0.22499999999999906,0.0,0.3289999999999971,0.11757338134118768,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALO,5,0 days 00:01:11.380000,MEDIUM,6.0,True,0 days 01:18:52.556000,30.8,10,49.8,0 days 00:00:17.609000,0 days 00:00:31.894000,0 days 00:00:21.877000,1,71.38,4732.556,0.7319999999999709,False,True,False,6.0,0.0,0.0,17.609,31.894,21.877,0,0,0,0.0,,,0.0,0,0,72.463,71.395,-1.0679999999999978,0.0,-1.0829999999999984,0.0,0.0,0.0,0.0,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALO,6,0 days 00:01:11.395000,MEDIUM,7.0,True,0 days 01:20:03.951000,30.6,10,50.3,0 days 00:00:17.352000,0 days 00:00:31.868000,0 days 00:00:22.175000,1,71.395,4803.951,0.7229999999999563,False,True,False,7.0,0.0,0.0,17.352,31.868,22.175,0,0,0,0.0,,,0.0,0,0,71.38,70.81,-0.5699999999999932,0.0,0.015000000000000568,-0.5414999999999992,0.0,0.2980000000000018,0.0,0.0,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALO,7,0 days 00:01:10.810000,MEDIUM,8.0,True,0 days 01:21:14.761000,30.6,10,50.4,0 days 00:00:17.338000,0 days 00:00:31.616000,0 days 00:00:21.856000,1,70.81,4874.761,0.7199999999993452,False,True,False,8.0,0.0,0.0,17.338,31.616,21.856,0,0,0,0.0,71.746,0.6209855070772575,-1.50728155380854,1,0,71.395,71.085,-0.3100000000000023,0.015000000000000568,-0.5849999999999937,-0.35599999999999926,0.0,-0.020999999999997243,0.18166177363441052,-0.5339999999999989,0,1,2025,Austrian Grand Prix,0.0,10,0.0
ALO,8,0 days 00:01:11.085000,MEDIUM,9.0,True,0 days 01:22:25.846000,30.6,10,50.3,0 days 00:00:17.437000,0 days 00:00:31.912000,0 days 00:00:21.736000,1,71.085,4945.846,0.6940000000004147,False,True,False,9.0,0.0,0.0,17.437,31.912,21.736,0,0,0,0.0,71.512,0.6900043478123865,-0.6188366803104679,0,1,70.81,70.906,0.09600000000000364,0.0,0.2749999999999915,-0.5509999999999972,0.0,-0.120000000000001,0.18768501982488153,-0.5509999999999972,0,1,2025,Austrian Grand Prix,0.0,10,0.0
