Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,5,0 days 00:01:54.475000,MEDIUM,4.0,True,0 days 01:10:11.008000,18,0 days 00:00:43.080000,0 days 00:00:46.175000,0 days 00:00:25.220000,1,114.475,4211.008,0.7600000000002183,False,True,4.0,0.0,0.0,0.0,0.0,43.08,46.175,25.22,0,0,0,0.0,,,0.0,0,0,114.475,109.715,-4.759999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,6,0 days 00:01:49.715000,MEDIUM,5.0,True,0 days 01:12:00.723000,18,0 days 00:00:39.847000,0 days 00:00:44.787000,0 days 00:00:25.081000,1,109.715,4320.723,1.1790000000000873,False,True,5.0,0.0,0.0,0.0,0.0,39.847,44.787,25.081,0,0,0,0.0,,,0.0,0,0,114.475,109.081,-5.393999999999991,0.0,-4.759999999999991,0.0,0.0,0.0,0.0,0.0,0,0,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,7,0 days 00:01:49.081000,MEDIUM,6.0,True,0 days 01:13:49.804000,18,0 days 00:00:39.137000,0 days 00:00:44.727000,0 days 00:00:25.217000,12,109.081,4429.804,0.9139999999997599,False,True,6.0,0.0,0.0,0.0,0.0,39.137,44.727,25.217,0,0,1,0.0,,,0.0,0,0,109.715,108.295,-1.4200000000000017,0.0,-0.6340000000000003,-2.3799999999999955,0.0,0.13599999999999923,0.0,0.0,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,8,0 days 00:01:48.295000,MEDIUM,7.0,True,0 days 01:15:38.099000,18,0 days 00:00:38.904000,0 days 00:00:44.434000,0 days 00:00:24.957000,1,108.295,4538.099,0.9780000000000655,False,True,7.0,0.0,0.0,0.0,0.0,38.904,44.434,24.957,0,0,0,0.0,111.09033333333333,2.948298718470247,-0.9481174060896099,0,0,109.081,107.98,-1.100999999999999,0.0,-0.7860000000000014,-1.7979999999999972,0.0,-0.12399999999999878,0.07851963660978865,-2.6969999999999956,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,9,0 days 00:01:47.980000,MEDIUM,8.0,True,0 days 01:17:26.079000,18,0 days 00:00:38.696000,0 days 00:00:44.140000,0 days 00:00:25.144000,1,107.98,4646.079,0.8590000000003783,False,True,8.0,0.0,0.0,0.0,0.0,38.696,44.14,25.144,0,0,0,0.0,110.39150000000001,2.7836035996527926,-0.8663230642110096,0,0,108.295,107.648,-0.6470000000000056,0.0,-0.3149999999999977,-2.0599999999999974,0.0,0.1869999999999976,0.10620106716350121,-2.0599999999999974,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,10,0 days 00:01:47.648000,MEDIUM,9.0,True,0 days 01:19:13.727000,18,0 days 00:00:38.453000,0 days 00:00:44.016000,0 days 00:00:25.179000,1,107.648,4753.727,0.7719999999999345,False,True,9.0,0.0,0.0,0.0,0.0,38.453,44.016,25.179,0,0,0,0.0,109.90920000000001,2.6409095402909952,-0.8562201641146938,0,0,107.98,107.833,-0.14700000000000557,0.0,-0.33200000000000784,-0.5783333333333331,0.0,0.22199999999999775,0.12341069645699147,-0.5783333333333331,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,11,0 days 00:01:47.833000,MEDIUM,10.0,True,0 days 01:21:01.560000,18,0 days 00:00:38.596000,0 days 00:00:44.131000,0 days 00:00:25.106000,1,107.833,4861.56,0.8109999999996944,False,True,10.0,0.0,0.0,0.0,0.0,38.596,44.131,25.106,0,0,0,0.0,108.54379999999999,0.8429891458376338,-0.8431899787911354,0,0,107.648,107.914,0.26600000000000534,0.0,0.18500000000000227,-0.47766666666666896,0.0,0.1490000000000009,0.14376786845467096,-0.47766666666666896,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,12,0 days 00:01:47.914000,MEDIUM,11.0,True,0 days 01:22:49.474000,18,0 days 00:00:38.620000,0 days 00:00:44.215000,0 days 00:00:25.079000,1,107.914,4969.474,0.863999999999578,False,True,11.0,0.0,0.0,0.0,0.0,38.62,44.215,25.079,0,0,0,0.0,108.1674,0.5629531952126012,-0.450126231016953,0,0,107.833,108.058,0.22500000000000853,0.18500000000000227,0.08100000000000307,-0.1540000000000011,0.0,-0.027000000000001023,0.1372461292714649,-0.1540000000000011,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,13,0 days 00:01:48.058000,MEDIUM,12.0,True,0 days 01:24:37.532000,18,0 days 00:00:38.860000,0 days 00:00:44.110000,0 days 00:00:25.088000,1,108.058,5077.532,0.8760000000002037,False,True,12.0,0.0,0.0,0.0,0.0,38.86,44.11,25.088,0,0,0,0.0,107.934,0.23708331868793486,0.5230228794090176,0,0,107.914,107.566,-0.347999999999999,0.26600000000000534,0.14400000000000546,-0.022000000000000835,0.0,0.009000000000000341,0.14952357673624475,-0.022000000000000835,0,1,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,14,0 days 00:01:47.566000,MEDIUM,13.0,True,0 days 01:26:25.098000,18,0 days 00:00:38.715000,0 days 00:00:43.910000,0 days 00:00:24.941000,1,107.566,5185.098,1.01299999999992,False,True,13.0,0.0,0.0,0.0,0.0,38.715,43.91,24.941,0,0,0,0.0,107.8866,0.157047126685229,-2.041425441947629,1,0,108.058,108.449,0.39099999999999113,0.4100000000000108,-0.49200000000000443,0.13666666666667027,0.0,-0.13800000000000168,0.11061645447219796,0.13666666666667027,0,0,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,17,0 days 00:01:48.449000,HARD,2.0,True,0 days 01:32:07.455000,18,0 days 00:00:38.769000,0 days 00:00:44.249000,0 days 00:00:25.431000,12,108.449,5527.455,0.0,True,False,2.0,0.0,0.0,0.0,0.0,38.769,44.249,25.431,0,0,1,0.0,107.8038,0.19902060194886828,3.2418754324025474,0,1,107.566,106.205,-1.3610000000000042,0.0,0.8829999999999956,-0.08899999999999864,0.0,0.490000000000002,0.14326025268719872,-0.08899999999999864,0,0,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,18,0 days 00:01:46.205000,HARD,3.0,True,0 days 01:33:53.660000,18,0 days 00:00:37.574000,0 days 00:00:43.130000,0 days 00:00:25.501000,12,106.205,5633.66,12.046000000000276,True,False,3.0,0.0,0.0,0.0,0.0,37.574,43.13,25.501,0,0,1,0.0,107.96399999999998,0.3248561219987737,-5.414704790469137,1,0,108.449,105.861,-2.587999999999994,0.8829999999999956,-2.2439999999999998,0.1783333333333322,0.0,0.5600000000000023,0.2426402687106999,0.1783333333333322,0,0,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
ALB,19,0 days 00:01:45.861000,HARD,4.0,True,0 days 01:35:39.521000,18,0 days 00:00:37.537000,0 days 00:00:42.845000,0 days 00:00:25.479000,1,105.861,5739.521,13.126000000000204,True,False,4.0,0.0,0.0,0.0,0.0,37.537,42.845,25.479,0,0,0,0.0,107.6384,0.8615348512974375,-2.0630622166048256,1,1,106.205,105.586,-0.6189999999999998,0.0,-0.3439999999999941,-0.6176666666666696,0.0,0.5380000000000003,0.32160021766161956,-0.6176666666666696,0,0,2025,Azerbaijan Grand Prix,2025_Azerbaijan Grand Prix
