Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:39.821000,SOFT,2.0,True,0 days 00:59:01.584000,27.1,14,31.8,0 days 00:00:31.871000,0 days 00:00:43.578000,0 days 00:00:24.372000,1,99.821,3541.584,0.6890000000003056,False,False,True,2.0,0.0,0.0,31.871,43.578,24.372,0,0,0,0.0,,,0.0,0,0,99.821,98.699,-1.1219999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,3,0 days 00:01:38.699000,SOFT,3.0,True,0 days 01:00:40.283000,27.1,13,31.9,0 days 00:00:31.043000,0 days 00:00:43.288000,0 days 00:00:24.368000,1,98.699,3640.283,1.16800000000012,False,False,True,3.0,0.0,0.0,31.043,43.288,24.368,0,0,0,0.0,,,0.0,0,0,99.821,99.056,-0.7650000000000006,0.0,-1.1219999999999999,0.0,0.0,0.0,0.0,0.0,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,4,0 days 00:01:39.056000,SOFT,4.0,True,0 days 01:02:19.339000,27.0,13,31.6,0 days 00:00:31.340000,0 days 00:00:43.310000,0 days 00:00:24.406000,1,99.056,3739.339,1.4299999999998363,False,False,True,4.0,0.0,0.0,31.34,43.31,24.406,0,0,0,0.0,,,0.0,0,0,98.699,99.257,0.5580000000000069,0.0,0.3569999999999993,-0.5609999999999999,0.0,0.038000000000000256,0.0,0.0,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,5,0 days 00:01:39.257000,SOFT,5.0,True,0 days 01:03:58.596000,27.0,13,31.9,0 days 00:00:31.361000,0 days 00:00:43.465000,0 days 00:00:24.431000,1,99.257,3838.596,1.7710000000001855,False,False,True,5.0,0.0,0.0,31.361,43.465,24.431,0,0,0,0.0,99.19200000000001,0.5732303202029662,0.11339246670863971,0,0,99.056,99.263,0.20700000000000784,0.3569999999999993,0.20100000000000762,-0.25500000000000017,0.0,0.06300000000000239,0.02193931022920593,-0.3825000000000003,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,6,0 days 00:01:39.263000,SOFT,6.0,True,0 days 01:05:37.859000,27.0,13,31.9,0 days 00:00:31.431000,0 days 00:00:43.392000,0 days 00:00:24.440000,1,99.263,3937.859,1.8110000000001492,False,False,True,6.0,0.0,0.0,31.431,43.392,24.44,0,0,0,0.0,99.20824999999999,0.46916761397180556,0.11669603435863524,0,0,99.257,99.565,0.3079999999999927,0.5580000000000069,0.006000000000000227,-0.18799999999999764,0.0,0.07200000000000273,0.030890937182287984,-0.18799999999999764,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,7,0 days 00:01:39.565000,SOFT,7.0,True,0 days 01:07:17.424000,27.0,13,32.0,0 days 00:00:31.535000,0 days 00:00:43.606000,0 days 00:00:24.424000,1,99.565,4037.424,1.7530000000001564,False,False,True,7.0,0.0,0.0,31.535,43.606,24.424,0,0,0,0.0,99.2192,0.4070481543994495,0.8495309369727599,0,0,99.263,99.918,0.6550000000000011,0.5640000000000072,0.3019999999999925,0.1880000000000024,0.0,0.018000000000000682,0.033952908564658865,0.1880000000000024,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,8,0 days 00:01:39.918000,SOFT,8.0,True,0 days 01:08:57.342000,27.0,12,32.0,0 days 00:00:31.565000,0 days 00:00:43.680000,0 days 00:00:24.673000,1,99.918,4137.342,1.5340000000005602,False,False,True,8.0,0.0,0.0,31.565,43.68,24.673,0,0,0,0.0,99.16799999999999,0.31900626953086536,2.351050971828778,0,0,99.565,99.735,0.1700000000000017,0.8659999999999997,0.35300000000000864,0.16966666666666677,0.0,0.24899999999999878,0.030103155980728477,0.16966666666666677,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,9,0 days 00:01:39.735000,SOFT,9.0,True,0 days 01:10:37.077000,27.0,11,31.9,0 days 00:00:31.550000,0 days 00:00:43.603000,0 days 00:00:24.582000,1,99.735,4237.077,2.082999999999629,False,False,True,9.0,0.0,0.0,31.55,43.603,24.582,0,0,0,0.0,99.4118,0.33630596188590517,0.9610296474900093,0,0,99.918,100.089,0.17099999999999227,0.862000000000009,-0.18300000000000693,0.2203333333333338,0.0,0.15800000000000125,0.09246891369535937,0.2203333333333338,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,10,0 days 00:01:40.089000,SOFT,10.0,True,0 days 01:12:17.166000,27.0,11,31.7,0 days 00:00:31.741000,0 days 00:00:43.819000,0 days 00:00:24.529000,1,100.089,4337.166,1.832999999999629,False,False,True,10.0,0.0,0.0,31.741,43.819,24.529,0,0,0,0.0,99.54760000000002,0.29071601263088986,1.8622985197838928,0,0,99.735,99.843,0.10800000000000409,0.47799999999999443,0.3539999999999992,0.1573333333333314,0.0,0.10500000000000043,0.09181775427443103,0.1573333333333314,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
ALB,11,0 days 00:01:39.843000,SOFT,11.0,True,0 days 01:13:57.009000,26.9,8,31.5,0 days 00:00:31.566000,0 days 00:00:43.642000,0 days 00:00:24.635000,1,99.843,4437.009,1.780999999999949,False,False,True,11.0,0.0,0.0,31.566,43.642,24.635,0,0,0,0.0,99.714,0.3194855239287132,0.4037741629532756,0,0,100.089,99.94,-0.1490000000000009,0.8259999999999934,-0.2459999999999951,0.17466666666666697,0.0,0.10600000000000165,0.0880585032804887,0.17466666666666697,0,0,2025,Bahrain Grand Prix,0.0,15,0.0
