Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,8,0 days 00:01:46.496000,INTERMEDIATE,8.0,True,0 days 01:12:17.756000,19.2,8,24.8,0 days 00:00:32.551000,0 days 00:00:43.511000,0 days 00:00:30.434000,1,106.496,4337.756,1.819999999999709,False,True,False,False,8.0,0.0,0.0,32.551,43.511,30.434,0,0,0,0.0,,,0.0,0,0,106.496,108.888,2.39200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,9,0 days 00:01:48.888000,INTERMEDIATE,9.0,True,0 days 01:14:06.644000,19.2,9,24.3,0 days 00:00:33.399000,0 days 00:00:44.888000,0 days 00:00:30.601000,1,108.888,4446.644,1.931999999999789,False,True,False,False,9.0,0.0,0.0,33.399,44.888,30.601,0,0,0,0.0,,,0.0,0,0,106.496,109.218,2.7220000000000084,0.0,2.39200000000001,0.0,0.0,0.0,0.0,0.0,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,10,0 days 00:01:49.218000,INTERMEDIATE,10.0,True,0 days 01:15:55.862000,19.0,9,24.0,0 days 00:00:33.367000,0 days 00:00:45.322000,0 days 00:00:30.529000,1,109.218,4555.862,2.7969999999995707,False,True,False,False,10.0,0.0,0.0,33.367,45.322,30.529,0,0,0,0.0,,,0.0,0,0,108.888,111.991,3.1029999999999944,0.0,0.3299999999999983,1.196000000000005,0.0,0.09499999999999886,0.0,0.0,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,11,0 days 00:01:51.991000,INTERMEDIATE,11.0,True,0 days 01:17:47.853000,18.9,8,23.3,0 days 00:00:33.505000,0 days 00:00:47.734000,0 days 00:00:30.752000,1,111.991,4667.853,6.41399999999976,False,True,False,False,11.0,0.0,0.0,33.505,47.734,30.752,0,0,0,0.0,108.20066666666666,1.4854768033642698,2.5515937541058107,0,0,109.218,111.437,2.218999999999994,2.7220000000000084,2.772999999999996,0.9073333333333361,0.0,0.31799999999999784,0.05484827557301379,1.3610000000000042,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,22,0 days 00:01:51.437000,INTERMEDIATE,10.0,True,0 days 01:44:04.750000,17.0,11,22.9,0 days 00:00:35.598000,0 days 00:00:46.426000,0 days 00:00:29.413000,12,111.437,6244.75,0.9210000000002765,False,True,False,False,10.0,0.0,0.0,35.598,46.426,29.413,0,0,1,0.0,109.14825,2.250055758568362,1.0171970144669886,0,0,111.991,106.294,-5.697000000000003,5.4950000000000045,-0.554000000000002,1.831666666666668,0.0,-1.1159999999999997,0.15000749981250835,1.831666666666668,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,23,0 days 00:01:46.294000,INTERMEDIATE,11.0,True,0 days 01:45:51.044000,17.0,11,22.9,0 days 00:00:33.421000,0 days 00:00:44.013000,0 days 00:00:28.860000,1,106.294,6351.044,0.9180000000005748,False,True,False,False,11.0,0.0,0.0,33.421,44.013,28.86,0,0,0,0.0,109.606,2.201076668360277,-1.5047181443558342,1,0,111.437,104.946,-6.491,4.9410000000000025,-5.143000000000001,0.8496666666666641,0.0,-0.5530000000000008,0.5605272517906683,0.8496666666666641,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,24,0 days 00:01:44.946000,INTERMEDIATE,12.0,True,0 days 01:47:35.990000,17.1,11,22.9,0 days 00:00:32.786000,0 days 00:00:43.512000,0 days 00:00:28.648000,1,104.946,6455.99,0.7930000000005748,False,True,False,False,12.0,0.0,0.0,32.786,43.512,28.648,0,0,0,0.0,109.56559999999999,2.273105650866226,-2.0322856521163337,1,1,106.294,104.01,-2.283999999999992,0.0,-1.347999999999999,-0.9746666666666689,0.0,-0.21199999999999974,0.5800661169211655,-0.9746666666666689,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,25,0 days 00:01:44.010000,INTERMEDIATE,13.0,True,0 days 01:49:20,17.1,11,22.7,0 days 00:00:32.533000,0 days 00:00:43.110000,0 days 00:00:28.367000,1,104.01,6560.0,1.0339999999996508,False,True,False,False,13.0,0.0,0.0,32.533,43.11,28.367,0,0,0,0.0,108.7772,3.1000696282503024,-1.537771912139478,1,1,104.946,104.357,-0.5889999999999986,0.0,-0.9359999999999928,-2.348333333333334,0.0,-0.2809999999999988,0.564657683911234,-2.348333333333334,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,26,0 days 00:01:44.357000,INTERMEDIATE,14.0,True,0 days 01:51:04.357000,17.1,11,22.5,0 days 00:00:32.748000,0 days 00:00:43.096000,0 days 00:00:28.513000,1,104.357,6664.357,0.806999999999789,False,True,False,False,14.0,0.0,0.0,32.748,43.096,28.513,0,0,0,0.0,107.7356,3.7265589086984696,-0.9066272888142828,0,1,104.01,104.082,0.07199999999998852,0.0,0.3469999999999942,-2.475666666666664,0.0,0.1460000000000008,0.5235042502215234,-2.475666666666664,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,27,0 days 00:01:44.082000,INTERMEDIATE,15.0,True,0 days 01:52:48.439000,17.2,11,22.6,0 days 00:00:32.502000,0 days 00:00:43.084000,0 days 00:00:28.496000,1,104.082,6768.439,0.6030000000000655,False,True,False,False,15.0,0.0,0.0,32.502,43.084,28.496,0,0,0,0.0,106.2088,3.049585332467334,-0.6974062923759109,0,0,104.357,104.367,0.010000000000005116,0.3469999999999942,-0.2750000000000057,-0.6456666666666658,0.0,0.12899999999999778,0.4700092552280224,-0.6456666666666658,0,1,2025,British Grand Prix,0.0,18,0.0
