Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:17.145000,MEDIUM,2.0,True,0 days 00:59:15.975000,20.7,10,28.9,0 days 00:00:26.674000,0 days 00:00:27.716000,0 days 00:00:22.755000,1,77.145,3555.975,0.4980000000000473,False,True,False,2.0,0.0,0.0,26.674,27.716,22.755,0,0,0,0.0,,,0.0,0,0,77.145,76.823,-0.32200000000000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,3,0 days 00:01:16.823000,MEDIUM,3.0,True,0 days 01:00:32.798000,20.7,10,28.8,0 days 00:00:26.172000,0 days 00:00:27.707000,0 days 00:00:22.944000,1,76.823,3632.798,0.512000000000171,False,True,False,3.0,0.0,0.0,26.172,27.707,22.944,0,0,0,0.0,,,0.0,0,0,77.145,76.89,-0.25499999999999545,0.0,-0.32200000000000273,0.0,0.0,0.0,0.0,0.0,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,4,0 days 00:01:16.890000,MEDIUM,4.0,True,0 days 01:01:49.688000,20.7,10,27.8,0 days 00:00:26.231000,0 days 00:00:27.822000,0 days 00:00:22.837000,1,76.89,3709.688,0.650000000000091,False,True,False,4.0,0.0,0.0,26.231,27.822,22.837,0,0,0,0.0,,,0.0,0,0,76.823,77.083,0.2600000000000051,0.0,0.06700000000000728,-0.16100000000000136,0.0,0.08200000000000074,0.0,0.0,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,5,0 days 00:01:17.083000,MEDIUM,5.0,True,0 days 01:03:06.771000,20.7,10,27.5,0 days 00:00:26.243000,0 days 00:00:27.911000,0 days 00:00:22.929000,1,77.083,3786.771,0.4849999999996726,False,True,False,5.0,0.0,0.0,26.243,27.911,22.929,0,0,0,0.0,76.95266666666667,0.16990095153745663,0.7671136162212261,0,0,76.89,76.633,-0.257000000000005,0.06700000000000728,0.19299999999999784,-0.08499999999999848,0.0,0.1739999999999995,0.04734272207354973,-0.12749999999999773,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,6,0 days 00:01:16.633000,MEDIUM,6.0,True,0 days 01:04:23.404000,20.6,10,27.5,0 days 00:00:26.107000,0 days 00:00:27.639000,0 days 00:00:22.887000,1,76.633,3863.404,0.5480000000002292,False,True,False,6.0,0.0,0.0,26.107,27.639,22.887,0,0,0,0.0,76.98525,0.15326746773750452,-2.2982698494326494,1,0,77.083,76.57,-0.5130000000000052,0.2600000000000051,-0.45000000000000284,-0.020666666666665872,0.0,0.05000000000000071,0.08289752710425065,-0.020666666666665872,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,7,0 days 00:01:16.570000,MEDIUM,7.0,True,0 days 01:05:39.974000,20.6,10,27.7,0 days 00:00:25.968000,0 days 00:00:27.756000,0 days 00:00:22.846000,1,76.57,3939.974,0.6140000000000327,False,True,False,7.0,0.0,0.0,25.968,27.756,22.846,0,0,0,0.0,76.91479999999999,0.20599563102163224,-1.6738219072412448,1,1,76.633,76.641,0.008000000000009777,0.0,-0.06300000000000239,-0.06333333333333258,0.0,0.009000000000000341,0.0720638605682486,-0.06333333333333258,0,1,2025,Dutch Grand Prix,0.0,14,0.0
ALB,8,0 days 00:01:16.641000,MEDIUM,8.0,True,0 days 01:06:56.615000,20.5,10,27.5,0 days 00:00:25.917000,0 days 00:00:27.836000,0 days 00:00:22.888000,1,76.641,4016.615,1.0070000000000618,False,True,False,8.0,0.0,0.0,25.917,27.836,22.888,0,0,0,0.0,76.7998,0.20585601764340142,-0.7714129604658153,0,1,76.57,76.511,-0.0589999999999975,0.0,0.07100000000001216,-0.10666666666666913,0.0,0.04200000000000159,0.07024243731534352,-0.10666666666666913,0,0,2025,Dutch Grand Prix,0.0,14,0.0
ALB,9,0 days 00:01:16.511000,MEDIUM,9.0,True,0 days 01:08:13.126000,20.6,10,27.8,0 days 00:00:25.871000,0 days 00:00:27.799000,0 days 00:00:22.841000,1,76.511,4093.126,1.231999999999971,False,True,False,9.0,0.0,0.0,25.871,27.799,22.841,0,0,0,0.0,76.7634,0.2165416818998112,-1.1655954538895112,0,0,76.641,76.635,-0.006000000000000227,0.07100000000001216,-0.13000000000000966,-0.147333333333331,0.0,-0.004999999999999005,0.06295871663240869,-0.147333333333331,0,0,2025,Dutch Grand Prix,0.0,14,0.0
ALB,10,0 days 00:01:16.635000,MEDIUM,10.0,True,0 days 01:09:29.761000,20.6,10,27.7,0 days 00:00:25.857000,0 days 00:00:27.893000,0 days 00:00:22.885000,1,76.635,4169.761,1.38799999999992,False,True,False,10.0,0.0,0.0,25.857,27.893,22.885,0,0,0,0.0,76.6876,0.2272175169303585,-0.23149623634044003,0,0,76.511,76.61,0.09900000000000375,0.0,0.12400000000000944,-0.04066666666666663,0.0,0.04400000000000048,0.07082725464113318,-0.04066666666666663,0,0,2025,Dutch Grand Prix,0.0,14,0.0
ALB,11,0 days 00:01:16.610000,MEDIUM,11.0,True,0 days 01:10:46.371000,20.6,10,27.7,0 days 00:00:25.795000,0 days 00:00:27.961000,0 days 00:00:22.854000,1,76.61,4246.371,1.5869999999995343,False,True,False,11.0,0.0,0.0,25.795,27.961,22.854,0,0,0,0.0,76.598,0.056559702969481755,0.21216518775700366,0,0,76.635,76.614,-0.021000000000000796,0.12400000000000944,-0.025000000000005684,0.021666666666670647,0.0,0.012999999999998124,0.02442334948363969,0.021666666666670647,0,0,2025,Dutch Grand Prix,0.0,14,0.0
