Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,2,0 days 00:01:25.762000,HARD,2.0,True,0 days 01:00:48.725000,26.6,13,44.5,0 days 00:00:27.809000,0 days 00:00:29.380000,0 days 00:00:28.573000,1,85.762,3648.725,0.46800000000030195,True,False,False,2.0,0.0,0.0,27.809,29.38,28.573,0,0,0,0.0,,,0.0,0,0,85.762,85.238,-0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,3,0 days 00:01:25.238000,HARD,3.0,True,0 days 01:02:13.963000,26.6,13,44.5,0 days 00:00:27.410000,0 days 00:00:29.424000,0 days 00:00:28.404000,1,85.238,3733.963,0.38499999999976353,True,False,False,3.0,0.0,0.0,27.41,29.424,28.404,0,0,0,0.0,,,0.0,0,0,85.762,85.427,-0.33499999999999375,0.0,-0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,4,0 days 00:01:25.427000,HARD,4.0,True,0 days 01:03:39.390000,26.6,13,44.4,0 days 00:00:27.608000,0 days 00:00:29.388000,0 days 00:00:28.431000,1,85.427,3819.39,0.3930000000000291,True,False,False,4.0,0.0,0.0,27.608,29.388,28.431,0,0,0,0.0,,,0.0,0,0,85.238,84.598,-0.6400000000000006,0.0,0.18900000000000716,-0.26200000000000045,0.0,0.027000000000001023,0.0,0.0,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,5,0 days 00:01:24.598000,HARD,5.0,True,0 days 01:05:03.988000,26.6,13,44.2,0 days 00:00:27.170000,0 days 00:00:29.072000,0 days 00:00:28.356000,1,84.598,3903.988,0.4800000000000182,True,False,False,5.0,0.0,0.0,27.17,29.072,28.356,0,0,0,0.0,85.47566666666667,0.2653682975287991,-3.3073531195693078,1,0,85.427,84.743,-0.6840000000000117,0.18900000000000716,-0.8290000000000077,-0.11166666666666458,0.0,-0.047999999999998266,0.015588457268120486,-0.16749999999999687,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,6,0 days 00:01:24.743000,HARD,6.0,True,0 days 01:06:28.731000,26.6,13,44.2,0 days 00:00:27.261000,0 days 00:00:29.151000,0 days 00:00:28.331000,1,84.743,3988.731,0.38699999999971624,True,False,False,6.0,0.0,0.0,27.261,29.151,28.331,0,0,0,0.0,85.25625,0.48940942301240237,-1.0487129504798947,0,1,84.598,84.736,0.13800000000000523,0.0,0.14499999999999602,-0.3880000000000005,0.0,-0.02500000000000213,0.03121297807002678,-0.3880000000000005,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,7,0 days 00:01:24.736000,HARD,7.0,True,0 days 01:07:53.467000,26.7,13,44.4,0 days 00:00:27.422000,0 days 00:00:29.028000,0 days 00:00:28.286000,1,84.736,4073.467,0.500999999999749,True,False,False,7.0,0.0,0.0,27.422,29.028,28.286,0,0,0,0.0,85.15360000000001,0.48200238588621086,-0.8663857529090999,0,0,84.743,84.553,-0.18999999999999773,0.14499999999999602,-0.006999999999990791,-0.1650000000000015,0.0,-0.04499999999999815,0.02843765109849971,-0.1650000000000015,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,8,0 days 00:01:24.553000,HARD,8.0,True,0 days 01:09:18.020000,26.8,13,44.4,0 days 00:00:27.502000,0 days 00:00:28.825000,0 days 00:00:28.226000,1,84.553,4158.02,0.5559999999995853,True,False,False,8.0,0.0,0.0,27.502,28.825,28.226,0,0,0,0.0,84.9484,0.3615968749864918,-1.09348290140721,0,0,84.736,84.647,-0.08899999999999864,0.13800000000000523,-0.18300000000000693,-0.23033333333333417,0.0,-0.060000000000002274,0.0317285360519514,-0.23033333333333417,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,9,0 days 00:01:24.647000,HARD,9.0,True,0 days 01:10:42.667000,26.8,13,44.3,0 days 00:00:27.329000,0 days 00:00:29.057000,0 days 00:00:28.261000,1,84.647,4242.667,0.5659999999998035,True,False,False,9.0,0.0,0.0,27.329,29.057,28.261,0,0,0,0.0,84.8114,0.3541317551420578,-0.46423399656450604,0,0,84.553,84.453,-0.09999999999999432,0.0,0.0940000000000083,-0.015000000000000568,0.0,0.03500000000000014,0.03436131545793945,-0.015000000000000568,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,10,0 days 00:01:24.453000,HARD,10.0,True,0 days 01:12:07.120000,27.0,13,44.3,0 days 00:00:27.291000,0 days 00:00:28.873000,0 days 00:00:28.289000,1,84.453,4327.12,0.5789999999997235,True,False,False,10.0,0.0,0.0,27.291,28.873,28.289,0,0,0,0.0,84.6554,0.08369767021840012,-2.4182274067110363,1,0,84.647,84.514,-0.13300000000000978,0.0940000000000083,-0.19400000000000261,-0.031999999999996476,0.0,0.06300000000000239,0.03771339284657381,-0.031999999999996476,0,1,2025,Italian Grand Prix,0.0,11,0.0
ALB,11,0 days 00:01:24.514000,HARD,11.0,True,0 days 01:13:31.634000,27.0,13,43.9,0 days 00:00:27.301000,0 days 00:00:28.943000,0 days 00:00:28.270000,1,84.514,4411.634,0.5540000000000873,True,False,False,11.0,0.0,0.0,27.301,28.943,28.27,0,0,0,0.0,84.62639999999999,0.12398306335942352,-0.9065754382447326,0,1,84.453,84.559,0.10599999999999454,0.0,0.06099999999999284,-0.09433333333333375,0.0,0.04400000000000048,0.053007546632532716,-0.09433333333333375,0,1,2025,Italian Grand Prix,0.0,11,0.0
