Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,4,0 days 00:01:39.850000,HARD,4.0,True,0 days 01:05:20.523000,13,0 days 00:00:29.071000,0 days 00:00:33.185000,0 days 00:00:37.594000,1,99.85,3920.523,2.7359999999998763,True,False,4.0,0.0,0.0,0.0,0.0,29.071,33.185,37.594,0,0,0,0.0,,,0.0,0,0,99.85,98.697,-1.1529999999999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,5,0 days 00:01:38.697000,HARD,5.0,True,0 days 01:06:59.220000,13,0 days 00:00:28.823000,0 days 00:00:32.986000,0 days 00:00:36.888000,1,98.697,4019.22,3.287000000000262,True,False,5.0,0.0,0.0,0.0,0.0,28.823,32.986,36.888,0,0,0,0.0,,,0.0,0,0,99.85,97.614,-2.23599999999999,0.0,-1.1529999999999916,0.0,0.0,0.0,0.0,0.0,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,6,0 days 00:01:37.614000,HARD,6.0,True,0 days 01:08:36.834000,13,0 days 00:00:28.178000,0 days 00:00:32.738000,0 days 00:00:36.698000,1,97.614,4116.834,4.694000000000415,True,False,6.0,0.0,0.0,0.0,0.0,28.178,32.738,36.698,0,0,0,0.0,,,0.0,0,0,98.697,97.269,-1.4279999999999973,0.0,-1.0829999999999984,-0.5764999999999958,0.0,-0.18999999999999773,0.0,0.0,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,7,0 days 00:01:37.269000,HARD,7.0,True,0 days 01:10:14.103000,13,0 days 00:00:28.019000,0 days 00:00:32.740000,0 days 00:00:36.510000,1,97.269,4214.103,5.981999999999971,True,False,7.0,0.0,0.0,0.0,0.0,28.019,32.74,36.51,0,0,0,0.0,98.72033333333333,1.1181826028575645,-1.2979394685844492,0,0,97.614,97.757,0.14300000000000068,0.0,-0.34499999999999886,-0.74533333333333,0.0,-0.1880000000000024,0.10969655114602758,-1.117999999999995,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,8,0 days 00:01:37.757000,HARD,8.0,True,0 days 01:11:51.860000,13,0 days 00:00:28.099000,0 days 00:00:33.094000,0 days 00:00:36.564000,1,97.757,4311.86,7.068000000000211,True,False,8.0,0.0,0.0,0.0,0.0,28.099,33.094,36.564,0,0,0,0.0,98.3575,1.1662534029961003,-0.5148966755057817,0,0,97.269,97.576,0.30699999999998795,0.0,0.48799999999999955,-0.8603333333333296,0.0,0.054000000000002046,0.10912225559741089,-0.8603333333333296,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,9,0 days 00:01:37.576000,HARD,9.0,True,0 days 01:13:29.436000,13,0 days 00:00:28.087000,0 days 00:00:33.087000,0 days 00:00:36.402000,1,97.576,4409.436,7.954000000000633,True,False,9.0,0.0,0.0,0.0,0.0,28.087,33.087,36.402,0,0,0,0.0,98.23740000000001,1.0450982250487217,-0.6328591745232183,0,0,97.757,98.0,0.242999999999995,0.48799999999999955,-0.1810000000000116,-0.3133333333333326,0.0,-0.10799999999999699,0.11550411248089881,-0.3133333333333326,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,10,0 days 00:01:38,HARD,10.0,True,0 days 01:15:07.436000,13,0 days 00:00:28.529000,0 days 00:00:32.950000,0 days 00:00:36.521000,1,98.0,4507.436,8.21600000000035,True,False,10.0,0.0,0.0,0.0,0.0,28.529,32.95,36.521,0,0,0,0.0,97.7826,0.5412201954842445,0.4016849367667888,0,0,97.576,97.353,-0.22299999999999898,0.30699999999998795,0.4240000000000066,-0.012666666666670304,0.0,0.11899999999999977,0.11033947616333926,-0.012666666666670304,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,11,0 days 00:01:37.353000,HARD,11.0,True,0 days 01:16:44.789000,13,0 days 00:00:27.956000,0 days 00:00:32.954000,0 days 00:00:36.443000,1,97.353,4604.789,7.751000000000204,True,False,11.0,0.0,0.0,0.0,0.0,27.956,32.954,36.443,0,0,0,0.0,97.64320000000001,0.26723154753883854,-1.0859496293484443,0,0,98.0,97.328,-0.671999999999997,0.7309999999999945,-0.6470000000000056,0.24366666666666484,0.0,0.04099999999999682,0.14194294628476625,0.24366666666666484,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,12,0 days 00:01:37.328000,HARD,12.0,True,0 days 01:18:22.117000,13,0 days 00:00:28.088000,0 days 00:00:32.919000,0 days 00:00:36.321000,1,97.328,4702.117,6.71599999999944,True,False,12.0,0.0,0.0,0.0,0.0,28.088,32.919,36.321,0,0,0,0.0,97.591,0.2980729776413895,-0.8823342594859617,0,0,97.353,97.202,-0.15099999999999625,0.08399999999998897,-0.024999999999991473,-0.13466666666667018,0.0,-0.08100000000000307,0.12690665861175304,-0.13466666666667018,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,16,0 days 00:01:37.202000,HARD,2.0,True,0 days 01:26:09.219000,18,0 days 00:00:28.279000,0 days 00:00:32.152000,0 days 00:00:36.771000,1,97.202,5169.219,0.0,True,False,2.0,0.0,0.0,0.0,0.0,28.279,32.152,36.771,0,0,0,0.0,97.6028,0.28292172062251436,-1.4166462692158142,0,0,97.328,96.408,-0.9200000000000017,0.0,-0.12600000000000477,-0.08266666666666349,0.0,0.45000000000000284,0.09599218718208237,-0.08266666666666349,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
ALB,17,0 days 00:01:36.408000,HARD,3.0,True,0 days 01:27:45.627000,18,0 days 00:00:27.491000,0 days 00:00:32.201000,0 days 00:00:36.716000,1,96.408,5265.627,0.0,True,False,3.0,0.0,0.0,0.0,0.0,27.491,32.201,36.716,0,0,0,0.0,97.4918,0.31441882895272666,-3.4469945823853556,1,0,97.202,96.073,-1.1290000000000049,0.0,-0.7939999999999969,-0.2660000000000006,0.0,0.3950000000000031,0.22423135373983843,-0.2660000000000006,0,0,2025,Las Vegas Grand Prix,2025_Las Vegas Grand Prix
