Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,2,0 days 00:01:27.272000,HARD,2.0,True,0 days 01:00:09.932000,17,0 days 00:00:30.266000,0 days 00:00:33.966000,0 days 00:00:23.040000,1,87.272,3609.932,0.8480000000004111,True,False,False,2.0,0.0,0.0,0.0,0.0,30.266,33.966,23.04,0,0,0,0.0,,,0.0,0,0,87.272,84.528,-2.7439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,3,0 days 00:01:24.528000,HARD,3.0,True,0 days 01:01:34.460000,16,0 days 00:00:29.643000,0 days 00:00:33.185000,0 days 00:00:21.700000,12,84.528,3694.46,1.094000000000051,True,False,False,3.0,0.0,0.0,0.0,0.0,29.643,33.185,21.7,0,0,1,0.0,,,0.0,0,0,87.272,83.64,-3.632000000000005,0.0,-2.7439999999999998,0.0,0.0,0.0,0.0,0.0,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,4,0 days 00:01:23.640000,HARD,4.0,True,0 days 01:02:58.100000,16,0 days 00:00:29.096000,0 days 00:00:32.858000,0 days 00:00:21.686000,1,83.64,3778.1,0.9700000000002547,True,False,False,4.0,0.0,0.0,0.0,0.0,29.096,32.858,21.686,0,0,0,0.0,,,0.0,0,0,84.528,84.138,-0.39000000000000057,0.0,-0.8880000000000052,-1.3719999999999999,0.0,-0.013999999999999346,0.0,0.0,0,1,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,5,0 days 00:01:24.138000,HARD,5.0,True,0 days 01:04:22.238000,15,0 days 00:00:29.475000,0 days 00:00:33.060000,0 days 00:00:21.603000,1,84.138,3862.238,1.0570000000002437,True,False,False,5.0,0.0,0.0,0.0,0.0,29.475,33.06,21.603,0,0,0,0.0,85.14666666666666,1.893387792644007,-0.5327311555432134,0,0,83.64,83.463,-0.1770000000000067,0.0,0.49800000000000466,-1.2106666666666683,0.0,-0.08299999999999841,0.008082903768654384,-1.8160000000000025,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,6,0 days 00:01:23.463000,HARD,6.0,True,0 days 01:05:45.701000,15,0 days 00:00:29.280000,0 days 00:00:32.652000,0 days 00:00:21.531000,12,83.463,3945.701,0.7480000000000473,True,False,False,6.0,0.0,0.0,0.0,0.0,29.28,32.652,21.531,0,0,1,0.0,84.89450000000001,1.626129453641379,-0.880311218024166,0,0,84.138,83.573,-0.5650000000000119,0.49800000000000466,-0.6750000000000114,-1.0446666666666669,0.0,-0.07200000000000273,0.039718803271665624,-1.0446666666666669,0,1,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,7,0 days 00:01:23.573000,HARD,7.0,True,0 days 01:07:09.274000,15,0 days 00:00:29.391000,0 days 00:00:32.652000,0 days 00:00:21.530000,1,83.573,4029.274,0.5599999999999454,True,False,False,7.0,0.0,0.0,0.0,0.0,29.391,32.652,21.53,0,0,0,0.0,84.6082,1.5469522293852573,-0.6691867921554248,0,0,83.463,85.288,1.8250000000000028,0.0,0.10999999999999943,-0.355000000000004,0.0,-0.0009999999999976694,0.04048703496182475,-0.355000000000004,0,1,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,8,0 days 00:01:25.288000,HARD,8.0,True,0 days 01:08:34.562000,16,0 days 00:00:30.013000,0 days 00:00:33.306000,0 days 00:00:21.969000,1,85.288,4114.562,3.199000000000524,True,False,False,8.0,0.0,0.0,0.0,0.0,30.013,33.306,21.969,0,0,0,0.0,83.8684,0.4504256875446068,3.151685259645446,0,0,83.573,84.233,0.6600000000000108,0.10999999999999943,1.7150000000000034,-0.02233333333333576,0.0,0.43900000000000006,0.04028026812224638,-0.02233333333333576,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,9,0 days 00:01:24.233000,HARD,9.0,True,0 days 01:09:58.795000,16,0 days 00:00:29.129000,0 days 00:00:33.292000,0 days 00:00:21.812000,1,84.233,4198.795,2.618999999999687,True,False,False,9.0,0.0,0.0,0.0,0.0,29.129,33.292,21.812,0,0,0,0.0,84.0204,0.7543548899556658,0.28183021390966756,0,0,85.288,84.264,-1.024000000000001,1.8250000000000028,-1.0549999999999926,0.3833333333333305,0.0,0.28200000000000003,0.2182422965421689,0.3833333333333305,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,10,0 days 00:01:24.264000,HARD,10.0,True,0 days 01:11:23.059000,16,0 days 00:00:29.445000,0 days 00:00:33,0 days 00:00:21.819000,1,84.264,4283.059,2.5900000000001455,True,False,False,10.0,0.0,0.0,0.0,0.0,29.445,33.0,21.819,0,0,0,0.0,84.139,0.7256669346194727,0.17225533373040877,0,0,84.233,84.141,-0.09199999999999875,0.7700000000000102,0.0309999999999917,0.2566666666666701,0.0,0.2889999999999979,0.2347732949038284,0.2566666666666701,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
ALB,11,0 days 00:01:24.141000,HARD,11.0,True,0 days 01:12:47.200000,16,0 days 00:00:29.373000,0 days 00:00:32.914000,0 days 00:00:21.854000,1,84.141,4367.2,1.7160000000003492,True,False,False,11.0,0.0,0.0,0.0,0.0,29.373,32.914,21.854,0,0,0,0.0,84.1642,0.727808147797221,-0.031876532394155686,0,0,84.264,84.024,-0.23999999999999488,0.8010000000000019,-0.12299999999999045,0.23033333333333417,0.0,0.04199999999999804,0.2152656498375903,0.23033333333333417,0,0,2025,Mexico City Grand Prix,2025_Mexico City Grand Prix
