Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_nan,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,4,0 days 00:01:33.079000,nan,,True,0 days 01:04:24.629000,26.5,6,38.6,0 days 00:00:31.543000,0 days 00:00:35.543000,0 days 00:00:25.993000,1,93.079,3864.629,0.5540000000000873,False,False,True,0.0,0.0,0.0,31.543,35.543,25.993,0,0,0,0.0,,,0.0,0,0,93.079,93.836,0.757000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,5,0 days 00:01:33.836000,nan,,True,0 days 01:05:58.465000,26.4,7,38.4,0 days 00:00:32.120000,0 days 00:00:35.883000,0 days 00:00:25.833000,1,93.836,3958.465,0.7239999999997053,False,False,True,0.0,0.0,0.0,32.12,35.883,25.833,0,0,0,0.0,,,0.0,0,0,93.079,93.206,0.12700000000000955,0.0,0.757000000000005,0.0,0.0,0.0,0.0,0.0,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,6,0 days 00:01:33.206000,nan,,True,0 days 01:07:31.671000,26.5,7,38.5,0 days 00:00:31.905000,0 days 00:00:35.236000,0 days 00:00:26.065000,1,93.206,4051.671,0.8810000000003129,False,False,True,0.0,0.0,0.0,31.905,35.236,26.065,0,0,0,0.0,,,0.0,0,0,93.836,92.982,-0.8539999999999992,0.0,-0.6299999999999955,0.3785000000000025,0.0,0.23200000000000287,0.0,0.0,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,7,0 days 00:01:32.982000,nan,,True,0 days 01:09:04.653000,26.6,7,38.9,0 days 00:00:31.891000,0 days 00:00:35.159000,0 days 00:00:25.932000,1,92.982,4144.653,0.9459999999999127,False,False,True,0.0,0.0,0.0,31.891,35.159,25.932,0,0,0,0.0,93.37366666666667,0.4053965137163047,-0.9661323011296366,0,0,93.206,93.117,-0.08899999999999864,0.12700000000000955,-0.22400000000000375,0.04233333333333652,0.0,0.0990000000000002,0.1339452624519948,0.06350000000000477,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,8,0 days 00:01:33.117000,nan,,True,0 days 01:10:37.770000,26.6,7,38.9,0 days 00:00:32.060000,0 days 00:00:35.217000,0 days 00:00:25.840000,1,93.117,4237.77,1.2439999999996871,False,False,True,0.0,0.0,0.0,32.06,35.217,25.84,0,0,0,0.0,93.27575,0.3845970835389517,-0.41276964073472916,0,0,92.982,93.014,0.031999999999996476,0.0,0.13500000000000512,-0.0323333333333314,0.0,0.0070000000000014495,0.10990109189630595,-0.0323333333333314,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,9,0 days 00:01:33.014000,nan,,True,0 days 01:12:10.784000,26.7,7,39.0,0 days 00:00:32.176000,0 days 00:00:35.046000,0 days 00:00:25.792000,1,93.014,4330.784,1.26299999999992,False,False,True,0.0,0.0,0.0,32.176,35.046,25.792,0,0,0,0.0,93.244,0.3405532263831901,-0.675371666399097,0,0,93.117,92.834,-0.28300000000000125,0.13500000000000512,-0.10300000000000864,-0.2396666666666647,0.0,-0.047999999999998266,0.10102623421666371,-0.2396666666666647,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,10,0 days 00:01:32.834000,nan,,True,0 days 01:13:43.618000,26.7,7,38.9,0 days 00:00:31.880000,0 days 00:00:35.097000,0 days 00:00:25.857000,1,92.834,4423.618,1.2789999999995416,False,False,True,0.0,0.0,0.0,31.88,35.097,25.857,0,0,0,0.0,93.231,0.34954827992710946,-1.1357515479200095,0,0,93.014,93.569,0.5550000000000068,0.031999999999996476,-0.1799999999999926,-0.06400000000000243,0.0,0.06499999999999773,0.11085801730141183,-0.06400000000000243,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,11,0 days 00:01:33.569000,nan,,True,0 days 01:15:17.187000,26.6,7,38.5,0 days 00:00:32.148000,0 days 00:00:35.443000,0 days 00:00:25.978000,1,93.569,4517.187,1.268000000000029,False,False,True,0.0,0.0,0.0,32.148,35.443,25.978,0,0,0,0.0,93.03059999999999,0.14099574461666445,3.8185549603911655,0,0,92.834,93.515,0.6809999999999974,0.0,0.7349999999999994,-0.04933333333333204,0.0,0.18599999999999994,0.10606366012918887,-0.04933333333333204,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,12,0 days 00:01:33.515000,nan,,True,0 days 01:16:50.702000,26.8,7,38.2,0 days 00:00:31.922000,0 days 00:00:35.733000,0 days 00:00:25.860000,1,93.515,4610.702,0.8490000000001601,False,False,True,0.0,0.0,0.0,31.922,35.733,25.86,0,0,0,0.0,93.1032,0.2794077665348671,1.473831615731452,0,0,93.569,93.031,-0.5379999999999967,0.7349999999999994,-0.054000000000002046,0.15066666666666606,0.0,0.06799999999999784,0.089273176262525,0.15066666666666606,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,13,0 days 00:01:33.031000,nan,,True,0 days 01:18:23.733000,26.7,7,38.2,0 days 00:00:31.919000,0 days 00:00:35.226000,0 days 00:00:25.886000,1,93.031,4703.733,0.9299999999993815,False,False,True,0.0,0.0,0.0,31.919,35.226,25.886,0,0,0,0.0,93.2098,0.32029158590258744,-0.5582413271835843,0,0,93.515,92.701,-0.8140000000000072,0.6809999999999974,-0.48399999999999466,0.1670000000000016,0.0,0.028999999999999915,0.0870936277806812,0.1670000000000016,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,14,0 days 00:01:32.701000,nan,,True,0 days 01:19:56.434000,26.6,6,37.6,0 days 00:00:31.716000,0 days 00:00:35.028000,0 days 00:00:25.957000,1,92.701,4796.434,0.35199999999986176,False,False,True,0.0,0.0,0.0,31.716,35.028,25.957,0,0,0,0.0,93.1926,0.32871918106492554,-1.495501413721608,0,0,93.031,92.968,-0.06300000000000239,0.19700000000000273,-0.3300000000000125,0.06566666666666758,0.0,0.09700000000000131,0.0845428885241088,0.06566666666666758,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,15,0 days 00:01:32.968000,nan,,True,0 days 01:21:29.402000,26.5,6,37.6,0 days 00:00:31.753000,0 days 00:00:35.325000,0 days 00:00:25.890000,1,92.968,4889.402,0.9219999999995707,False,False,True,0.0,0.0,0.0,31.753,35.325,25.89,0,0,0,0.0,93.13000000000001,0.3944629260146005,-0.4106849828366632,0,0,92.701,92.612,-0.08899999999999864,0.0,0.2670000000000101,-0.2893333333333364,0.0,0.030000000000001137,0.059350652902896116,-0.2893333333333364,0,1,2025,Miami Grand Prix,0.0,19,0.0
ALB,16,0 days 00:01:32.612000,nan,,True,0 days 01:23:02.014000,26.6,6,37.7,0 days 00:00:31.539000,0 days 00:00:35.106000,0 days 00:00:25.967000,1,92.612,4982.014,1.2249999999994543,False,False,True,0.0,0.0,0.0,31.539,35.106,25.967,0,0,0,0.0,93.1568,0.37330979092437294,-1.4593777426812191,0,0,92.968,92.506,-0.4620000000000033,0.2670000000000101,-0.35600000000000875,-0.18233333333333235,0.0,0.08099999999999952,0.06471089552772386,-0.18233333333333235,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,17,0 days 00:01:32.506000,nan,,True,0 days 01:24:34.520000,26.5,6,37.6,0 days 00:00:31.540000,0 days 00:00:35.010000,0 days 00:00:25.956000,1,92.506,5074.52,1.5759999999991123,False,False,True,0.0,0.0,0.0,31.54,35.01,25.956,0,0,0,0.0,92.9654,0.3539665238409051,-1.2978628459410066,0,0,92.612,92.648,0.036000000000001364,0.0,-0.10599999999999454,-0.13966666666667038,0.0,0.06599999999999895,0.03053686296920479,-0.13966666666667038,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,18,0 days 00:01:32.648000,nan,,True,0 days 01:26:07.168000,26.8,6,37.8,0 days 00:00:31.453000,0 days 00:00:35.214000,0 days 00:00:25.981000,1,92.648,5167.168,2.1850000000004,False,False,True,0.0,0.0,0.0,31.453,35.214,25.981,0,0,0,0.0,92.7636,0.22723402034032555,-0.5087266414899843,0,0,92.506,92.736,0.23000000000000398,0.0,0.1419999999999959,-0.06499999999999773,0.0,0.09100000000000108,0.03043517701607789,-0.06499999999999773,0,0,2025,Miami Grand Prix,0.0,19,0.0
