Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,4,0 days 00:01:37.386000,MEDIUM,4.0,True,0 days 01:06:20.798000,9,0 days 00:00:36.965000,0 days 00:00:30.153000,0 days 00:00:30.268000,1,97.386,3980.798,0.8810000000003129,False,True,4.0,0.0,0.0,0.0,0.0,36.965,30.153,30.268,0,0,0,0.0,,,0.0,0,0,97.386,95.606,-1.7800000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,5,0 days 00:01:35.606000,MEDIUM,5.0,True,0 days 01:07:56.404000,9,0 days 00:00:36.057000,0 days 00:00:29.838000,0 days 00:00:29.711000,1,95.606,4076.404,0.8989999999998872,False,True,5.0,0.0,0.0,0.0,0.0,36.057,29.838,29.711,0,0,0,0.0,,,0.0,0,0,97.386,95.148,-2.2379999999999995,0.0,-1.7800000000000011,0.0,0.0,0.0,0.0,0.0,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,6,0 days 00:01:35.148000,MEDIUM,6.0,True,0 days 01:09:31.552000,9,0 days 00:00:35.834000,0 days 00:00:29.637000,0 days 00:00:29.677000,1,95.148,4171.552,0.7539999999999054,False,True,6.0,0.0,0.0,0.0,0.0,35.834,29.637,29.677,0,0,0,0.0,,,0.0,0,0,95.606,95.373,-0.23299999999998988,0.0,-0.4579999999999984,-0.8900000000000006,0.0,-0.03399999999999892,0.0,0.0,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,7,0 days 00:01:35.373000,MEDIUM,7.0,True,0 days 01:11:06.925000,9,0 days 00:00:35.779000,0 days 00:00:29.798000,0 days 00:00:29.796000,1,95.373,4266.925,0.7339999999994689,False,True,7.0,0.0,0.0,0.0,0.0,35.779,29.798,29.796,0,0,0,0.0,96.04666666666667,1.18228648530436,-0.5697998539611471,0,0,95.148,95.217,0.06900000000000261,0.0,0.22500000000000853,-0.7459999999999999,0.0,0.11899999999999977,0.019629909152446653,-1.1189999999999998,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,8,0 days 00:01:35.217000,MEDIUM,8.0,True,0 days 01:12:42.142000,9,0 days 00:00:35.612000,0 days 00:00:29.846000,0 days 00:00:29.759000,1,95.217,4362.142,0.7600000000002183,False,True,8.0,0.0,0.0,0.0,0.0,35.612,29.846,29.759,0,0,0,0.0,95.87825,1.022410998571515,-0.6467555620233703,0,0,95.373,94.921,-0.4519999999999982,0.22500000000000853,-0.1560000000000059,-0.670999999999997,0.0,0.08200000000000074,0.06710874259985265,-0.670999999999997,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,9,0 days 00:01:34.921000,MEDIUM,9.0,True,0 days 01:14:17.063000,9,0 days 00:00:35.297000,0 days 00:00:29.763000,0 days 00:00:29.861000,1,94.921,4457.063,0.8009999999994761,False,True,9.0,0.0,0.0,0.0,0.0,35.297,29.763,29.861,0,0,0,0.0,95.74600000000001,0.9335113818267053,-0.8837599798575929,0,0,95.217,94.892,-0.32500000000000284,0.06900000000000261,-0.29599999999999227,-0.12966666666666526,0.0,0.18400000000000105,0.06415450101123048,-0.12966666666666526,0,1,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,10,0 days 00:01:34.892000,MEDIUM,10.0,True,0 days 01:15:51.955000,9,0 days 00:00:35.289000,0 days 00:00:29.728000,0 days 00:00:29.875000,1,94.892,4551.955,1.2950000000000728,False,True,10.0,0.0,0.0,0.0,0.0,35.289,29.728,29.875,0,0,0,0.0,95.25300000000001,0.255711751783175,-1.411745832886555,0,0,94.921,95.004,0.08299999999999841,0.0,-0.029000000000010573,-0.07566666666666322,0.0,0.11599999999999966,0.08839796377745363,-0.07566666666666322,0,0,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,11,0 days 00:01:35.004000,MEDIUM,11.0,True,0 days 01:17:26.959000,9,0 days 00:00:35.478000,0 days 00:00:29.691000,0 days 00:00:29.835000,1,95.004,4646.959,1.4400000000005093,False,True,11.0,0.0,0.0,0.0,0.0,35.478,29.691,29.835,0,0,0,0.0,95.11019999999999,0.20328969477085757,-0.5224071988483855,0,0,94.892,94.904,0.012000000000000455,0.0,0.11200000000000898,-0.16033333333333624,0.0,0.07600000000000051,0.08021097181807467,-0.16033333333333624,0,0,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,12,0 days 00:01:34.904000,MEDIUM,12.0,True,0 days 01:19:01.863000,9,0 days 00:00:35.375000,0 days 00:00:29.693000,0 days 00:00:29.836000,1,94.904,4741.863,1.8659999999999854,False,True,12.0,0.0,0.0,0.0,0.0,35.375,29.693,29.836,0,0,0,0.0,95.0814,0.20676629319120232,-0.8579734987847331,0,0,95.004,94.917,-0.0870000000000033,0.11200000000000898,-0.10000000000000853,-0.07099999999999795,0.0,0.0009999999999976694,0.042974410990728115,-0.07099999999999795,0,0,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
ALB,13,0 days 00:01:34.917000,MEDIUM,13.0,True,0 days 01:20:36.780000,9,0 days 00:00:35.312000,0 days 00:00:29.769000,0 days 00:00:29.836000,1,94.917,4836.78,2.0210000000006403,False,True,13.0,0.0,0.0,0.0,0.0,35.312,29.769,29.836,0,0,0,0.0,94.9876,0.13551494382553161,-0.5209757537212478,0,0,94.904,95.407,0.5030000000000001,0.012000000000000455,0.01300000000000523,-0.005666666666670039,0.0,0.0009999999999976694,0.06647706371373621,-0.005666666666670039,0,0,2025,Saudi Arabian Grand Prix,2025_Saudi Arabian Grand Prix
