Driver,races_used,laps_used,mean_baseline_mae,mean_model_mae,mean_gain,mean_pct_gain
COL,10,544,0.6917423836531981,0.562242202384858,0.12950018126834006,18.720868393870802
HUL,11,573,0.6702145336724867,0.5460046888998971,0.12420984477258967,18.53284859281897
BEA,13,675,0.5835226404149378,0.4659636955381121,0.11755894487682572,20.146423931936997
OCO,13,697,0.5449667125284191,0.42927209750131046,0.11569461502710865,21.22966639381215
BOR,12,654,0.5769636796113458,0.4727008582468942,0.10426282136445159,18.070950572605383
TSU,12,646,0.573429206523227,0.4783091626727059,0.09512004385052114,16.58793147758306
GAS,11,580,0.5299534327562606,0.4362269569136626,0.09372647584259802,17.685794647112942
ALB,10,536,0.5765649880123874,0.48292055672569917,0.09364443128668826,16.241782493507277
ALO,10,516,0.5407808654172908,0.4485301914939338,0.09225067392335695,17.058790320210793
STR,11,592,0.5599566824948957,0.47294050184480607,0.08701618065008965,15.539805733255598
SAI,12,610,0.5898144615212912,0.5035642105620858,0.08625025095920547,14.623285216971912
LAW,12,632,0.4882318366795652,0.40730394942359166,0.08092788725597355,16.57570874655761
HAM,12,642,0.511089371303158,0.43351750873671974,0.07757186256643828,15.177749122163943
HAD,13,696,0.48327813342507125,0.409659842643492,0.07361829078157928,15.233110229886545
ANT,12,625,0.5112758474522027,0.45027757927929546,0.06099826817290721,11.93059841900897
LEC,13,685,0.39789833493587384,0.36041354157499467,0.037484793360879176,9.420696210483088
RUS,12,645,0.4448526642709019,0.41222703410694433,0.032625630163957586,7.334030519392272
PIA,12,654,0.419209271475613,0.3890863953402879,0.030122876135325105,7.185641679463063
VER,12,634,0.392126070832669,0.36206406160247656,0.03006200923019242,7.666414315772621
NOR,13,696,0.4177709834264887,0.3905054762124899,0.02726550721399884,6.526424355844834
