RaceKey,n_samples,baseline_mae,model_mae,mae_gain
2025_Japanese Grand Prix,977,0.35071238485158623,0.31935568677863735,0.031356698072948885
2025_Bahrain Grand Prix,932,0.5588283261802575,0.41207745806946044,0.14675086811079702
2025_Saudi Arabian Grand Prix,792,0.4844911616161613,0.3737468003288253,0.110744361287336
2025_Monaco Grand Prix,1251,0.9844852118305358,0.9779313183639105,0.006553893466625382
2025_Spanish Grand Prix,971,0.6762935118434605,0.5421032725956823,0.1341902392477783
2025_Austrian Grand Prix,993,0.46883081570996976,0.38385598057660764,0.08497483513336213
2025_Hungarian Grand Prix,1269,0.4891055949566587,0.4224749778334704,0.0666306171231883
2025_Dutch Grand Prix,1021,0.4704760039177278,0.41715186278711164,0.053324141130616176
2025_Italian Grand Prix,897,0.37567558528428063,0.3257840884423383,0.04989149684194233
2025_Azerbaijan Grand Prix,836,0.5923875598086122,0.4132874766895073,0.1791000831191049
2025_Mexico City Grand Prix,1133,0.5231747572815535,0.45285357884034183,0.07032117844121166
2025_Las Vegas Grand Prix,742,0.4031576819407013,0.3647102098519579,0.038447472088743384
2025_Abu Dhabi Grand Prix,1062,0.4357269303201509,0.36576123916222064,0.06996569115793028
