column,missing_rate
compound_None,0.9440720262269413
compound_SOFT,0.16132504770758918
LapTime_roll_mean,0.041901127040824646
LapTime_roll_std,0.041901127040824646
compound_MEDIUM,0.01637552804553832
TyreLife,0.010210239598114531
Compound,0.008677072629707556
IsAccurate,0.0
Sector1Time,0.0
Sector2Time,0.0
Time,0.0
Position,0.0
Driver,0.0
LapTimeSec,0.0
TrackStatus,0.0
GapBehindSec,0.0
RaceTimeSec,0.0
compound_HARD,0.0
TyreAge,0.0
AirTemp,0.0
TrackTemp,0.0
GapToLeaderSec,0.0
GapAheadSec,0.0
Sector1Sec,0.0
Sector2Sec,0.0
Sector3Sec,0.0
Sector3Time,0.0
LapTime,0.0
LapNumber,0.0
IsYellow,0.0
