Driver,n,baseline_mae,model_mae,mae_gain
VER,3211,0.4165182186234818,0.37050892071878794,0.04600929790469388
LEC,3153,0.43585696162385024,0.38086504305634356,0.05499191856750668
SAI,2978,0.48493955674949635,0.42163840367084227,0.06330115307865408
RUS,3271,0.4953763375114643,0.42913259941338644,0.06624373809807788
NOR,3271,0.5068893304799753,0.43268655874089684,0.07420277173907847
PER,2095,0.5295379474940334,0.4444626952157793,0.08507525227825408
PIA,2449,0.5353977133523888,0.44719040377745123,0.08820730957493761
HAD,851,0.4965992949471212,0.4524111766667054,0.0441881182804158
HAM,3101,0.5419303450499839,0.4626957046384971,0.07923464041148687
LAW,1218,0.5384334975369459,0.4728034609692383,0.0656300365677076
ALO,3096,0.5628888888888888,0.4750699972299715,0.08781889165891726
OCO,2973,0.6013000336360577,0.4877668712790173,0.11353316235704036
ALB,2902,0.6146061337008959,0.5004293369480617,0.11417679675283421
GAS,3012,0.6300886454183267,0.5021192764085914,0.1279693690097352
STR,2951,0.607595391392748,0.5079009004722882,0.09969449092045979
RIC,1531,0.6330692357935989,0.5095317752106262,0.12353746058297266
TSU,2929,0.6250993513144417,0.5102271792679848,0.11487217204645694
BEA,905,0.5770220994475137,0.5121278715459107,0.06489422790160304
DOO,190,0.620405263157895,0.5128249681361462,0.10758029502174882
ANT,783,0.5885542784163476,0.5143792710052569,0.07417500741109062
BOR,750,0.57024,0.5168149521445806,0.05342504785541935
ZHO,2298,0.6932589208006964,0.5434071482514405,0.14985177254925586
MAG,2224,0.6705404676258994,0.5526375316956524,0.11790293593024692
VET,611,0.6690654664484447,0.5550918602663641,0.11397360618208052
HUL,2401,0.6812119950020825,0.5641721152696932,0.11703987973238927
COL,1025,0.6393639024390243,0.5701001654602222,0.06926373697880206
BOT,2281,0.7365423060061375,0.5771236467480613,0.1594186592580762
SAR,1125,0.8151208888888889,0.6035499066997961,0.21157098218909276
MSC,668,0.7492994011976047,0.615784654850805,0.13351474634679972
LAT,667,0.7482443778110942,0.6218200740326296,0.1264243037784646
DEV,391,0.8746572890025575,0.6441932868368001,0.23046400216575735
