RaceKey,n,baseline_mae,baseline_rmse,model_mae,model_rmse,mae_gain
2025_Japanese Grand Prix,977,0.35071238485158623,0.6205322112341304,0.33453533093343524,0.5202815588022475,0.016177053918150996
2023_Miami Grand Prix,1058,0.42001323251417777,0.5944183715011442,0.3470632718708194,0.487507326793707,0.07294996064335835
2023_British Grand Prix,782,0.42180818414322285,0.6257373921122732,0.3475623990883345,0.5218052164032786,0.07424578505488838
2025_Qatar Grand Prix,902,0.3711873614190688,0.5939194318880969,0.3525990226025156,0.590572183443481,0.018588338816553196
2023_Abu Dhabi Grand Prix,1043,0.4341236816874399,0.6430227074536753,0.3563668090908216,0.524326209786047,0.07775687259661834
2022_Italian Grand Prix,758,0.43376517150395805,0.6241935969216562,0.3599890701799698,0.5322974846944696,0.07377610132398826
2024_Abu Dhabi Grand Prix,902,0.3913447893569845,0.6125497282858428,0.3608133550009826,0.5588830186920644,0.03053143435600192
2025_Italian Grand Prix,897,0.37567558528428063,0.7977674247492693,0.3622795111005432,0.6827072636261241,0.01339607418373745
2023_Italian Grand Prix,859,0.4040058207217695,0.6231299595183655,0.36373141212768884,0.5496581773274629,0.04027440859408066
2024_Miami Grand Prix,914,0.4324879649890587,0.6289650785392471,0.37660156810993584,0.5402383140713605,0.05588639687912289
2022_Canadian Grand Prix,1009,0.469678889990089,0.6967369266056854,0.3829515283551781,0.5447443824946506,0.0867273616349109
2024_Bahrain Grand Prix,1004,0.46971713147410343,0.7604790676610353,0.3877402607801971,0.6298886667342162,0.08197687069390636
2023_Canadian Grand Prix,1107,0.500419150858175,2.6657508474816507,0.39387827680095405,2.0355632608424545,0.10654087405722096
2025_Las Vegas Grand Prix,742,0.4031576819407013,0.587547861215007,0.3944463821815482,0.5685067861217403,0.00871129975915308
2025_Abu Dhabi Grand Prix,1062,0.4357269303201509,0.6629916432510412,0.3944700707945406,0.5725853133255421,0.04125685952561031
2025_Saudi Arabian Grand Prix,792,0.4844911616161613,0.7802936744805402,0.39669895398746385,0.650055929402618,0.08779220762869744
2024_Australian Grand Prix,838,0.4599009546539379,0.737520755745309,0.397511364828446,0.619721197703241,0.062389589825491865
2023_Azerbaijan Grand Prix,826,0.5057191283292978,0.9023589276903989,0.3986947126510193,0.6746036035289187,0.10702441567827847
2024_Dutch Grand Prix,1334,0.48677511244377825,0.7953186522524726,0.401857170690626,0.6495487621286093,0.08491794175315226
2022_Dutch Grand Prix,1119,0.49747095621090254,0.8138924117528358,0.4020566741959801,0.6394239996385723,0.09541428201492241
2025_Austrian Grand Prix,993,0.46883081570996976,0.7043372242600473,0.4136718000996759,0.6097919219051201,0.05515901561029385
2023_Hungarian Grand Prix,1140,0.49853947368421075,0.7721072061050192,0.4218743110230626,0.666354357063854,0.07666516266114815
2022_Austrian Grand Prix,1161,0.5181257536606371,0.977935199331377,0.4242119132351759,0.8113695513040761,0.09391384042546119
2022_Qatar Grand Prix,1161,0.5181257536606371,0.977935199331377,0.4242119132351759,0.8113695513040761,0.09391384042546119
