RaceKey,n_samples,baseline_mae,model_mae,mae_gain
2023_Mexico City Grand Prix,1112,1.5775818345323738,1.0432844346562442,0.5342973998761296
2024_Japanese Grand Prix,767,1.2794550195567143,0.7762729775153642,0.5031820420413501
2023_Australian Grand Prix,750,0.932792,0.6689039551806251,0.2638880448193749
2023_Las Vegas Grand Prix,719,0.8507788595271211,0.6440289391712399,0.20674992035588113
2024_Monaco Grand Prix,1171,0.8637309991460289,0.6609516503960627,0.20277934874996617
2023_Singapore Grand Prix,940,0.8903893617021275,0.7096025044859638,0.1807868572161636
2022_Belgian Grand Prix,627,0.7649186602870812,0.6295443348319993,0.13537432545508188
2024_Las Vegas Grand Prix,806,0.7269131513647641,0.6001298420869168,0.1267833092778473
2022_Australian Grand Prix,794,0.694345088161209,0.571778231498757,0.12256685666245204
2024_Qatar Grand Prix,699,0.5635150214592275,0.445133004757538,0.11838201670168952
2023_Qatar Grand Prix,816,0.6380894607843135,0.5230414320339782,0.11504802875033526
2023_Saudi Arabian Grand Prix,809,0.557006180469716,0.44456222172254745,0.1124439587471685
2025_Azerbaijan Grand Prix,836,0.5923875598086122,0.482412825417807,0.10997473439080524
2023_Azerbaijan Grand Prix,826,0.5057191283292978,0.3986947126510193,0.10702441567827847
2024_Saudi Arabian Grand Prix,797,0.5795734002509408,0.472550059584002,0.10702334066693886
2023_Canadian Grand Prix,1107,0.500419150858175,0.39387827680095405,0.10654087405722096
2023_Japanese Grand Prix,682,0.556989736070381,0.4511906953122769,0.10579904075810415
2022_Bahrain Grand Prix,873,0.7293081328751431,0.6266786981272537,0.10262943474788933
2025_Bahrain Grand Prix,932,0.5588283261802575,0.457636051010802,0.10119227516945545
2023_Bahrain Grand Prix,894,0.5243389261744965,0.42433157347974054,0.10000735269475597
2022_São Paulo Grand Prix,923,0.5545644637053085,0.45553110674402525,0.09903335696128329
2022_Dutch Grand Prix,1119,0.49747095621090254,0.4020566741959801,0.09541428201492241
2022_Qatar Grand Prix,1161,0.5181257536606371,0.4242119132351759,0.09391384042546119
2022_Austrian Grand Prix,1161,0.5181257536606371,0.4242119132351759,0.09391384042546119
2024_Belgian Grand Prix,731,0.5212571819425441,0.42825086478329516,0.09300631715924895
2022_Abu Dhabi Grand Prix,1012,0.520221343873518,0.42749999670550054,0.0927213471680175
2022_Spanish Grand Prix,1084,0.7030064575645755,0.6113111387090628,0.09169531885551263
2022_Azerbaijan Grand Prix,744,0.5806881720430108,0.4907193758677671,0.08996879617524373
2024_Hungarian Grand Prix,1234,0.6360737439222042,0.5471047157685486,0.0889690281536556
2025_Saudi Arabian Grand Prix,792,0.4844911616161613,0.39669895398746385,0.08779220762869744
2024_Singapore Grand Prix,1089,0.5983921028466485,0.5115063722618057,0.08688573058484272
2022_Canadian Grand Prix,1009,0.469678889990089,0.3829515283551781,0.0867273616349109
2022_Saudi Arabian Grand Prix,633,0.6447582938388625,0.5598295795445809,0.08492871429428162
2024_Dutch Grand Prix,1334,0.48677511244377825,0.401857170690626,0.08491794175315226
2025_Spanish Grand Prix,971,0.6762935118434605,0.5934762468817144,0.08281726496174613
2024_Bahrain Grand Prix,1004,0.46971713147410343,0.3877402607801971,0.08197687069390636
2022_United States Grand Prix,759,0.5669169960474306,0.4863585806642249,0.08055841538320574
2024_United States Grand Prix,918,0.5673649237472764,0.4895987162060157,0.07776620754126073
2023_Abu Dhabi Grand Prix,1043,0.4341236816874399,0.3563668090908216,0.07775687259661834
2023_Hungarian Grand Prix,1140,0.49853947368421075,0.4218743110230626,0.07666516266114815
2023_Spanish Grand Prix,1187,0.5226276326874473,0.4473072618235801,0.07532037086386717
2023_British Grand Prix,782,0.42180818414322285,0.3475623990883345,0.07424578505488838
2022_Italian Grand Prix,758,0.43376517150395805,0.3599890701799698,0.07377610132398826
2024_Mexico City Grand Prix,1043,0.5029309683604984,0.42949340184249823,0.07343756651800021
2023_Miami Grand Prix,1058,0.42001323251417777,0.3470632718708194,0.07294996064335835
2024_Azerbaijan Grand Prix,861,0.5537166085946577,0.4864116877943544,0.06730492080030326
2025_Mexico City Grand Prix,1133,0.5231747572815535,0.45589150610451035,0.06728325117704315
2025_United States Grand Prix,943,0.565391304347826,0.4986102007188086,0.0667811036290174
2024_Italian Grand Prix,907,0.5126240352811465,0.44608663045007607,0.06653740483107046
2024_Australian Grand Prix,838,0.4599009546539379,0.397511364828446,0.062389589825491865
2025_São Paulo Grand Prix,1031,0.544148399612027,0.48182297675623925,0.06232542285578774
2024_Miami Grand Prix,914,0.4324879649890587,0.37660156810993584,0.05588639687912289
2023_United States Grand Prix,899,0.548018909899889,0.4922884056568985,0.055730504242990475
2025_Austrian Grand Prix,993,0.46883081570996976,0.4136718000996759,0.05515901561029385
2025_Abu Dhabi Grand Prix,1062,0.4357269303201509,0.3944700707945406,0.04125685952561031
2022_Mexico City Grand Prix,1264,0.48095015822784815,0.4405227891570009,0.04042736907084726
2023_Italian Grand Prix,859,0.4040058207217695,0.36373141212768884,0.04027440859408066
2025_Hungarian Grand Prix,1269,0.4891055949566587,0.458512274847575,0.030593320109083666
2024_Abu Dhabi Grand Prix,902,0.3913447893569845,0.3608133550009826,0.03053143435600192
2025_Dutch Grand Prix,1021,0.4704760039177278,0.4436408552321385,0.02683514868558934
2025_Monaco Grand Prix,1251,0.9844852118305358,0.9603804268962369,0.024104784934298906
2025_Qatar Grand Prix,902,0.3711873614190688,0.3525990226025156,0.018588338816553196
2025_Japanese Grand Prix,977,0.35071238485158623,0.33453533093343524,0.016177053918150996
2025_Italian Grand Prix,897,0.37567558528428063,0.3622795111005432,0.01339607418373745
2025_Las Vegas Grand Prix,742,0.4031576819407013,0.3944463821815482,0.00871129975915308
